starttime, endtime, elapsedtime
1412026269.812606, 1412026269.812682, 0.000076
1412026269.812762, 1412026269.812838, 0.000076
1412026269.812898, 1412026269.812969, 0.000071
1412026269.813026, 1412026269.813095, 0.000069
1412026269.813153, 1412026269.813219, 0.000066
1412026269.813277, 1412026269.813344, 0.000067
1412026269.813402, 1412026269.813469, 0.000067
1412026269.813554, 1412026269.813627, 0.000073
1412026269.813685, 1412026269.813750, 0.000065
1412026269.813809, 1412026269.813870, 0.000061
1412029301.145893, 1412029301.145997, 0.000104
1412033918.966346, 1412033918.966396, 0.000050
1412034188.785445, 1412034188.785496, 0.000051
1412034347.863661, 1412034347.863710, 0.000049
1412034347.863816, 1412034347.863855, 0.000039
1412034347.863939, 1412034347.863976, 0.000037
1412034347.864006, 1412034347.864041, 0.000035
1412034347.864089, 1412034347.864125, 0.000036
1412034347.864173, 1412034347.864210, 0.000037
1412034347.864257, 1412034347.864293, 0.000036
1412034347.864345, 1412034347.864382, 0.000037
1412034347.864411, 1412034347.864447, 0.000036
1412034347.864541, 1412034347.864577, 0.000036
1412034347.864653, 1412034347.864690, 0.000037
1412034347.864719, 1412034347.864755, 0.000036
1412034347.864800, 1412034347.864837, 0.000037
1412034347.864866, 1412034347.864903, 0.000037
1412034347.864995, 1412034347.865031, 0.000036
1412034347.865079, 1412034347.865115, 0.000036
1412034347.865145, 1412034347.865181, 0.000036
1412034347.865229, 1412034347.865265, 0.000036
1412034347.865311, 1412034347.865347, 0.000036
1412034347.865380, 1412034347.865417, 0.000037
1412034347.865505, 1412034347.865542, 0.000037
1412034347.865570, 1412034347.865606, 0.000036
1412034347.865636, 1412034347.865673, 0.000037
1412034347.865702, 1412034347.865738, 0.000036
1412034347.865768, 1412034347.865804, 0.000036
1412034347.865902, 1412034347.865938, 0.000036
1412034347.865984, 1412034347.866020, 0.000036
1412034347.866064, 1412034347.866100, 0.000036
1412034347.866129, 1412034347.866165, 0.000036
1412034347.866210, 1412034347.866246, 0.000036
1412034347.866276, 1412034347.866312, 0.000036
1412034347.866360, 1412034347.866396, 0.000036
1412034347.866441, 1412034347.866477, 0.000036
1412034347.866507, 1412034347.866543, 0.000036
1412034347.866573, 1412034347.866609, 0.000036
1412034347.866640, 1412034347.866676, 0.000036
1412034347.866707, 1412034347.866744, 0.000037
1412034347.866774, 1412034347.866811, 0.000037
1412034347.866842, 1412034347.866878, 0.000036
1412034347.866909, 1412034347.866945, 0.000036
1412034347.866976, 1412034347.867013, 0.000037
1412034347.867080, 1412034347.867119, 0.000039
1412034347.867154, 1412034347.867191, 0.000037
1412034347.867222, 1412034347.867259, 0.000037
1412034347.867290, 1412034347.867327, 0.000037
1412034347.867357, 1412034347.867394, 0.000037
1412034347.867424, 1412034347.867461, 0.000037
1412034347.867493, 1412034347.867529, 0.000036
1412034347.867560, 1412034347.867596, 0.000036
1412034347.867627, 1412034347.867663, 0.000036
1412034347.867693, 1412034347.867730, 0.000037
1412034347.867760, 1412034347.867796, 0.000036
1412034347.867827, 1412034347.867863, 0.000036
1412034347.867894, 1412034347.867930, 0.000036
1412034347.867961, 1412034347.867997, 0.000036
1412034347.868028, 1412034347.868064, 0.000036
1412034347.868095, 1412034347.868131, 0.000036
1412034347.868161, 1412034347.868197, 0.000036
1412034347.868228, 1412034347.868264, 0.000036
1412034347.868295, 1412034347.868332, 0.000037
1412034347.868362, 1412034347.868399, 0.000037
1412034347.868430, 1412034347.868466, 0.000036
1412034347.868496, 1412034347.868532, 0.000036
1412034347.868563, 1412034347.868599, 0.000036
1412034347.868629, 1412034347.868666, 0.000037
1412034347.868696, 1412034347.868732, 0.000036
1412034347.868763, 1412034347.868799, 0.000036
1412034347.868829, 1412034347.868866, 0.000037
1412034347.868897, 1412034347.868933, 0.000036
1412034347.868963, 1412034347.869000, 0.000037
1412034347.869030, 1412034347.869066, 0.000036
1412034347.869097, 1412034347.869133, 0.000036
1412034347.869164, 1412034347.869200, 0.000036
1412034347.869231, 1412034347.869267, 0.000036
1412034347.869298, 1412034347.869334, 0.000036
1412034347.869364, 1412034347.869401, 0.000037
1412034347.869431, 1412034347.869468, 0.000037
1412034347.869498, 1412034347.869534, 0.000036
1412034347.869565, 1412034347.869601, 0.000036
1412034347.869632, 1412034347.869669, 0.000037
1412034347.869699, 1412034347.869736, 0.000037
1412034347.869766, 1412034347.869802, 0.000036
1412034347.869833, 1412034347.869869, 0.000036
1412034347.869900, 1412034347.869936, 0.000036
1412034347.869966, 1412034347.870002, 0.000036
1412034347.870075, 1412034347.870112, 0.000037
1412034347.870143, 1412034347.870179, 0.000036
1412034347.870210, 1412034347.870246, 0.000036
1412034347.870277, 1412034347.870313, 0.000036
1412034347.870344, 1412034347.870380, 0.000036
1412034347.870411, 1412034347.870448, 0.000037
1412034347.870511, 1412034347.870547, 0.000036
1412034347.870633, 1412034347.870669, 0.000036
1412034347.870757, 1412034347.870793, 0.000036
1412034347.870874, 1412034347.870910, 0.000036
1412034347.870991, 1412034347.871026, 0.000035
1412034347.871144, 1412034347.871182, 0.000038
1412034347.871222, 1412034347.871258, 0.000036
1412034347.871289, 1412034347.871325, 0.000036
1412034347.871356, 1412034347.871392, 0.000036
