starttime, endtime, elapsedtime
1412029309.899542, 1412029309.901046, 0.001504
1412034197.237647, 1412034197.238329, 0.000682
1412034356.634671, 1412034356.634967, 0.000296
1412034356.635088, 1412034356.635430, 0.000342
1412034356.635506, 1412034356.635825, 0.000319
1412034356.635891, 1412034356.636207, 0.000316
1412034356.636274, 1412034356.636588, 0.000314
1412034356.636655, 1412034356.636971, 0.000316
1412034356.637038, 1412034356.637354, 0.000316
1412034356.637416, 1412034356.637729, 0.000313
1412034356.637797, 1412034356.638112, 0.000315
1412034356.638179, 1412034356.638492, 0.000313
1412034356.638555, 1412034356.638869, 0.000314
1412034356.638935, 1412034356.639357, 0.000422
1412034356.639449, 1412034356.639762, 0.000313
1412034356.639840, 1412034356.640152, 0.000312
1412034356.640213, 1412034356.640526, 0.000313
1412034356.640587, 1412034356.640899, 0.000312
1412034356.640963, 1412034356.641274, 0.000311
1412034356.641341, 1412034356.641653, 0.000312
1412034356.641720, 1412034356.642032, 0.000312
1412034356.642094, 1412034356.642405, 0.000311
1412034356.642469, 1412034356.642781, 0.000312
1412034356.642847, 1412034356.643185, 0.000338
1412034356.643259, 1412034356.643573, 0.000314
1412034356.643633, 1412034356.643944, 0.000311
1412034356.644007, 1412034356.644316, 0.000309
1412034356.644430, 1412034356.644741, 0.000311
1412034356.644806, 1412034356.645116, 0.000310
1412034356.645176, 1412034356.645493, 0.000317
1412034356.645554, 1412034356.645865, 0.000311
1412034356.645926, 1412034356.646237, 0.000311
1412034356.646304, 1412034356.646614, 0.000310
1412034356.646675, 1412034356.646986, 0.000311
1412034356.647202, 1412034356.647447, 0.000245
1412034356.647496, 1412034356.647715, 0.000219
1412034356.647766, 1412034356.647984, 0.000218
1412034356.648037, 1412034356.648256, 0.000219
1412034356.648415, 1412034356.648653, 0.000238
1412034356.648705, 1412034356.648926, 0.000221
1412034356.648983, 1412034356.649203, 0.000220
1412034356.649259, 1412034356.649480, 0.000221
1412034356.649530, 1412034356.649758, 0.000228
1412034356.649778, 1412034356.650013, 0.000235
1412034356.650036, 1412034356.650266, 0.000230
1412034356.650316, 1412034356.650536, 0.000220
1412034356.650587, 1412034356.650807, 0.000220
1412034356.650857, 1412034356.651090, 0.000233
1412034356.651122, 1412034356.651355, 0.000233
1412034356.651406, 1412034356.651625, 0.000219
1412034356.651674, 1412034356.651892, 0.000218
1412034356.651946, 1412034356.652163, 0.000217
1412034356.652215, 1412034356.652433, 0.000218
1412034356.652527, 1412034356.652767, 0.000240
1412034356.652821, 1412034356.653041, 0.000220
1412034356.653091, 1412034356.653311, 0.000220
1412034356.653367, 1412034356.653586, 0.000219
1412034356.653636, 1412034356.653856, 0.000220
1412034356.653906, 1412034356.654124, 0.000218
1412034356.654176, 1412034356.654396, 0.000220
1412034356.654415, 1412034356.654635, 0.000220
1412034356.654686, 1412034356.654906, 0.000220
1412034356.654956, 1412034356.655298, 0.000342
1412034356.655390, 1412034356.655632, 0.000242
1412034356.655681, 1412034356.655900, 0.000219
1412034356.655953, 1412034356.656172, 0.000219
1412034356.656229, 1412034356.656459, 0.000230
1412034356.656513, 1412034356.656734, 0.000221
1412034356.656790, 1412034356.657009, 0.000219
1412034356.657060, 1412034356.657280, 0.000220
1412034356.657335, 1412034356.657555, 0.000220
1412034356.657605, 1412034356.657834, 0.000229
1412034356.657854, 1412034356.658083, 0.000229
1412034356.658102, 1412034356.658321, 0.000219
1412034356.658372, 1412034356.658601, 0.000229
1412034356.658748, 1412034356.658985, 0.000237
1412034356.659039, 1412034356.659290, 0.000251
1412034356.659427, 1412034356.659666, 0.000239
1412034356.659712, 1412034356.659932, 0.000220
1412034356.659997, 1412034356.660216, 0.000219
1412034356.660279, 1412034356.660509, 0.000230
1412034356.660544, 1412034356.660765, 0.000221
1412034356.660783, 1412034356.661001, 0.000218
1412034356.661058, 1412034356.661280, 0.000222
1412034356.661333, 1412034356.661557, 0.000224
1412034356.661576, 1412034356.661800, 0.000224
1412034356.661852, 1412034356.662072, 0.000220
1412034356.662123, 1412034356.662342, 0.000219
1412034356.662361, 1412034356.662580, 0.000219
1412034356.662634, 1412034356.662854, 0.000220
1412034356.662903, 1412034356.663238, 0.000335
1412034356.663276, 1412034356.663499, 0.000223
1412034356.663549, 1412034356.663769, 0.000220
1412034356.663819, 1412034356.664040, 0.000221
1412034356.664091, 1412034356.664319, 0.000228
1412034356.664375, 1412034356.664595, 0.000220
1412034356.664645, 1412034356.664864, 0.000219
1412034356.664916, 1412034356.665135, 0.000219
1412034356.665185, 1412034356.665404, 0.000219
1412034356.665454, 1412034356.665710, 0.000256
1412034356.665757, 1412034356.665977, 0.000220
1412034356.666030, 1412034356.666250, 0.000220
