starttime, endtime, elapsedtime
1412034353.363022, 1412034353.363586, 0.000564
1412034353.363709, 1412034353.364019, 0.000310
1412034353.364117, 1412034353.364372, 0.000255
1412034353.364464, 1412034353.364720, 0.000256
1412034353.364812, 1412034353.365067, 0.000255
1412034353.365134, 1412034353.365390, 0.000256
1412034353.365462, 1412034353.365716, 0.000254
1412034353.365779, 1412034353.366035, 0.000256
1412034353.366104, 1412034353.366361, 0.000257
1412034353.366454, 1412034353.366707, 0.000253
1412034353.366772, 1412034353.367027, 0.000255
1412034353.367277, 1412034353.367451, 0.000174
1412034353.367575, 1412034353.367755, 0.000180
1412034353.367858, 1412034353.368040, 0.000182
1412034353.368098, 1412034353.368355, 0.000257
1412034353.368414, 1412034353.368580, 0.000166
1412034353.368646, 1412034353.368810, 0.000164
1412034353.368846, 1412034353.369012, 0.000166
1412034353.369074, 1412034353.369237, 0.000163
1412034353.369301, 1412034353.369466, 0.000165
1412034353.369534, 1412034353.369697, 0.000163
1412034353.369734, 1412034353.370031, 0.000297
1412034353.370089, 1412034353.370251, 0.000162
1412034353.370345, 1412034353.370518, 0.000173
1412034353.370583, 1412034353.370746, 0.000163
1412034353.370782, 1412034353.370943, 0.000161
1412034353.370982, 1412034353.371268, 0.000286
1412034353.371323, 1412034353.371487, 0.000164
1412034353.371557, 1412034353.371719, 0.000162
1412034353.371784, 1412034353.371947, 0.000163
1412034353.371984, 1412034353.372187, 0.000203
1412034353.372241, 1412034353.372405, 0.000164
1412034353.372460, 1412034353.372622, 0.000162
1412034353.372677, 1412034353.372837, 0.000160
1412034353.372896, 1412034353.373056, 0.000160
1412034353.373109, 1412034353.373272, 0.000163
1412034353.373329, 1412034353.373488, 0.000159
1412034353.373541, 1412034353.373702, 0.000161
1412034353.373760, 1412034353.373921, 0.000161
1412034353.373980, 1412034353.374141, 0.000161
1412034353.374199, 1412034353.374358, 0.000159
1412034353.374411, 1412034353.374573, 0.000162
1412034353.374629, 1412034353.374793, 0.000164
1412034353.374848, 1412034353.375010, 0.000162
1412034353.375192, 1412034353.375364, 0.000172
1412034353.375421, 1412034353.375583, 0.000162
1412034353.375640, 1412034353.375800, 0.000160
1412034353.375855, 1412034353.376020, 0.000165
1412034353.376075, 1412034353.376238, 0.000163
1412034353.376290, 1412034353.376452, 0.000162
1412034353.376475, 1412034353.376637, 0.000162
1412034353.376659, 1412034353.376822, 0.000163
1412034353.376844, 1412034353.377008, 0.000164
1412034353.377030, 1412034353.377192, 0.000162
1412034353.377214, 1412034353.377373, 0.000159
1412034353.377395, 1412034353.377557, 0.000162
1412034353.377579, 1412034353.377742, 0.000163
1412034353.377764, 1412034353.377927, 0.000163
1412034353.377949, 1412034353.378110, 0.000161
1412034353.378133, 1412034353.378295, 0.000162
1412034353.378351, 1412034353.378513, 0.000162
1412034353.378569, 1412034353.378732, 0.000163
1412034353.378755, 1412034353.378918, 0.000163
1412034353.378940, 1412034353.379248, 0.000308
1412034353.379305, 1412034353.379473, 0.000168
1412034353.379526, 1412034353.379686, 0.000160
1412034353.379747, 1412034353.379908, 0.000161
1412034353.380069, 1412034353.380254, 0.000185
1412034353.380306, 1412034353.380469, 0.000163
1412034353.380520, 1412034353.380681, 0.000161
1412034353.380732, 1412034353.380895, 0.000163
1412034353.380947, 1412034353.381109, 0.000162
1412034353.381162, 1412034353.381323, 0.000161
1412034353.381378, 1412034353.381542, 0.000164
1412034353.381595, 1412034353.381758, 0.000163
1412034353.381809, 1412034353.381971, 0.000162
1412034353.382023, 1412034353.382250, 0.000227
1412034353.382285, 1412034353.382454, 0.000169
1412034353.382507, 1412034353.382669, 0.000162
1412034353.382726, 1412034353.382893, 0.000167
1412034353.382947, 1412034353.383243, 0.000296
1412034353.383299, 1412034353.383462, 0.000163
1412034353.383514, 1412034353.383679, 0.000165
1412034353.383733, 1412034353.383897, 0.000164
1412034353.383947, 1412034353.384109, 0.000162
1412034353.384161, 1412034353.384326, 0.000165
1412034353.384375, 1412034353.384538, 0.000163
1412034353.384594, 1412034353.384756, 0.000162
1412034353.384808, 1412034353.384972, 0.000164
1412034353.385023, 1412034353.385188, 0.000165
1412034353.385243, 1412034353.385406, 0.000163
1412034353.385457, 1412034353.385620, 0.000163
1412034353.385676, 1412034353.385839, 0.000163
1412034353.385891, 1412034353.386055, 0.000164
1412034353.386106, 1412034353.386290, 0.000184
1412034353.386342, 1412034353.386508, 0.000166
1412034353.386563, 1412034353.386728, 0.000165
1412034353.386782, 1412034353.386955, 0.000173
1412034353.387010, 1412034353.387313, 0.000303
1412034353.387337, 1412034353.387502, 0.000165
