starttime, endtime, elapsedtime
1412034360.690482, 1412034360.713222, 0.022740
1412034360.713461, 1412034360.730794, 0.017333
1412034360.730890, 1412034360.746100, 0.015210
1412034360.746203, 1412034360.761438, 0.015235
1412034360.761532, 1412034360.776801, 0.015269
1412034360.777035, 1412034360.792152, 0.015117
1412034360.792249, 1412034360.807500, 0.015251
1412034360.807553, 1412034360.822503, 0.014950
1412034360.822602, 1412034360.837617, 0.015015
1412034360.837697, 1412034360.852280, 0.014583
1412034360.852351, 1412034360.866876, 0.014525
1412034360.866951, 1412034360.891418, 0.024467
1412034360.891489, 1412034360.905982, 0.014493
1412034360.906058, 1412034360.920995, 0.014937
1412034360.921071, 1412034360.935891, 0.014820
1412034360.935969, 1412034360.950935, 0.014966
1412034360.951013, 1412034360.965948, 0.014935
1412034360.966028, 1412034360.981247, 0.015219
1412034360.981321, 1412034360.996228, 0.014907
1412034360.996308, 1412034361.011249, 0.014941
1412034361.011324, 1412034361.026149, 0.014825
1412034361.026229, 1412034361.041148, 0.014919
1412034361.041224, 1412034361.056161, 0.014937
1412034361.056238, 1412034361.071145, 0.014907
1412034361.071216, 1412034361.090369, 0.019153
1412034361.090445, 1412034361.105376, 0.014931
1412034361.105453, 1412034361.120372, 0.014919
1412034361.120441, 1412034361.135357, 0.014916
1412034361.135430, 1412034361.150413, 0.014983
1412034361.150488, 1412034361.165572, 0.015084
1412034361.165649, 1412034361.180688, 0.015039
1412034361.180759, 1412034361.195866, 0.015107
1412034361.195939, 1412034361.211001, 0.015062
1412034361.211080, 1412034361.226198, 0.015118
1412034361.226270, 1412034361.241197, 0.014927
1412034361.241272, 1412034361.256304, 0.015032
1412034361.256383, 1412034361.271402, 0.015019
1412034361.271477, 1412034361.294410, 0.022933
1412034361.294488, 1412034361.309404, 0.014916
1412034361.309482, 1412034361.324612, 0.015130
1412034361.324687, 1412034361.339584, 0.014897
1412034361.339663, 1412034361.354711, 0.015048
1412034361.354889, 1412034361.369496, 0.014607
1412034361.369571, 1412034361.384297, 0.014726
1412034361.384370, 1412034361.399268, 0.014898
1412034361.399344, 1412034361.413941, 0.014597
1412034361.414018, 1412034361.428738, 0.014720
1412034361.428816, 1412034361.443421, 0.014605
1412034361.443498, 1412034361.458191, 0.014693
1412034361.458266, 1412034361.478420, 0.020154
1412034361.478498, 1412034361.493120, 0.014622
1412034361.493196, 1412034361.508003, 0.014807
1412034361.508077, 1412034361.522648, 0.014571
1412034361.522725, 1412034361.537541, 0.014816
1412034361.537615, 1412034361.552225, 0.014610
1412034361.552300, 1412034361.567055, 0.014755
1412034361.567129, 1412034361.581815, 0.014686
1412034361.581917, 1412034361.596598, 0.014681
1412034361.596697, 1412034361.611418, 0.014721
1412034361.611514, 1412034361.626201, 0.014687
1412034361.626363, 1412034361.641173, 0.014810
1412034361.641270, 1412034361.656036, 0.014766
1412034361.656135, 1412034361.677425, 0.021290
1412034361.677525, 1412034361.692390, 0.014865
1412034361.692491, 1412034361.707446, 0.014955
1412034361.707512, 1412034361.722284, 0.014772
1412034361.722389, 1412034361.737176, 0.014787
1412034361.737280, 1412034361.752121, 0.014841
1412034361.752220, 1412034361.766895, 0.014675
1412034361.767001, 1412034361.782089, 0.015088
1412034361.782190, 1412034361.797163, 0.014973
1412034361.797262, 1412034361.812343, 0.015081
1412034361.812442, 1412034361.827552, 0.015110
1412034361.827649, 1412034361.842405, 0.014756
1412034361.842503, 1412034361.863838, 0.021335
1412034361.863933, 1412034361.878448, 0.014515
1412034361.878551, 1412034361.893233, 0.014682
1412034361.893333, 1412034361.907901, 0.014568
1412034361.907998, 1412034361.922683, 0.014685
1412034361.922777, 1412034361.937148, 0.014371
1412034361.937248, 1412034361.951901, 0.014653
1412034361.951999, 1412034361.966477, 0.014478
1412034361.966577, 1412034361.981253, 0.014676
1412034361.981375, 1412034361.995827, 0.014452
1412034361.995919, 1412034362.010107, 0.014188
1412034362.010204, 1412034362.024715, 0.014511
1412034362.024815, 1412034362.039113, 0.014298
1412034362.039217, 1412034362.058103, 0.018886
1412034362.058205, 1412034362.072578, 0.014373
1412034362.072810, 1412034362.087500, 0.014690
1412034362.087597, 1412034362.101895, 0.014298
1412034362.101995, 1412034362.116621, 0.014626
1412034362.116714, 1412034362.131057, 0.014343
1412034362.131154, 1412034362.145670, 0.014516
1412034362.145764, 1412034362.160236, 0.014472
1412034362.160339, 1412034362.174756, 0.014417
1412034362.174858, 1412034362.189692, 0.014834
1412034362.189791, 1412034362.204653, 0.014862
1412034362.204752, 1412034362.219700, 0.014948
1412034362.219803, 1412034362.234642, 0.014839
