starttime, endtime, elapsedtime
1412034368.135314, 1412034368.135846, 0.000532
1412034368.135913, 1412034368.136429, 0.000516
1412034368.136525, 1412034368.137035, 0.000510
1412034368.137106, 1412034368.137606, 0.000500
1412034368.137676, 1412034368.138172, 0.000496
1412034368.138246, 1412034368.138747, 0.000501
1412034368.138818, 1412034368.139308, 0.000490
1412034368.139378, 1412034368.139957, 0.000579
1412034368.140025, 1412034368.140521, 0.000496
1412034368.140592, 1412034368.141140, 0.000548
1412034368.141212, 1412034368.141672, 0.000460
1412034368.141742, 1412034368.142248, 0.000506
1412034368.142318, 1412034368.142822, 0.000504
1412034368.142891, 1412034368.143377, 0.000486
1412034368.143437, 1412034368.143979, 0.000542
1412034368.144053, 1412034368.144514, 0.000461
1412034368.144585, 1412034368.145133, 0.000548
1412034368.145169, 1412034368.145622, 0.000453
1412034368.145656, 1412034368.146166, 0.000510
1412034368.146232, 1412034368.146689, 0.000457
1412034368.146762, 1412034368.147437, 0.000675
1412034368.147506, 1412034368.148029, 0.000523
1412034368.148094, 1412034368.148657, 0.000563
1412034368.148729, 1412034368.149217, 0.000488
1412034368.149286, 1412034368.149822, 0.000536
1412034368.149895, 1412034368.150417, 0.000522
1412034368.150491, 1412034368.150991, 0.000500
1412034368.151077, 1412034368.151650, 0.000573
1412034368.151721, 1412034368.152231, 0.000510
1412034368.152352, 1412034368.152848, 0.000496
1412034368.152919, 1412034368.153417, 0.000498
1412034368.153488, 1412034368.153976, 0.000488
1412034368.154050, 1412034368.154552, 0.000502
1412034368.154624, 1412034368.155185, 0.000561
1412034368.155282, 1412034368.155886, 0.000604
1412034368.155957, 1412034368.156466, 0.000509
1412034368.156536, 1412034368.157054, 0.000518
1412034368.157123, 1412034368.157621, 0.000498
1412034368.157693, 1412034368.158193, 0.000500
1412034368.158266, 1412034368.158822, 0.000556
1412034368.158889, 1412034368.159411, 0.000522
1412034368.159481, 1412034368.160020, 0.000539
1412034368.160092, 1412034368.160616, 0.000524
1412034368.160686, 1412034368.161267, 0.000581
1412034368.161334, 1412034368.161846, 0.000512
1412034368.161903, 1412034368.162400, 0.000497
1412034368.162472, 1412034368.162979, 0.000507
1412034368.163083, 1412034368.163648, 0.000565
1412034368.163687, 1412034368.164222, 0.000535
1412034368.164295, 1412034368.164817, 0.000522
1412034368.164855, 1412034368.165417, 0.000562
1412034368.165491, 1412034368.166013, 0.000522
1412034368.166052, 1412034368.166607, 0.000555
1412034368.166672, 1412034368.167302, 0.000630
1412034368.167340, 1412034368.167945, 0.000605
1412034368.168018, 1412034368.168544, 0.000526
1412034368.168582, 1412034368.169116, 0.000534
1412034368.169188, 1412034368.169755, 0.000567
1412034368.169792, 1412034368.170301, 0.000509
1412034368.170374, 1412034368.170935, 0.000561
1412034368.171007, 1412034368.171641, 0.000634
1412034368.171708, 1412034368.172246, 0.000538
1412034368.172280, 1412034368.172779, 0.000499
1412034368.172851, 1412034368.173392, 0.000541
1412034368.173459, 1412034368.173961, 0.000502
1412034368.174027, 1412034368.174561, 0.000534
1412034368.174633, 1412034368.175151, 0.000518
1412034368.175194, 1412034368.175780, 0.000586
1412034368.175850, 1412034368.176360, 0.000510
1412034368.176427, 1412034368.177013, 0.000586
1412034368.177081, 1412034368.177583, 0.000502
1412034368.177649, 1412034368.178244, 0.000595
1412034368.178314, 1412034368.178822, 0.000508
1412034368.178888, 1412034368.179498, 0.000610
1412034368.179565, 1412034368.180162, 0.000597
1412034368.180234, 1412034368.180825, 0.000591
1412034368.180897, 1412034368.181469, 0.000572
1412034368.181539, 1412034368.182092, 0.000553
1412034368.182177, 1412034368.182716, 0.000539
1412034368.182786, 1412034368.183391, 0.000605
1412034368.183459, 1412034368.184051, 0.000592
1412034368.184117, 1412034368.184716, 0.000599
1412034368.184788, 1412034368.185297, 0.000509
1412034368.185338, 1412034368.185936, 0.000598
1412034368.186006, 1412034368.186518, 0.000512
1412034368.186588, 1412034368.187199, 0.000611
1412034368.187297, 1412034368.187867, 0.000570
1412034368.187914, 1412034368.188595, 0.000681
1412034368.188666, 1412034368.189246, 0.000580
1412034368.189317, 1412034368.189891, 0.000574
1412034368.189956, 1412034368.190513, 0.000557
1412034368.190584, 1412034368.191154, 0.000570
1412034368.191249, 1412034368.191858, 0.000609
1412034368.191951, 1412034368.192535, 0.000584
1412034368.192602, 1412034368.193204, 0.000602
1412034368.193272, 1412034368.193842, 0.000570
1412034368.193907, 1412034368.194601, 0.000694
1412034368.194672, 1412034368.195304, 0.000632
1412034368.195377, 1412034368.196018, 0.000641
1412034368.196084, 1412034368.196698, 0.000614
