starttime, endtime, elapsedtime
1412034374.863481, 1412034374.866927, 0.003446
1412034374.867034, 1412034374.870957, 0.003923
1412034374.871067, 1412034374.874007, 0.002940
1412034374.874100, 1412034374.877029, 0.002929
1412034374.877121, 1412034374.880172, 0.003051
1412034374.880266, 1412034374.883342, 0.003076
1412034374.883434, 1412034374.886531, 0.003097
1412034374.886624, 1412034374.889683, 0.003059
1412034374.889770, 1412034374.892859, 0.003089
1412034374.892925, 1412034374.895845, 0.002920
1412034374.895910, 1412034374.898869, 0.002959
1412034374.898935, 1412034374.901950, 0.003015
1412034374.902013, 1412034374.905801, 0.003788
1412034374.905883, 1412034374.909585, 0.003702
1412034374.909668, 1412034374.913402, 0.003734
1412034374.913477, 1412034374.917165, 0.003688
1412034374.917242, 1412034374.920900, 0.003658
1412034374.920977, 1412034374.924673, 0.003696
1412034374.924753, 1412034374.928454, 0.003701
1412034374.928532, 1412034374.932188, 0.003656
1412034374.932300, 1412034374.936372, 0.004072
1412034374.936492, 1412034374.940588, 0.004096
1412034374.940627, 1412034374.944422, 0.003795
1412034374.944549, 1412034374.948049, 0.003500
1412034374.948176, 1412034374.951684, 0.003508
1412034374.951804, 1412034374.955499, 0.003695
1412034374.955572, 1412034374.958495, 0.002923
1412034374.958570, 1412034374.961482, 0.002912
1412034374.961545, 1412034374.964413, 0.002868
1412034374.964484, 1412034374.967395, 0.002911
1412034374.967467, 1412034374.970724, 0.003257
1412034374.970795, 1412034374.973887, 0.003092
1412034374.973910, 1412034374.976678, 0.002768
1412034374.976750, 1412034374.979999, 0.003249
1412034374.980080, 1412034374.983849, 0.003769
1412034374.983930, 1412034374.987633, 0.003703
1412034374.987717, 1412034374.991332, 0.003615
1412034374.991406, 1412034374.994904, 0.003498
1412034374.994951, 1412034374.998433, 0.003482
1412034374.998509, 1412034375.001908, 0.003399
1412034375.001985, 1412034375.005654, 0.003669
1412034375.005726, 1412034375.009371, 0.003645
1412034375.009447, 1412034375.013083, 0.003636
1412034375.013155, 1412034375.016880, 0.003725
1412034375.016955, 1412034375.020579, 0.003624
1412034375.020659, 1412034375.024263, 0.003604
1412034375.024338, 1412034375.028060, 0.003722
1412034375.028134, 1412034375.031736, 0.003602
1412034375.031816, 1412034375.035490, 0.003674
1412034375.035559, 1412034375.039217, 0.003658
1412034375.039294, 1412034375.042948, 0.003654
1412034375.043028, 1412034375.046788, 0.003760
1412034375.046868, 1412034375.050513, 0.003645
1412034375.050591, 1412034375.054218, 0.003627
1412034375.054328, 1412034375.058794, 0.004466
1412034375.058925, 1412034375.063528, 0.004603
1412034375.063659, 1412034375.067258, 0.003599
1412034375.067409, 1412034375.070822, 0.003413
1412034375.070975, 1412034375.074474, 0.003499
1412034375.074597, 1412034375.078059, 0.003462
1412034375.078210, 1412034375.081614, 0.003404
1412034375.081736, 1412034375.085208, 0.003472
1412034375.085336, 1412034375.088688, 0.003352
1412034375.088838, 1412034375.092149, 0.003311
1412034375.092285, 1412034375.095208, 0.002923
1412034375.095316, 1412034375.098186, 0.002870
1412034375.098300, 1412034375.101236, 0.002936
1412034375.101353, 1412034375.104595, 0.003242
1412034375.104689, 1412034375.107945, 0.003256
1412034375.108041, 1412034375.111309, 0.003268
1412034375.111403, 1412034375.115146, 0.003743
1412034375.115226, 1412034375.118888, 0.003662
1412034375.118988, 1412034375.122644, 0.003656
1412034375.122731, 1412034375.126283, 0.003552
1412034375.126362, 1412034375.130179, 0.003817
1412034375.130261, 1412034375.134019, 0.003758
1412034375.134104, 1412034375.137923, 0.003819
1412034375.138003, 1412034375.141764, 0.003761
1412034375.141842, 1412034375.144755, 0.002913
1412034375.144911, 1412034375.148593, 0.003682
1412034375.148670, 1412034375.151539, 0.002869
1412034375.151601, 1412034375.155401, 0.003800
1412034375.155480, 1412034375.158448, 0.002968
1412034375.158511, 1412034375.162237, 0.003726
1412034375.162320, 1412034375.165226, 0.002906
1412034375.165293, 1412034375.168978, 0.003685
1412034375.169052, 1412034375.171970, 0.002918
1412034375.172039, 1412034375.175733, 0.003694
1412034375.175808, 1412034375.178777, 0.002969
1412034375.178844, 1412034375.182480, 0.003636
1412034375.182559, 1412034375.185471, 0.002912
1412034375.185533, 1412034375.189275, 0.003742
1412034375.189357, 1412034375.192258, 0.002901
1412034375.192321, 1412034375.195980, 0.003659
1412034375.196057, 1412034375.198989, 0.002932
1412034375.199066, 1412034375.202728, 0.003662
1412034375.202810, 1412034375.205717, 0.002907
1412034375.205785, 1412034375.209532, 0.003747
1412034375.209608, 1412034375.212513, 0.002905
1412034375.212578, 1412034375.216254, 0.003676
