starttime, endtime, elapsedtime
1412034368.063713, 1412034368.066630, 0.002917
1412034368.066743, 1412034368.067305, 0.000562
1412034368.067401, 1412034368.068003, 0.000602
1412034368.068101, 1412034368.068650, 0.000549
1412034368.068751, 1412034368.069293, 0.000542
1412034368.069388, 1412034368.069974, 0.000586
1412034368.070003, 1412034368.070613, 0.000610
1412034368.070641, 1412034368.071248, 0.000607
1412034368.071274, 1412034368.071824, 0.000550
1412034368.071851, 1412034368.072416, 0.000565
1412034368.072443, 1412034368.073152, 0.000709
1412034368.073224, 1412034368.073794, 0.000570
1412034368.073870, 1412034368.074433, 0.000563
1412034368.074507, 1412034368.075082, 0.000575
1412034368.075131, 1412034368.075748, 0.000617
1412034368.075816, 1412034368.076429, 0.000613
1412034368.076499, 1412034368.077109, 0.000610
1412034368.077184, 1412034368.077749, 0.000565
1412034368.077823, 1412034368.078376, 0.000553
1412034368.078449, 1412034368.079004, 0.000555
1412034368.079082, 1412034368.079666, 0.000584
1412034368.079740, 1412034368.080298, 0.000558
1412034368.080366, 1412034368.080987, 0.000621
1412034368.081055, 1412034368.081612, 0.000557
1412034368.081682, 1412034368.082256, 0.000574
1412034368.082329, 1412034368.082925, 0.000596
1412034368.083000, 1412034368.083568, 0.000568
1412034368.083664, 1412034368.084276, 0.000612
1412034368.084378, 1412034368.084940, 0.000562
1412034368.085009, 1412034368.085567, 0.000558
1412034368.085635, 1412034368.086186, 0.000551
1412034368.086258, 1412034368.086809, 0.000551
1412034368.086882, 1412034368.087413, 0.000531
1412034368.087508, 1412034368.088141, 0.000633
1412034368.088211, 1412034368.088810, 0.000599
1412034368.088882, 1412034368.089481, 0.000599
1412034368.089535, 1412034368.090080, 0.000545
1412034368.090171, 1412034368.090720, 0.000549
1412034368.090815, 1412034368.091487, 0.000672
1412034368.091562, 1412034368.092131, 0.000569
1412034368.092204, 1412034368.092806, 0.000602
1412034368.092909, 1412034368.093469, 0.000560
1412034368.093539, 1412034368.094145, 0.000606
1412034368.094219, 1412034368.094789, 0.000570
1412034368.094859, 1412034368.095528, 0.000669
1412034368.095633, 1412034368.096210, 0.000577
1412034368.096280, 1412034368.096927, 0.000647
1412034368.097001, 1412034368.097538, 0.000537
1412034368.097608, 1412034368.098205, 0.000597
1412034368.098279, 1412034368.098844, 0.000565
1412034368.098918, 1412034368.099502, 0.000584
1412034368.099575, 1412034368.100144, 0.000569
1412034368.100212, 1412034368.100825, 0.000613
1412034368.100904, 1412034368.101476, 0.000572
1412034368.101549, 1412034368.102105, 0.000556
1412034368.102178, 1412034368.102727, 0.000549
1412034368.102801, 1412034368.103498, 0.000697
1412034368.103603, 1412034368.104159, 0.000556
1412034368.104253, 1412034368.104859, 0.000606
1412034368.104939, 1412034368.105509, 0.000570
1412034368.105625, 1412034368.106202, 0.000577
1412034368.106279, 1412034368.106837, 0.000558
1412034368.106909, 1412034368.107500, 0.000591
1412034368.107572, 1412034368.108130, 0.000558
1412034368.108234, 1412034368.108801, 0.000567
1412034368.108877, 1412034368.109540, 0.000663
1412034368.109634, 1412034368.110202, 0.000568
1412034368.110279, 1412034368.110843, 0.000564
1412034368.110917, 1412034368.111505, 0.000588
1412034368.111578, 1412034368.112184, 0.000606
1412034368.112261, 1412034368.112829, 0.000568
1412034368.112897, 1412034368.113435, 0.000538
1412034368.113461, 1412034368.114014, 0.000553
1412034368.114042, 1412034368.114578, 0.000536
1412034368.114606, 1412034368.115169, 0.000563
1412034368.115193, 1412034368.115869, 0.000676
1412034368.115896, 1412034368.116460, 0.000564
1412034368.116487, 1412034368.117007, 0.000520
1412034368.117084, 1412034368.117662, 0.000578
1412034368.117736, 1412034368.118306, 0.000570
1412034368.118395, 1412034368.119019, 0.000624
1412034368.119138, 1412034368.119755, 0.000617
1412034368.119822, 1412034368.120423, 0.000601
1412034368.120492, 1412034368.121055, 0.000563
1412034368.121137, 1412034368.121692, 0.000555
1412034368.121762, 1412034368.122322, 0.000560
1412034368.122397, 1412034368.123058, 0.000661
1412034368.123194, 1412034368.123758, 0.000564
1412034368.123829, 1412034368.124389, 0.000560
1412034368.124489, 1412034368.125110, 0.000621
1412034368.125216, 1412034368.125792, 0.000576
1412034368.125897, 1412034368.126483, 0.000586
1412034368.126585, 1412034368.127167, 0.000582
1412034368.127242, 1412034368.127847, 0.000605
1412034368.127917, 1412034368.128486, 0.000569
1412034368.128560, 1412034368.129126, 0.000566
1412034368.129198, 1412034368.129805, 0.000607
1412034368.129879, 1412034368.130446, 0.000567
1412034368.130515, 1412034368.131118, 0.000603
1412034368.131154, 1412034368.131764, 0.000610
