starttime, endtime, elapsedtime
1412034373.975431, 1412034373.987752, 0.012321
1412034373.987821, 1412034373.994627, 0.006806
1412034373.994717, 1412034374.001282, 0.006565
1412034374.001396, 1412034374.008453, 0.007057
1412034374.008541, 1412034374.015119, 0.006578
1412034374.015224, 1412034374.021881, 0.006657
1412034374.021994, 1412034374.028802, 0.006808
1412034374.028916, 1412034374.035735, 0.006819
1412034374.035849, 1412034374.042512, 0.006663
1412034374.042623, 1412034374.049368, 0.006745
1412034374.049470, 1412034374.056390, 0.006920
1412034374.056504, 1412034374.063132, 0.006628
1412034374.063187, 1412034374.069791, 0.006604
1412034374.069874, 1412034374.079561, 0.009687
1412034374.079743, 1412034374.087333, 0.007590
1412034374.087374, 1412034374.094357, 0.006983
1412034374.094444, 1412034374.101124, 0.006680
1412034374.101240, 1412034374.107859, 0.006619
1412034374.107971, 1412034374.115097, 0.007126
1412034374.115232, 1412034374.121565, 0.006333
1412034374.121678, 1412034374.128604, 0.006926
1412034374.128715, 1412034374.134934, 0.006219
1412034374.135089, 1412034374.141756, 0.006667
1412034374.141898, 1412034374.146729, 0.004831
1412034374.146842, 1412034374.153648, 0.006806
1412034374.153767, 1412034374.160042, 0.006275
1412034374.160155, 1412034374.166979, 0.006824
1412034374.167144, 1412034374.173276, 0.006132
1412034374.173385, 1412034374.180178, 0.006793
1412034374.180290, 1412034374.186473, 0.006183
1412034374.186587, 1412034374.193352, 0.006765
1412034374.193461, 1412034374.199655, 0.006194
1412034374.199765, 1412034374.206567, 0.006802
1412034374.206680, 1412034374.212692, 0.006012
1412034374.212790, 1412034374.217416, 0.004626
1412034374.217506, 1412034374.222401, 0.004895
1412034374.222514, 1412034374.228497, 0.005983
1412034374.228598, 1412034374.233790, 0.005192
1412034374.233902, 1412034374.240578, 0.006676
1412034374.240695, 1412034374.246820, 0.006125
1412034374.246934, 1412034374.253947, 0.007013
1412034374.253982, 1412034374.259851, 0.005869
1412034374.259962, 1412034374.266689, 0.006727
1412034374.266806, 1412034374.273566, 0.006760
1412034374.273682, 1412034374.280279, 0.006597
1412034374.280364, 1412034374.286910, 0.006546
1412034374.287024, 1412034374.293824, 0.006800
1412034374.293940, 1412034374.300675, 0.006735
1412034374.300791, 1412034374.307436, 0.006645
1412034374.307552, 1412034374.314239, 0.006687
1412034374.314355, 1412034374.320994, 0.006639
1412034374.321109, 1412034374.327468, 0.006359
1412034374.327567, 1412034374.332900, 0.005333
1412034374.333009, 1412034374.339659, 0.006650
1412034374.339743, 1412034374.346362, 0.006619
1412034374.346477, 1412034374.353149, 0.006672
1412034374.353235, 1412034374.359878, 0.006643
1412034374.359972, 1412034374.397069, 0.037097
1412034374.397103, 1412034374.402440, 0.005337
1412034374.402584, 1412034374.408182, 0.005598
1412034374.408334, 1412034374.413746, 0.005412
1412034374.413884, 1412034374.419325, 0.005441
1412034374.419476, 1412034374.424782, 0.005306
1412034374.424929, 1412034374.430705, 0.005776
1412034374.430890, 1412034374.436002, 0.005112
1412034374.436143, 1412034374.441420, 0.005277
1412034374.441565, 1412034374.446566, 0.005001
1412034374.446664, 1412034374.451756, 0.005092
1412034374.451900, 1412034374.458442, 0.006542
1412034374.458554, 1412034374.465280, 0.006726
1412034374.465395, 1412034374.472060, 0.006665
1412034374.472144, 1412034374.478287, 0.006143
1412034374.478324, 1412034374.484105, 0.005781
1412034374.484184, 1412034374.489759, 0.005575
1412034374.489829, 1412034374.494528, 0.004699
1412034374.494600, 1412034374.499390, 0.004790
1412034374.499483, 1412034374.504828, 0.005345
1412034374.504942, 1412034374.511500, 0.006558
1412034374.511615, 1412034374.518146, 0.006531
1412034374.518262, 1412034374.524823, 0.006561
1412034374.524937, 1412034374.531179, 0.006242
1412034374.531247, 1412034374.536499, 0.005252
1412034374.536610, 1412034374.542866, 0.006256
1412034374.542994, 1412034374.548292, 0.005298
1412034374.548381, 1412034374.554522, 0.006141
1412034374.554594, 1412034374.559845, 0.005251
1412034374.559962, 1412034374.566097, 0.006135
1412034374.566168, 1412034374.571522, 0.005354
1412034374.571639, 1412034374.578269, 0.006630
1412034374.578360, 1412034374.584957, 0.006597
1412034374.585067, 1412034374.591294, 0.006227
1412034374.591390, 1412034374.596300, 0.004910
1412034374.596442, 1412034374.602625, 0.006183
1412034374.602700, 1412034374.607940, 0.005240
1412034374.608057, 1412034374.614214, 0.006157
1412034374.614291, 1412034374.619683, 0.005392
1412034374.619799, 1412034374.625917, 0.006118
1412034374.626016, 1412034374.631463, 0.005447
1412034374.631545, 1412034374.637733, 0.006188
1412034374.637827, 1412034374.643092, 0.005265
