starttime, endtime, elapsedtime
1412034429.363725, 1412034429.366354, 0.002629
1412034429.366423, 1412034429.367958, 0.001535
1412034429.368055, 1412034429.369751, 0.001696
1412034429.369822, 1412034429.371454, 0.001632
1412034429.371552, 1412034429.373192, 0.001640
1412034429.373289, 1412034429.374750, 0.001461
1412034429.374813, 1412034429.376391, 0.001578
1412034429.376489, 1412034429.378104, 0.001615
1412034429.378173, 1412034429.379812, 0.001639
1412034429.379878, 1412034429.381487, 0.001609
1412034429.381553, 1412034429.382955, 0.001402
1412034429.383021, 1412034429.384748, 0.001727
1412034429.384812, 1412034429.385908, 0.001096
1412034429.385971, 1412034429.387350, 0.001379
1412034429.387368, 1412034429.388871, 0.001503
1412034429.388968, 1412034429.390182, 0.001214
1412034429.390245, 1412034429.391610, 0.001365
1412034429.391711, 1412034429.393272, 0.001561
1412034429.393368, 1412034429.394838, 0.001470
1412034429.394913, 1412034429.396438, 0.001525
1412034429.396506, 1412034429.397827, 0.001321
1412034429.397890, 1412034429.399186, 0.001296
1412034429.399252, 1412034429.400827, 0.001575
1412034429.400870, 1412034429.402047, 0.001177
1412034429.402087, 1412034429.403491, 0.001404
1412034429.403563, 1412034429.404693, 0.001130
1412034429.404724, 1412034429.406175, 0.001451
1412034429.406193, 1412034429.407461, 0.001268
1412034429.407483, 1412034429.408928, 0.001445
1412034429.408999, 1412034429.410457, 0.001458
1412034429.410527, 1412034429.411789, 0.001262
1412034429.411893, 1412034429.413028, 0.001135
1412034429.413130, 1412034429.414207, 0.001077
1412034429.414308, 1412034429.415526, 0.001218
1412034429.415631, 1412034429.417078, 0.001447
1412034429.417208, 1412034429.418554, 0.001346
1412034429.418656, 1412034429.419964, 0.001308
1412034429.420066, 1412034429.421319, 0.001253
1412034429.421421, 1412034429.422659, 0.001238
1412034429.422766, 1412034429.424096, 0.001330
1412034429.424221, 1412034429.425596, 0.001375
1412034429.425697, 1412034429.426896, 0.001199
1412034429.426998, 1412034429.428341, 0.001343
1412034429.428440, 1412034429.429764, 0.001324
1412034429.429892, 1412034429.431363, 0.001471
1412034429.431462, 1412034429.432876, 0.001414
1412034429.432982, 1412034429.434437, 0.001455
1412034429.434541, 1412034429.435850, 0.001309
1412034429.435952, 1412034429.437650, 0.001698
1412034429.437749, 1412034429.439556, 0.001807
1412034429.439659, 1412034429.441581, 0.001922
1412034429.441685, 1412034429.443444, 0.001759
1412034429.443518, 1412034429.445216, 0.001698
1412034429.445253, 1412034429.446697, 0.001444
1412034429.446824, 1412034429.448311, 0.001487
1412034429.448415, 1412034429.449999, 0.001584
1412034429.450101, 1412034429.451620, 0.001519
1412034429.451724, 1412034429.453161, 0.001437
1412034429.453265, 1412034429.454706, 0.001441
1412034429.454811, 1412034429.456337, 0.001526
1412034429.456442, 1412034429.457968, 0.001526
1412034429.458100, 1412034429.459710, 0.001610
1412034429.459807, 1412034429.461563, 0.001756
1412034429.461633, 1412034429.463365, 0.001732
1412034429.463436, 1412034429.465195, 0.001759
1412034429.465270, 1412034429.467067, 0.001797
1412034429.467141, 1412034429.468850, 0.001709
1412034429.468947, 1412034429.470711, 0.001764
1412034429.470814, 1412034429.472551, 0.001737
1412034429.472653, 1412034429.474392, 0.001739
1412034429.474462, 1412034429.476255, 0.001793
1412034429.476325, 1412034429.478051, 0.001726
1412034429.478148, 1412034429.479952, 0.001804
1412034429.480058, 1412034429.481797, 0.001739
1412034429.481920, 1412034429.483605, 0.001685
1412034429.483708, 1412034429.485481, 0.001773
1412034429.485556, 1412034429.487394, 0.001838
1412034429.487494, 1412034429.489200, 0.001706
1412034429.489301, 1412034429.490875, 0.001574
1412034429.490992, 1412034429.492252, 0.001260
1412034429.492370, 1412034429.493631, 0.001261
1412034429.493739, 1412034429.494985, 0.001246
1412034429.495109, 1412034429.496486, 0.001377
1412034429.496557, 1412034429.498131, 0.001574
1412034429.498230, 1412034429.499878, 0.001648
1412034429.499982, 1412034429.501733, 0.001751
1412034429.501834, 1412034429.503625, 0.001791
1412034429.503727, 1412034429.505384, 0.001657
1412034429.505510, 1412034429.507179, 0.001669
1412034429.507249, 1412034429.508974, 0.001725
1412034429.509040, 1412034429.510740, 0.001700
1412034429.510810, 1412034429.512435, 0.001625
1412034429.512500, 1412034429.513991, 0.001491
1412034429.514097, 1412034429.515447, 0.001350
1412034429.515507, 1412034429.517237, 0.001730
1412034429.517355, 1412034429.519140, 0.001785
1412034429.519198, 1412034429.520590, 0.001392
1412034429.520695, 1412034429.522105, 0.001410
1412034429.522162, 1412034429.523666, 0.001504
1412034429.523769, 1412034429.525185, 0.001416
