starttime, endtime, elapsedtime
1412034440.120808, 1412034440.134379, 0.013571
1412034440.134472, 1412034440.146174, 0.011702
1412034440.146316, 1412034440.158108, 0.011792
1412034440.158226, 1412034440.171467, 0.013241
1412034440.171540, 1412034440.183065, 0.011525
1412034440.183099, 1412034440.196591, 0.013492
1412034440.196663, 1412034440.209065, 0.012402
1412034440.209143, 1412034440.222491, 0.013348
1412034440.222561, 1412034440.234730, 0.012169
1412034440.234870, 1412034440.246293, 0.011423
1412034440.246368, 1412034440.257856, 0.011488
1412034440.257884, 1412034440.270841, 0.012957
1412034440.270960, 1412034440.282793, 0.011833
1412034440.282936, 1412034440.295194, 0.012258
1412034440.295285, 1412034440.307406, 0.012121
1412034440.307545, 1412034440.319740, 0.012195
1412034440.319813, 1412034440.331243, 0.011430
1412034440.331322, 1412034440.342579, 0.011257
1412034440.342721, 1412034440.353885, 0.011164
1412034440.353984, 1412034440.367213, 0.013229
1412034440.367346, 1412034440.378312, 0.010966
1412034440.378410, 1412034440.389465, 0.011055
1412034440.389492, 1412034440.400798, 0.011306
1412034440.400993, 1412034440.413072, 0.012079
1412034440.413148, 1412034440.424809, 0.011661
1412034440.424893, 1412034440.437678, 0.012785
1412034440.437774, 1412034440.449391, 0.011617
1412034440.449482, 1412034440.461199, 0.011717
1412034440.461270, 1412034440.473383, 0.012113
1412034440.473522, 1412034440.485151, 0.011629
1412034440.485178, 1412034440.496453, 0.011275
1412034440.496549, 1412034440.508336, 0.011787
1412034440.508403, 1412034440.520440, 0.012037
1412034440.520580, 1412034440.531780, 0.011200
1412034440.531879, 1412034440.543703, 0.011824
1412034440.543736, 1412034440.555660, 0.011924
1412034440.555728, 1412034440.567541, 0.011813
1412034440.567655, 1412034440.579088, 0.011433
1412034440.579160, 1412034440.590762, 0.011602
1412034440.590855, 1412034440.602317, 0.011462
1412034440.602387, 1412034440.614706, 0.012319
1412034440.614789, 1412034440.628179, 0.013390
1412034440.628292, 1412034440.640785, 0.012493
1412034440.640868, 1412034443.951217, 3.310349
1412034443.951241, 1412034443.967535, 0.016294
1412034443.967569, 1412034443.982990, 0.015421
1412034443.983017, 1412034443.996010, 0.012993
1412034443.996104, 1412034444.008284, 0.012180
1412034444.008355, 1412034444.020494, 0.012139
1412034444.020562, 1412034444.033011, 0.012449
1412034444.033101, 1412034444.044291, 0.011190
1412034444.044383, 1412034444.056278, 0.011895
1412034444.056372, 1412034444.068846, 0.012474
1412034444.068941, 1412034444.081349, 0.012408
1412034444.081490, 1412034444.094231, 0.012741
1412034444.094324, 1412034444.106210, 0.011886
1412034444.106326, 1412034444.118913, 0.012587
1412034444.119027, 1412034444.131629, 0.012602
1412034444.131721, 1412034444.142833, 0.011112
1412034444.142926, 1412034444.154531, 0.011605
1412034444.154668, 1412034444.167659, 0.012991
1412034444.167788, 1412034444.180003, 0.012215
1412034444.180118, 1412034444.192781, 0.012663
1412034444.192876, 1412034444.204568, 0.011692
1412034444.204666, 1412034444.216247, 0.011581
1412034444.216362, 1412034444.228532, 0.012170
1412034444.228604, 1412034444.241439, 0.012835
1412034444.241553, 1412034444.253062, 0.011509
1412034444.253134, 1412034444.265025, 0.011891
1412034444.265167, 1412034444.277499, 0.012332
1412034444.277594, 1412034444.288773, 0.011179
1412034444.288860, 1412034444.301868, 0.013008
1412034444.301983, 1412034444.313914, 0.011931
1412034444.313985, 1412034444.326793, 0.012808
1412034444.326915, 1412034444.339020, 0.012105
1412034444.339131, 1412034444.352150, 0.013019
1412034444.352241, 1412034444.365057, 0.012816
1412034444.365155, 1412034444.377487, 0.012332
1412034444.377524, 1412034444.390531, 0.013007
1412034444.390601, 1412034444.402634, 0.012033
1412034444.402706, 1412034444.415236, 0.012530
1412034444.415270, 1412034444.427988, 0.012718
1412034444.428024, 1412034444.441674, 0.013650
1412034444.441711, 1412034444.456633, 0.014922
1412034444.456723, 1412034444.468587, 0.011864
1412034444.468676, 1412034444.480414, 0.011738
1412034444.480508, 1412034444.493051, 0.012543
1412034444.493190, 1412034444.505540, 0.012350
1412034444.505631, 1412034444.517930, 0.012299
1412034444.518070, 1412034444.530869, 0.012799
1412034444.531075, 1412034444.544823, 0.013748
1412034444.544918, 1412034444.556950, 0.012032
1412034444.557088, 1412034444.569559, 0.012471
1412034444.569648, 1412034444.581475, 0.011827
1412034444.581525, 1412034444.593712, 0.012187
1412034444.593785, 1412034444.605455, 0.011670
1412034444.605525, 1412034444.617893, 0.012368
1412034444.617989, 1412034444.631512, 0.013523
1412034444.631631, 1412034444.643001, 0.011370
1412034444.643102, 1412034444.655867, 0.012765
