starttime, endtime, elapsedtime
1412034432.248411, 1412034432.253291, 0.004880
1412034432.253401, 1412034432.256404, 0.003003
1412034432.256479, 1412034432.259477, 0.002998
1412034432.259586, 1412034432.262472, 0.002886
1412034432.262546, 1412034432.265337, 0.002791
1412034432.265436, 1412034432.268252, 0.002816
1412034432.268326, 1412034432.270883, 0.002557
1412034432.270922, 1412034432.273323, 0.002401
1412034432.273388, 1412034432.275940, 0.002552
1412034432.276059, 1412034432.278511, 0.002452
1412034432.278582, 1412034432.281530, 0.002948
1412034432.281646, 1412034432.284095, 0.002449
1412034432.284229, 1412034432.286804, 0.002575
1412034432.286921, 1412034432.289453, 0.002532
1412034432.289564, 1412034432.291779, 0.002215
1412034432.291902, 1412034432.294085, 0.002183
1412034432.294104, 1412034432.296710, 0.002606
1412034432.296818, 1412034432.299032, 0.002214
1412034432.299085, 1412034432.301795, 0.002710
1412034432.301903, 1412034432.304636, 0.002733
1412034432.304711, 1412034432.307098, 0.002387
1412034432.307135, 1412034432.309626, 0.002491
1412034432.309653, 1412034432.312576, 0.002923
1412034432.312645, 1412034432.315111, 0.002466
1412034432.315145, 1412034432.317914, 0.002769
1412034432.317991, 1412034432.320650, 0.002659
1412034432.320717, 1412034432.323386, 0.002669
1412034432.323458, 1412034432.326167, 0.002709
1412034432.326235, 1412034432.329164, 0.002929
1412034432.329239, 1412034432.332217, 0.002978
1412034432.332332, 1412034432.335932, 0.003600
1412034432.336051, 1412034432.338562, 0.002511
1412034432.338639, 1412034432.341089, 0.002450
1412034432.341195, 1412034432.343633, 0.002438
1412034432.343704, 1412034432.346166, 0.002462
1412034432.346228, 1412034432.348831, 0.002603
1412034432.348936, 1412034432.351561, 0.002625
1412034432.351666, 1412034432.354082, 0.002416
1412034432.354188, 1412034432.356842, 0.002654
1412034432.356921, 1412034432.359368, 0.002447
1412034432.359478, 1412034432.362167, 0.002689
1412034432.362276, 1412034432.364900, 0.002624
1412034432.364999, 1412034432.367442, 0.002443
1412034432.367511, 1412034432.370127, 0.002616
1412034432.370194, 1412034432.372950, 0.002756
1412034432.373015, 1412034432.375689, 0.002674
1412034432.375768, 1412034432.378234, 0.002466
1412034432.378351, 1412034432.381027, 0.002676
1412034432.381132, 1412034432.383835, 0.002703
1412034432.383908, 1412034432.386247, 0.002339
1412034432.386362, 1412034432.388952, 0.002590
1412034432.389016, 1412034432.391235, 0.002219
1412034432.391326, 1412034432.393824, 0.002498
1412034432.393932, 1412034432.396443, 0.002511
1412034432.396504, 1412034432.398584, 0.002080
1412034432.398697, 1412034432.401531, 0.002834
1412034432.401598, 1412034432.404334, 0.002736
1412034432.404412, 1412034432.406835, 0.002423
1412034432.406896, 1412034432.409513, 0.002617
1412034432.409628, 1412034432.412401, 0.002773
1412034432.412533, 1412034433.533397, 1.120864
1412034433.533426, 1412034433.536208, 0.002782
1412034433.536235, 1412034433.538901, 0.002666
1412034433.538926, 1412034433.541663, 0.002737
1412034433.541699, 1412034433.544411, 0.002712
1412034433.544446, 1412034433.547119, 0.002673
1412034433.547159, 1412034433.549399, 0.002240
1412034433.549474, 1412034433.551854, 0.002380
1412034433.551888, 1412034433.554536, 0.002648
1412034433.554561, 1412034433.557063, 0.002502
1412034433.557080, 1412034433.559692, 0.002612
1412034433.559728, 1412034433.562616, 0.002888
1412034433.562646, 1412034433.565166, 0.002520
1412034433.565226, 1412034433.568241, 0.003015
1412034433.568268, 1412034433.571675, 0.003407
1412034433.571775, 1412034433.575141, 0.003366
1412034433.575179, 1412034433.578218, 0.003039
1412034433.578282, 1412034433.581076, 0.002794
1412034433.581120, 1412034433.584201, 0.003081
1412034433.584273, 1412034433.586903, 0.002630
1412034433.586976, 1412034433.589569, 0.002593
1412034433.589637, 1412034433.592386, 0.002749
1412034433.592457, 1412034433.595512, 0.003055
1412034433.595539, 1412034433.598281, 0.002742
1412034433.598300, 1412034433.601135, 0.002835
1412034433.601179, 1412034433.604381, 0.003202
1412034433.604455, 1412034433.607572, 0.003117
1412034433.607616, 1412034433.610694, 0.003078
1412034433.610801, 1412034433.613604, 0.002803
1412034433.613648, 1412034433.616884, 0.003236
1412034433.616984, 1412034433.619476, 0.002492
1412034433.619495, 1412034433.621927, 0.002432
1412034433.621946, 1412034433.624860, 0.002914
1412034433.624934, 1412034433.627762, 0.002828
1412034433.627871, 1412034433.630807, 0.002936
1412034433.630838, 1412034433.633685, 0.002847
1412034433.633719, 1412034433.639905, 0.006186
1412034433.639958, 1412034433.643556, 0.003598
1412034433.643592, 1412034433.646602, 0.003010
1412034433.646636, 1412034433.649434, 0.002798
