starttime, endtime, elapsedtime
1412034450.093857, 1412034450.181391, 0.087534
1412034450.181537, 1412034450.263791, 0.082254
1412034450.263905, 1412034450.338396, 0.074491
1412034450.338513, 1412034450.407965, 0.069452
1412034450.408052, 1412034450.491934, 0.083882
1412034450.492091, 1412034464.704518, 14.212427
1412034464.704561, 1412034465.324097, 0.619536
1412034465.324248, 1412034465.401479, 0.077231
1412034465.401625, 1412034465.473905, 0.072280
1412034465.474006, 1412034465.544032, 0.070026
1412034465.544173, 1412034465.620238, 0.076065
1412034465.620378, 1412034465.711144, 0.090766
1412034465.711258, 1412034465.784840, 0.073582
1412034465.784924, 1412034465.860994, 0.076070
1412034465.861076, 1412034465.933112, 0.072036
1412034465.933226, 1412034466.004532, 0.071306
1412034466.004627, 1412034469.593094, 3.588467
1412034469.593128, 1412034469.668644, 0.075516
1412034469.668758, 1412034469.743938, 0.075180
1412034469.744032, 1412034469.820527, 0.076495
1412034469.820668, 1412034469.892584, 0.071916
1412034469.892699, 1412034469.969965, 0.077266
1412034469.970036, 1412034470.038885, 0.068849
1412034470.038960, 1412034470.112180, 0.073220
1412034470.112251, 1412034476.792171, 6.679920
1412034476.792209, 1412034476.868152, 0.075943
1412034476.868182, 1412034476.941059, 0.072877
1412034476.941152, 1412034477.011764, 0.070612
1412034477.011909, 1412034477.085881, 0.073972
1412034477.086088, 1412034477.158402, 0.072314
1412034477.158566, 1412034477.229400, 0.070834
1412034477.229430, 1412034498.298276, 21.068846
1412034498.298309, 1412034498.373049, 0.074740
1412034498.373079, 1412034499.095873, 0.722794
1412034499.095916, 1412034499.170518, 0.074602
1412034499.170637, 1412034499.250334, 0.079697
1412034499.250434, 1412034499.328726, 0.078292
1412034499.328842, 1412034499.404458, 0.075616
1412034499.404573, 1412034499.475717, 0.071144
1412034499.475832, 1412034499.549069, 0.073237
1412034499.549098, 1412034502.930355, 3.381257
1412034502.930385, 1412034503.211171, 0.280786
1412034503.211211, 1412034503.533437, 0.322226
1412034503.533545, 1412034503.847201, 0.313656
1412034503.847239, 1412034504.171240, 0.324001
1412034504.171281, 1412034504.492459, 0.321178
1412034504.492578, 1412034504.818745, 0.326167
1412034504.818828, 1412034504.889418, 0.070590
1412034504.889514, 1412034505.183475, 0.293961
1412034505.183713, 1412034505.257507, 0.073794
1412034505.257650, 1412034505.334273, 0.076623
1412034505.334347, 1412034505.411486, 0.077139
1412034505.411571, 1412034505.486297, 0.074726
1412034505.486371, 1412034505.564177, 0.077806
1412034505.564297, 1412034505.639137, 0.074840
1412034505.639250, 1412034505.721280, 0.082030
1412034505.721383, 1412034505.796469, 0.075086
1412034505.796619, 1412034505.870235, 0.073616
1412034505.870377, 1412034505.940732, 0.070355
1412034505.940845, 1412034506.019591, 0.078746
1412034506.019684, 1412034506.089043, 0.069359
1412034506.089140, 1412034507.296070, 1.206930
1412034507.296101, 1412034507.372123, 0.076022
1412034507.372212, 1412034507.449074, 0.076862
1412034507.449190, 1412034507.525387, 0.076197
1412034507.525506, 1412034507.600937, 0.075431
1412034507.601074, 1412034507.675732, 0.074658
1412034507.675851, 1412034507.754601, 0.078750
1412034507.754703, 1412034507.855982, 0.101279
1412034507.856070, 1412034507.932508, 0.076438
1412034507.932654, 1412034508.004794, 0.072140
1412034508.004890, 1412034508.082405, 0.077515
1412034508.082519, 1412034508.162717, 0.080198
1412034508.162832, 1412034534.666266, 26.503434
1412034534.666299, 1412034534.989541, 0.323242
1412034534.989574, 1412034535.062386, 0.072812
1412034535.062483, 1412034535.139858, 0.077375
1412034535.140002, 1412034535.211114, 0.071112
1412034535.211210, 1412034535.280845, 0.069635
1412034535.280916, 1412034535.351059, 0.070143
1412034535.351173, 1412034535.429131, 0.077958
1412034535.429251, 1412034535.501392, 0.072141
1412034535.501512, 1412034535.573111, 0.071599
1412034535.573251, 1412034538.872583, 3.299332
1412034538.872698, 1412034538.948333, 0.075635
1412034538.948448, 1412034539.025664, 0.077216
1412034539.025694, 1412034539.098750, 0.073056
1412034539.098852, 1412034539.172913, 0.074061
1412034539.173027, 1412034539.244170, 0.071143
1412034539.244283, 1412034539.316062, 0.071779
1412034539.316179, 1412034539.386364, 0.070185
1412034539.386460, 1412034541.734912, 2.348452
1412034541.734948, 1412034541.807036, 0.072088
1412034541.807144, 1412034541.878949, 0.071805
1412034541.879083, 1412034541.954940, 0.075857
1412034541.955061, 1412034542.027794, 0.072733
1412034542.027910, 1412034542.098599, 0.070689
1412034542.098698, 1412034542.184921, 0.086223
1412034542.185083, 1412034542.258812, 0.073729
1412034542.258907, 1412034542.329535, 0.070628
