starttime, endtime, elapsedtime
1412034669.048432, 1412034669.130703, 0.082271
1412034669.130809, 1412034669.148999, 0.018190
1412034669.149094, 1412034669.167669, 0.018575
1412034669.167739, 1412034669.186489, 0.018750
1412034669.186562, 1412034669.204970, 0.018408
1412034669.205067, 1412034669.223338, 0.018271
1412034669.223440, 1412034669.242447, 0.019007
1412034669.242547, 1412034669.260953, 0.018406
1412034669.261026, 1412034669.279355, 0.018329
1412034669.279469, 1412034669.297957, 0.018488
1412034669.298059, 1412034669.317214, 0.019155
1412034669.317311, 1412034669.335967, 0.018656
1412034669.336047, 1412034669.354954, 0.018907
1412034669.354991, 1412034669.373380, 0.018389
1412034669.373447, 1412034669.392046, 0.018599
1412034669.392115, 1412034669.410631, 0.018516
1412034669.410695, 1412034669.428995, 0.018300
1412034669.429065, 1412034669.448700, 0.019635
1412034669.448799, 1412034669.467193, 0.018394
1412034669.467235, 1412034669.485131, 0.017896
1412034669.485198, 1412034669.504544, 0.019346
1412034669.504610, 1412034669.523232, 0.018622
1412034669.523315, 1412034669.540921, 0.017606
1412034669.540989, 1412034669.559980, 0.018991
1412034669.560046, 1412034669.578557, 0.018511
1412034669.578630, 1412034669.596972, 0.018342
1412034669.597070, 1412034669.615726, 0.018656
1412034669.615822, 1412034669.634303, 0.018481
1412034669.634373, 1412034669.653574, 0.019201
1412034669.653644, 1412034669.672635, 0.018991
1412034669.672706, 1412034669.690768, 0.018062
1412034669.690834, 1412034669.708874, 0.018040
1412034669.708940, 1412034669.727017, 0.018077
1412034669.727121, 1412034669.745482, 0.018361
1412034669.745551, 1412034669.764218, 0.018667
1412034669.764284, 1412034669.783203, 0.018919
1412034669.783283, 1412034669.801414, 0.018131
1412034669.801452, 1412034669.820631, 0.019179
1412034669.820696, 1412034669.840643, 0.019947
1412034669.840745, 1412034669.860279, 0.019534
1412034669.860372, 1412034669.879296, 0.018924
1412034669.879392, 1412034669.897824, 0.018432
1412034669.897927, 1412034669.916199, 0.018272
1412034669.916298, 1412034669.934333, 0.018035
1412034669.934407, 1412034669.953050, 0.018643
1412034669.953160, 1412034669.972147, 0.018987
1412034669.972245, 1412034669.990930, 0.018685
1412034669.990969, 1412034670.009914, 0.018945
1412034670.010016, 1412034670.028625, 0.018609
1412034670.028720, 1412034670.046676, 0.017956
1412034670.046771, 1412034670.065186, 0.018415
1412034670.065290, 1412034670.083767, 0.018477
1412034670.083865, 1412034670.102314, 0.018449
1412034670.102412, 1412034670.121206, 0.018794
1412034670.121273, 1412034670.139252, 0.017979
1412034670.139359, 1412034670.159153, 0.019794
1412034670.159195, 1412034670.177551, 0.018356
1412034670.177624, 1412034670.196405, 0.018781
1412034670.196504, 1412034670.215094, 0.018590
1412034670.215187, 1412034670.234700, 0.019513
1412034670.234805, 1412034670.253339, 0.018534
1412034670.253438, 1412034670.271596, 0.018158
1412034670.271692, 1412034670.290566, 0.018874
1412034670.290668, 1412034670.308596, 0.017928
1412034670.308693, 1412034670.327654, 0.018961
1412034670.327753, 1412034670.345836, 0.018083
1412034670.345947, 1412034670.364367, 0.018420
1412034670.364460, 1412034670.382682, 0.018222
1412034670.382775, 1412034670.401132, 0.018357
1412034670.401243, 1412034670.419194, 0.017951
1412034670.419272, 1412034670.438634, 0.019362
1412034670.438659, 1412034670.457199, 0.018540
1412034670.457224, 1412034670.475212, 0.017988
1412034670.475248, 1412034670.493861, 0.018613
1412034670.493885, 1412034670.512603, 0.018718
1412034670.512703, 1412034670.531232, 0.018529
1412034670.531255, 1412034670.549710, 0.018455
1412034670.549788, 1412034670.568139, 0.018351
1412034670.568235, 1412034670.585722, 0.017487
1412034670.585745, 1412034670.603940, 0.018195
1412034670.603984, 1412034670.622722, 0.018738
1412034670.622822, 1412034670.643076, 0.020254
1412034670.643223, 1412034670.661605, 0.018382
1412034670.661717, 1412034670.680320, 0.018603
1412034670.680415, 1412034670.698969, 0.018554
1412034670.699087, 1412034670.717434, 0.018347
1412034670.717533, 1412034670.736285, 0.018752
1412034670.736385, 1412034670.755015, 0.018630
1412034670.755133, 1412034670.772936, 0.017803
1412034670.773036, 1412034670.791325, 0.018289
1412034670.791416, 1412034670.809325, 0.017909
1412034670.809392, 1412034670.828264, 0.018872
1412034670.828362, 1412034670.847020, 0.018658
1412034670.847159, 1412034670.865499, 0.018340
1412034670.865595, 1412034670.884131, 0.018536
1412034670.884229, 1412034670.902763, 0.018534
1412034670.902833, 1412034670.920882, 0.018049
1412034670.920977, 1412034670.939220, 0.018243
1412034670.939319, 1412034670.957605, 0.018286
1412034670.957642, 1412034670.975597, 0.017955
