starttime, endtime, elapsedtime
1412034706.404816, 1412034706.690538, 0.285722
1412034706.690617, 1412034706.899518, 0.208901
1412034706.899628, 1412034707.107666, 0.208038
1412034707.107773, 1412034707.327996, 0.220223
1412034707.328103, 1412034707.536741, 0.208638
1412034707.536847, 1412034707.745123, 0.208276
1412034707.745156, 1412034707.956818, 0.211662
1412034707.956926, 1412034708.165033, 0.208107
1412034708.165110, 1412034708.377180, 0.212070
1412034708.377285, 1412034708.591130, 0.213845
1412034708.591232, 1412034708.805106, 0.213874
1412034708.805211, 1412034709.018475, 0.213264
1412034709.018550, 1412034709.233691, 0.215141
1412034709.233802, 1412034709.446292, 0.212490
1412034709.446325, 1412034710.087255, 0.640930
1412034710.087362, 1412034710.299100, 0.211738
1412034710.299204, 1412034710.507893, 0.208689
1412034710.507976, 1412034710.719680, 0.211704
1412034710.719761, 1412034710.932706, 0.212945
1412034710.932816, 1412034711.147154, 0.214338
1412034711.147258, 1412034711.361163, 0.213905
1412034711.361271, 1412034711.572982, 0.211711
1412034711.573059, 1412034711.790360, 0.217301
1412034711.790466, 1412034712.005175, 0.214709
1412034712.005280, 1412034712.219558, 0.214278
1412034712.219636, 1412034712.431206, 0.211570
1412034712.431353, 1412034712.643591, 0.212238
1412034712.643699, 1412034712.861877, 0.218178
1412034712.861956, 1412034713.075159, 0.213203
1412034713.075236, 1412034713.289823, 0.214587
1412034713.289934, 1412034713.502551, 0.212617
1412034713.502666, 1412034713.713970, 0.211304
1412034713.714046, 1412034713.926318, 0.212272
1412034713.926394, 1412034714.141877, 0.215483
1412034714.141983, 1412034714.952059, 0.810076
1412034714.952137, 1412034715.162212, 0.210075
1412034715.162259, 1412034715.375283, 0.213024
1412034715.375364, 1412034715.588582, 0.213218
1412034715.588685, 1412034715.804318, 0.215633
1412034715.804427, 1412034716.017760, 0.213333
1412034716.017843, 1412034716.233264, 0.215421
1412034716.233370, 1412034716.450823, 0.217453
1412034716.450899, 1412034716.662425, 0.211526
1412034716.662507, 1412034716.875566, 0.213059
1412034716.875647, 1412034717.088979, 0.213332
1412034717.089082, 1412034717.302260, 0.213178
1412034717.302333, 1412034717.509924, 0.207591
1412034717.510002, 1412034717.724117, 0.214115
1412034717.724223, 1412034717.936672, 0.212449
1412034717.936747, 1412034718.150146, 0.213399
1412034718.150223, 1412034718.366078, 0.215855
1412034718.366156, 1412034718.580008, 0.213852
1412034718.580088, 1412034718.793096, 0.213008
1412034718.793200, 1412034719.007945, 0.214745
1412034719.008048, 1412034719.221908, 0.213860
1412034719.221987, 1412034719.435980, 0.213993
1412034719.436055, 1412034719.648318, 0.212263
1412034719.648393, 1412034720.277842, 0.629449
1412034720.277948, 1412034720.485140, 0.207192
1412034720.485219, 1412034720.706338, 0.221119
1412034720.706414, 1412034720.920078, 0.213664
1412034720.920180, 1412034721.132453, 0.212273
1412034721.132505, 1412034721.344063, 0.211558
1412034721.344113, 1412034721.555073, 0.210960
1412034721.555123, 1412034721.767064, 0.211941
1412034721.767110, 1412034721.979458, 0.212348
1412034721.979533, 1412034722.189469, 0.209936
1412034722.189548, 1412034722.403326, 0.213778
1412034722.403432, 1412034722.617462, 0.214030
1412034722.617542, 1412034722.830017, 0.212475
1412034722.830090, 1412034723.045531, 0.215441
1412034723.045636, 1412034723.258127, 0.212491
1412034723.258173, 1412034723.472751, 0.214578
1412034723.472828, 1412034723.686919, 0.214091
1412034723.686995, 1412034723.897804, 0.210809
1412034723.897881, 1412034724.113353, 0.215472
1412034724.113430, 1412034724.329347, 0.215917
1412034724.329458, 1412034724.544981, 0.215523
1412034724.545063, 1412034724.763726, 0.218663
1412034724.763829, 1412034724.978275, 0.214446
1412034724.978380, 1412034725.194879, 0.216499
1412034725.194957, 1412034725.405767, 0.210810
1412034725.405845, 1412034725.613403, 0.207558
1412034725.613485, 1412034725.826583, 0.213098
1412034725.826663, 1412034726.041599, 0.214936
1412034726.041675, 1412034726.256450, 0.214775
1412034726.256553, 1412034726.465816, 0.209263
1412034726.465923, 1412034726.675762, 0.209839
1412034726.675836, 1412034726.886665, 0.210829
1412034726.886752, 1412034727.097000, 0.210248
1412034727.097102, 1412034727.307779, 0.210677
1412034727.307857, 1412034727.519848, 0.211991
1412034727.519930, 1412034727.735941, 0.216011
1412034727.736021, 1412034727.948839, 0.212818
1412034727.948912, 1412034728.163259, 0.214347
1412034728.163365, 1412034728.376783, 0.213418
1412034728.376856, 1412034728.590100, 0.213244
1412034728.590175, 1412034728.803158, 0.212983
1412034728.803261, 1412034729.021740, 0.218479
1412034729.021846, 1412034729.244460, 0.222614
