starttime, endtime, elapsedtime
1412034658.671829, 1412034658.746662, 0.074833
1412034658.746760, 1412034658.770423, 0.023663
1412034658.770499, 1412034658.794659, 0.024160
1412034658.794734, 1412034658.819331, 0.024597
1412034658.819402, 1412034658.843314, 0.023912
1412034658.843383, 1412034658.867953, 0.024570
1412034658.868023, 1412034658.892635, 0.024612
1412034658.892736, 1412034658.916471, 0.023735
1412034658.916568, 1412034658.940222, 0.023654
1412034658.940308, 1412034658.964156, 0.023848
1412034658.964253, 1412034658.988801, 0.024548
1412034658.988868, 1412034659.013166, 0.024298
1412034659.013237, 1412034659.037127, 0.023890
1412034659.037196, 1412034659.061508, 0.024312
1412034659.061574, 1412034659.085992, 0.024418
1412034659.086058, 1412034659.110458, 0.024400
1412034659.110526, 1412034659.134701, 0.024175
1412034659.134775, 1412034659.159827, 0.025052
1412034659.159902, 1412034659.183325, 0.023423
1412034659.183426, 1412034659.207162, 0.023736
1412034659.207218, 1412034659.231341, 0.024123
1412034659.231381, 1412034659.255404, 0.024023
1412034659.255471, 1412034659.279963, 0.024492
1412034659.280036, 1412034659.304372, 0.024336
1412034659.304472, 1412034659.328252, 0.023780
1412034659.328356, 1412034659.353022, 0.024666
1412034659.353091, 1412034659.376267, 0.023176
1412034659.376334, 1412034659.400212, 0.023878
1412034659.400240, 1412034659.424498, 0.024258
1412034659.424526, 1412034659.448359, 0.023833
1412034659.448460, 1412034659.473964, 0.025504
1412034659.474071, 1412034659.498274, 0.024203
1412034659.498346, 1412034659.521923, 0.023577
1412034659.522022, 1412034659.546860, 0.024838
1412034659.546964, 1412034659.571125, 0.024161
1412034659.571168, 1412034659.594818, 0.023650
1412034659.594893, 1412034659.618964, 0.024071
1412034659.619048, 1412034659.643474, 0.024426
1412034659.643574, 1412034659.667010, 0.023436
1412034659.667076, 1412034659.691126, 0.024050
1412034659.691228, 1412034659.715081, 0.023853
1412034659.715187, 1412034659.738944, 0.023757
1412034659.739016, 1412034659.762943, 0.023927
1412034659.763015, 1412034659.788483, 0.025468
1412034659.788584, 1412034659.812468, 0.023884
1412034659.812570, 1412034659.836423, 0.023853
1412034659.836519, 1412034659.860354, 0.023835
1412034659.860422, 1412034659.884558, 0.024136
1412034659.884659, 1412034659.909168, 0.024509
1412034659.909265, 1412034659.934518, 0.025253
1412034659.934620, 1412034659.958566, 0.023946
1412034659.958673, 1412034659.982924, 0.024251
1412034659.983028, 1412034660.007001, 0.023973
1412034660.007143, 1412034660.031165, 0.024022
1412034660.031269, 1412034660.055218, 0.023949
1412034660.055292, 1412034660.079814, 0.024522
1412034660.079915, 1412034660.103933, 0.024018
1412034660.104036, 1412034660.128324, 0.024288
1412034660.128421, 1412034660.152464, 0.024043
1412034660.152562, 1412034660.176425, 0.023863
1412034660.176527, 1412034660.200222, 0.023695
1412034660.200249, 1412034660.224304, 0.024055
1412034660.224333, 1412034660.248452, 0.024119
1412034660.248553, 1412034660.272848, 0.024295
1412034660.272944, 1412034660.296584, 0.023640
1412034660.296685, 1412034660.321415, 0.024730
1412034660.321518, 1412034660.346081, 0.024563
1412034660.346151, 1412034660.369865, 0.023714
1412034660.369967, 1412034660.394862, 0.024895
1412034660.394963, 1412034660.419027, 0.024064
1412034660.419153, 1412034660.443247, 0.024094
1412034660.443349, 1412034660.469052, 0.025703
1412034660.469159, 1412034660.493472, 0.024313
1412034660.493575, 1412034660.517824, 0.024249
1412034660.517923, 1412034660.542543, 0.024620
1412034660.542645, 1412034660.567165, 0.024520
1412034660.567230, 1412034660.591150, 0.023920
1412034660.591199, 1412034660.616181, 0.024982
1412034660.616209, 1412034660.640779, 0.024570
1412034660.640807, 1412034660.665029, 0.024222
1412034660.665057, 1412034660.690352, 0.025295
1412034660.690380, 1412034660.714194, 0.023814
1412034660.714294, 1412034660.737994, 0.023700
1412034660.738032, 1412034660.761891, 0.023859
1412034660.761930, 1412034660.786997, 0.025067
1412034660.787109, 1412034660.811447, 0.024338
1412034660.811545, 1412034660.835227, 0.023682
1412034660.835255, 1412034660.859309, 0.024054
1412034660.859337, 1412034660.883470, 0.024133
1412034660.883498, 1412034660.907759, 0.024261
1412034660.907798, 1412034660.932086, 0.024288
1412034660.932187, 1412034660.956225, 0.024038
1412034660.956327, 1412034660.980919, 0.024592
1412034660.980947, 1412034661.005100, 0.024153
1412034661.005127, 1412034661.028352, 0.023225
1412034661.028448, 1412034661.052959, 0.024511
1412034661.053030, 1412034661.077140, 0.024110
1412034661.077211, 1412034661.100966, 0.023755
1412034661.101069, 1412034661.126112, 0.025043
1412034661.126190, 1412034661.149803, 0.023613
