starttime, endtime, elapsedtime
1412034689.367264, 1412034689.550816, 0.183552
1412034689.550868, 1412034689.689202, 0.138334
1412034689.689281, 1412034689.829819, 0.140538
1412034689.829899, 1412034689.977754, 0.147855
1412034689.977837, 1412034690.121046, 0.143209
1412034690.121129, 1412034690.261022, 0.139893
1412034690.261104, 1412034690.406398, 0.145294
1412034690.406511, 1412034690.550764, 0.144253
1412034690.550801, 1412034690.690340, 0.139539
1412034690.690454, 1412034690.837434, 0.146980
1412034690.837543, 1412034690.976481, 0.138938
1412034690.976582, 1412034691.116168, 0.139586
1412034691.116195, 1412034691.256060, 0.139865
1412034691.256172, 1412034691.399609, 0.143437
1412034691.399715, 1412034691.546065, 0.146350
1412034691.546178, 1412034691.686894, 0.140716
1412034691.687007, 1412034691.827637, 0.140630
1412034691.827675, 1412034691.972839, 0.145164
1412034691.972876, 1412034692.117239, 0.144363
1412034692.117324, 1412034692.256234, 0.138910
1412034692.256347, 1412034692.395496, 0.139149
1412034692.395609, 1412034692.531478, 0.135869
1412034692.531610, 1412034692.669516, 0.137906
1412034692.669596, 1412034692.812005, 0.142409
1412034692.812107, 1412034692.951718, 0.139611
1412034692.951773, 1412034693.093077, 0.141304
1412034693.093135, 1412034693.237959, 0.144824
1412034693.238015, 1412034693.380224, 0.142209
1412034693.380282, 1412034693.517961, 0.137679
1412034693.518016, 1412034693.655801, 0.137785
1412034693.655855, 1412034693.793522, 0.137667
1412034693.793578, 1412034693.938730, 0.145152
1412034693.938785, 1412034694.367120, 0.428335
1412034694.367156, 1412034694.983742, 0.616586
1412034694.983855, 1412034695.121599, 0.137744
1412034695.121709, 1412034695.261763, 0.140054
1412034695.261850, 1412034695.403466, 0.141616
1412034695.403578, 1412034695.542773, 0.139195
1412034695.542884, 1412034695.683193, 0.140309
1412034695.683306, 1412034695.824382, 0.141076
1412034695.824419, 1412034695.965586, 0.141167
1412034695.965700, 1412034696.103316, 0.137616
1412034696.103425, 1412034696.244183, 0.140758
1412034696.244295, 1412034696.386440, 0.142145
1412034696.386555, 1412034696.529270, 0.142715
1412034696.529383, 1412034696.671883, 0.142500
1412034696.671998, 1412034696.810742, 0.138744
1412034696.810854, 1412034696.952411, 0.141557
1412034696.952520, 1412034697.096301, 0.143781
1412034697.096382, 1412034697.235383, 0.139001
1412034697.235490, 1412034697.375632, 0.140142
1412034697.375741, 1412034697.514649, 0.138908
1412034697.514730, 1412034697.654870, 0.140140
1412034697.654925, 1412034697.799135, 0.144210
1412034697.799188, 1412034697.941868, 0.142680
1412034697.941925, 1412034698.086407, 0.144482
1412034698.086464, 1412034698.227841, 0.141377
1412034698.227896, 1412034698.369928, 0.142032
1412034698.369983, 1412034698.509575, 0.139592
1412034698.509632, 1412034698.649597, 0.139965
1412034698.649710, 1412034698.793417, 0.143707
1412034698.793526, 1412034700.173757, 1.380231
1412034700.173793, 1412034700.308217, 0.134424
1412034700.308254, 1412034700.447285, 0.139031
1412034700.447319, 1412034700.585831, 0.138512
1412034700.585947, 1412034700.809044, 0.223097
1412034700.809154, 1412034700.946794, 0.137640
1412034700.946910, 1412034701.082946, 0.136036
1412034701.083091, 1412034701.220963, 0.137872
1412034701.221073, 1412034701.685718, 0.464645
1412034701.685830, 1412034701.825881, 0.140051
1412034701.825937, 1412034701.966180, 0.140243
1412034701.966290, 1412034702.109047, 0.142757
1412034702.109131, 1412034702.253678, 0.144547
1412034702.253715, 1412034702.396219, 0.142504
1412034702.396276, 1412034702.542076, 0.145800
1412034702.542131, 1412034702.681779, 0.139648
1412034702.681833, 1412034702.822643, 0.140810
1412034702.822698, 1412034702.954118, 0.131420
1412034702.954174, 1412034703.088138, 0.133964
1412034703.088193, 1412034703.220665, 0.132472
1412034703.220720, 1412034703.350592, 0.129872
1412034703.350647, 1412034703.483579, 0.132932
1412034703.483616, 1412034703.614847, 0.131231
1412034703.614925, 1412034703.748367, 0.133442
1412034703.748450, 1412034703.881522, 0.133072
1412034703.881650, 1412034704.027168, 0.145518
1412034704.027202, 1412034704.169045, 0.141843
1412034704.169128, 1412034704.316648, 0.147520
1412034704.316763, 1412034704.455954, 0.139191
1412034704.456063, 1412034704.928167, 0.472104
1412034704.928278, 1412034705.064951, 0.136673
1412034705.065064, 1412034705.200647, 0.135583
1412034705.200759, 1412034705.340236, 0.139477
1412034705.340344, 1412034705.721716, 0.381372
1412034705.721768, 1412034705.856168, 0.134400
1412034705.856287, 1412034705.991191, 0.134904
1412034705.991309, 1412034706.129034, 0.137725
1412034706.129144, 1412034706.268031, 0.138887
1412034706.268146, 1412034706.401749, 0.133603
