starttime, endtime, elapsedtime
1412034737.464572, 1412034737.470796, 0.006224
1412034737.470895, 1412034737.477164, 0.006269
1412034737.477234, 1412034737.483363, 0.006129
1412034737.483460, 1412034737.489620, 0.006160
1412034737.489719, 1412034737.495362, 0.005643
1412034737.495463, 1412034737.501581, 0.006118
1412034737.501657, 1412034737.507142, 0.005485
1412034737.507187, 1412034737.513216, 0.006029
1412034737.513315, 1412034737.519098, 0.005783
1412034737.519153, 1412034737.525056, 0.005903
1412034737.525156, 1412034737.531201, 0.006045
1412034737.531294, 1412034737.537205, 0.005911
1412034737.537309, 1412034737.543125, 0.005816
1412034737.543162, 1412034737.549111, 0.005949
1412034737.549174, 1412034737.555215, 0.006041
1412034737.555308, 1412034737.561029, 0.005721
1412034737.561101, 1412034737.566677, 0.005576
1412034737.566745, 1412034737.572597, 0.005852
1412034737.572663, 1412034737.578367, 0.005704
1412034737.578432, 1412034737.584585, 0.006153
1412034737.584634, 1412034737.590480, 0.005846
1412034737.590548, 1412034737.596689, 0.006141
1412034737.596757, 1412034737.602695, 0.005938
1412034737.602764, 1412034737.608760, 0.005996
1412034737.608829, 1412034737.614452, 0.005623
1412034737.614516, 1412034737.620683, 0.006167
1412034737.620753, 1412034737.626664, 0.005911
1412034737.626732, 1412034737.632665, 0.005933
1412034737.632735, 1412034737.639100, 0.006365
1412034737.639140, 1412034737.645498, 0.006358
1412034737.645594, 1412034737.651769, 0.006175
1412034737.651836, 1412034737.657734, 0.005898
1412034737.657811, 1412034737.664071, 0.006260
1412034737.664149, 1412034737.670214, 0.006065
1412034737.670313, 1412034737.676530, 0.006217
1412034737.676630, 1412034737.682439, 0.005809
1412034737.682476, 1412034737.688338, 0.005862
1412034737.688434, 1412034737.694134, 0.005700
1412034737.694232, 1412034737.704339, 0.010107
1412034737.704382, 1412034737.710573, 0.006191
1412034737.710613, 1412034737.716589, 0.005976
1412034737.716628, 1412034737.722546, 0.005918
1412034737.722586, 1412034737.728658, 0.006072
1412034737.728698, 1412034737.734616, 0.005918
1412034737.734655, 1412034737.740593, 0.005938
1412034737.740632, 1412034737.746270, 0.005638
1412034737.746310, 1412034737.752281, 0.005971
1412034737.752322, 1412034737.757930, 0.005608
1412034737.757969, 1412034737.763804, 0.005835
1412034737.763833, 1412034737.768645, 0.004812
1412034737.768670, 1412034737.773114, 0.004444
1412034737.773139, 1412034737.777747, 0.004608
1412034737.777773, 1412034737.782420, 0.004647
1412034737.782445, 1412034737.786769, 0.004324
1412034737.786794, 1412034737.791209, 0.004415
1412034737.791234, 1412034737.795955, 0.004721
1412034737.795980, 1412034737.800597, 0.004617
1412034737.800622, 1412034737.805551, 0.004929
1412034737.805576, 1412034737.810293, 0.004717
1412034737.810320, 1412034737.814521, 0.004201
1412034737.814546, 1412034737.818913, 0.004367
1412034737.818938, 1412034737.823737, 0.004799
1412034737.823762, 1412034737.828674, 0.004912
1412034737.828699, 1412034737.833516, 0.004817
1412034737.833555, 1412034737.839341, 0.005786
1412034737.839380, 1412034737.845230, 0.005850
1412034737.845269, 1412034737.851148, 0.005879
1412034737.851195, 1412034737.856981, 0.005786
1412034737.857020, 1412034737.862991, 0.005971
1412034737.863030, 1412034737.868850, 0.005820
1412034737.868889, 1412034737.874496, 0.005607
1412034737.874536, 1412034737.880202, 0.005666
1412034737.880240, 1412034737.885993, 0.005753
1412034737.886018, 1412034737.891450, 0.005432
1412034737.891475, 1412034737.897446, 0.005971
1412034737.897470, 1412034737.903144, 0.005674
1412034737.903175, 1412034737.909948, 0.006773
1412034737.910017, 1412034737.916360, 0.006343
1412034737.916456, 1412034737.922147, 0.005691
1412034737.922246, 1412034737.928384, 0.006138
1412034737.928480, 1412034737.934049, 0.005569
1412034737.934145, 1412034737.940397, 0.006252
1412034737.940492, 1412034737.946352, 0.005860
1412034737.946423, 1412034737.952374, 0.005951
1412034737.952467, 1412034737.958405, 0.005938
1412034737.958517, 1412034737.964809, 0.006292
1412034737.964921, 1412034737.970929, 0.006008
1412034737.971050, 1412034737.975954, 0.004904
1412034737.976041, 1412034737.981179, 0.005138
1412034737.981245, 1412034737.985824, 0.004579
1412034737.985937, 1412034737.990743, 0.004806
1412034737.990831, 1412034737.995760, 0.004929
1412034737.995852, 1412034738.000615, 0.004763
1412034738.000702, 1412034738.005595, 0.004893
1412034738.005682, 1412034738.010512, 0.004830
1412034738.010576, 1412034738.015917, 0.005341
1412034738.016017, 1412034738.021752, 0.005735
1412034738.021855, 1412034738.027685, 0.005830
1412034738.027785, 1412034738.032552, 0.004767
1412034738.032678, 1412034738.037506, 0.004828
