starttime, endtime, elapsedtime
1412034756.079293, 1412034756.097083, 0.017790
1412034756.097191, 1412034756.113479, 0.016288
1412034756.113586, 1412034756.129345, 0.015759
1412034756.129390, 1412034756.148228, 0.018838
1412034756.148338, 1412034756.164690, 0.016352
1412034756.164796, 1412034756.181174, 0.016378
1412034756.181279, 1412034756.197511, 0.016232
1412034756.197641, 1412034756.214244, 0.016603
1412034756.214353, 1412034756.230712, 0.016359
1412034756.230744, 1412034756.247683, 0.016939
1412034756.247789, 1412034756.263611, 0.015822
1412034756.263720, 1412034756.281464, 0.017744
1412034756.281575, 1412034756.297573, 0.015998
1412034756.297677, 1412034756.315229, 0.017552
1412034756.315271, 1412034756.331536, 0.016265
1412034756.331643, 1412034756.348495, 0.016852
1412034756.348604, 1412034756.364502, 0.015898
1412034756.364611, 1412034756.380184, 0.015573
1412034756.380293, 1412034756.396286, 0.015993
1412034756.396392, 1412034756.413769, 0.017377
1412034756.413844, 1412034756.430975, 0.017131
1412034756.431019, 1412034756.447381, 0.016362
1412034756.447461, 1412034756.464016, 0.016555
1412034756.464095, 1412034756.480814, 0.016719
1412034756.480893, 1412034756.497274, 0.016381
1412034756.497322, 1412034756.514693, 0.017371
1412034756.514771, 1412034756.530983, 0.016212
1412034756.531029, 1412034756.547119, 0.016090
1412034756.547187, 1412034756.563956, 0.016769
1412034756.564004, 1412034756.583707, 0.019703
1412034756.583784, 1412034756.600851, 0.017067
1412034756.600897, 1412034756.617414, 0.016517
1412034756.617487, 1412034756.635147, 0.017660
1412034756.635203, 1412034756.652868, 0.017665
1412034756.652942, 1412034756.670310, 0.017368
1412034756.670385, 1412034756.688216, 0.017831
1412034756.688291, 1412034756.705496, 0.017205
1412034756.705539, 1412034756.722861, 0.017322
1412034756.722909, 1412034756.739663, 0.016754
1412034756.739768, 1412034756.756940, 0.017172
1412034756.757014, 1412034756.775717, 0.018703
1412034756.775795, 1412034756.793434, 0.017639
1412034756.793511, 1412034756.810730, 0.017219
1412034756.810774, 1412034756.828496, 0.017722
1412034756.828604, 1412034756.845463, 0.016859
1412034756.845505, 1412034756.862501, 0.016996
1412034756.862542, 1412034756.878983, 0.016441
1412034756.879068, 1412034756.895848, 0.016780
1412034756.895888, 1412034756.912790, 0.016902
1412034756.912867, 1412034756.929064, 0.016197
1412034756.929141, 1412034756.945459, 0.016318
1412034756.945501, 1412034756.962317, 0.016816
1412034756.962387, 1412034756.979423, 0.017036
1412034756.979492, 1412034756.995615, 0.016123
1412034756.995656, 1412034757.011669, 0.016013
1412034757.011710, 1412034757.027298, 0.015588
1412034757.027374, 1412034757.043448, 0.016074
1412034757.043557, 1412034757.059939, 0.016382
1412034757.060046, 1412034757.075901, 0.015855
1412034757.075944, 1412034757.092054, 0.016110
1412034757.092096, 1412034757.109639, 0.017543
1412034757.109743, 1412034757.126761, 0.017018
1412034757.126867, 1412034757.142714, 0.015847
1412034757.142755, 1412034757.159691, 0.016936
1412034757.159792, 1412034757.175784, 0.015992
1412034757.175884, 1412034757.192151, 0.016267
1412034757.192254, 1412034757.207774, 0.015520
1412034757.207845, 1412034757.225105, 0.017260
1412034757.225147, 1412034757.241362, 0.016215
1412034757.241467, 1412034757.257925, 0.016458
1412034757.258024, 1412034757.275004, 0.016980
1412034757.275083, 1412034757.291450, 0.016367
1412034757.291557, 1412034757.307388, 0.015831
1412034757.307492, 1412034757.324513, 0.017021
1412034757.324585, 1412034757.340960, 0.016375
1412034757.341062, 1412034757.357142, 0.016080
1412034757.357172, 1412034757.372920, 0.015748
1412034757.373027, 1412034757.388880, 0.015853
1412034757.388981, 1412034757.406888, 0.017907
1412034757.406999, 1412034757.423451, 0.016452
1412034757.423493, 1412034757.439221, 0.015728
1412034757.439265, 1412034757.455869, 0.016604
1412034757.455940, 1412034757.472421, 0.016481
1412034757.472523, 1412034757.488846, 0.016323
1412034757.488920, 1412034757.504967, 0.016047
1412034757.505074, 1412034757.521313, 0.016239
1412034757.521420, 1412034757.538397, 0.016977
1412034757.538439, 1412034757.554925, 0.016486
1412034757.555030, 1412034757.570785, 0.015755
1412034757.570858, 1412034757.590043, 0.019185
1412034757.590147, 1412034757.606458, 0.016311
1412034757.606558, 1412034757.623437, 0.016879
1412034757.623479, 1412034757.640379, 0.016900
1412034757.640484, 1412034757.656739, 0.016255
1412034757.656841, 1412034757.673136, 0.016295
1412034757.673237, 1412034757.689370, 0.016133
1412034757.689472, 1412034757.705916, 0.016444
1412034757.705946, 1412034757.722297, 0.016351
1412034757.722401, 1412034757.738008, 0.015607
1412034757.738079, 1412034757.755094, 0.017015
