starttime, endtime, elapsedtime
1412034802.577994, 1412034803.566416, 0.988422
1412034803.566560, 1412034804.558384, 0.991824
1412034804.558492, 1412034805.535181, 0.976689
1412034805.535287, 1412034806.521046, 0.985759
1412034806.521154, 1412034807.516991, 0.995837
1412034807.517102, 1412034808.679153, 1.162051
1412034808.679260, 1412034809.670257, 0.990997
1412034809.670368, 1412034810.647071, 0.976703
1412034810.647204, 1412034812.884061, 2.236857
1412034812.884227, 1412034814.295761, 1.411534
1412034834.365080, 1412034835.365229, 1.000149
1412034835.365340, 1412034836.363241, 0.997901
1412034836.363346, 1412034837.356283, 0.992937
1412034837.356395, 1412034838.792798, 1.436403
1412034838.792912, 1412034839.793093, 1.000181
1412034839.793177, 1412034840.783136, 0.989959
1412034840.783242, 1412034841.766697, 0.983455
1412034841.766805, 1412034842.759226, 0.992421
1412034842.759304, 1412034844.028481, 1.269177
1412034844.028619, 1412034845.009610, 0.980991
1412034868.198086, 1412034869.190668, 0.992582
1412034869.190809, 1412034870.188680, 0.997871
1412034870.188785, 1412034871.177188, 0.988403
1412034871.177294, 1412034872.160849, 0.983555
1412034872.160959, 1412034873.142562, 0.981603
1412034873.142675, 1412034874.479717, 1.337042
1412034874.479770, 1412034876.003088, 1.523318
1412034876.003167, 1412034876.992713, 0.989546
1412034876.992824, 1412034882.424494, 5.431670
1412034882.424605, 1412034883.466720, 1.042115
1412034913.146793, 1412034914.149245, 1.002452
1412034914.149353, 1412034915.139342, 0.989989
1412034915.139423, 1412034916.125126, 0.985703
1412034916.125230, 1412034917.112919, 0.987689
1412034917.112997, 1412034918.093287, 0.980290
1412034918.093367, 1412034919.333277, 1.239910
1412034919.333385, 1412034920.328122, 0.994737
1412034920.328200, 1412034921.316903, 0.988703
1412034921.316982, 1412034922.295416, 0.978434
1412034922.295465, 1412034923.286241, 0.990776
1412034947.898668, 1412034949.113578, 1.214910
1412034949.113717, 1412034950.102136, 0.988419
1412034950.102250, 1412034951.093200, 0.990950
1412034951.093311, 1412034952.085628, 0.992317
1412034952.085682, 1412034953.064176, 0.978494
1412034953.064230, 1412034957.508475, 4.444245
1412034957.508528, 1412034958.504157, 0.995629
1412034958.504210, 1412034959.793171, 1.288961
1412034959.793248, 1412034960.770152, 0.976904
1412034960.770234, 1412034961.758528, 0.988294
1412034986.440755, 1412034987.466328, 1.025573
1412034987.466438, 1412034988.657034, 1.190596
1412034988.657144, 1412034989.653780, 0.996636
1412034989.653858, 1412034990.656350, 1.002492
1412034990.656399, 1412034991.646954, 0.990555
1412034991.647110, 1412034992.633890, 0.986780
1412034992.634001, 1412034993.903296, 1.269295
1412034993.903409, 1412034994.889640, 0.986231
1412034994.889752, 1412034995.874570, 0.984818
1412034995.874679, 1412034996.868298, 0.993619
1412035019.353980, 1412035020.332836, 0.978856
1412035020.332914, 1412035021.331799, 0.998885
1412035021.331906, 1412035022.749033, 1.417127
1412035022.749109, 1412035023.731199, 0.982090
1412035023.731307, 1412035024.717847, 0.986540
1412035024.717959, 1412035025.705401, 0.987442
1412035025.705487, 1412035026.690129, 0.984642
1412035026.690240, 1412035027.677454, 0.987214
1412035027.677532, 1412035028.651812, 0.974280
1412035028.651925, 1412035029.633826, 0.981901
1412035054.927266, 1412035055.925090, 0.997824
1412035055.925203, 1412035056.913075, 0.987872
1412035056.913153, 1412035057.906759, 0.993606
1412035057.906841, 1412035058.907196, 1.000355
1412035058.907278, 1412035060.309364, 1.402086
1412035060.309472, 1412035064.622477, 4.313005
1412035064.622556, 1412035066.155128, 1.532572
1412035066.155207, 1412035067.152355, 0.997148
1412035067.152434, 1412035068.140295, 0.987861
1412035068.140404, 1412035069.133330, 0.992926
1412035090.597101, 1412035091.593306, 0.996205
1412035091.593458, 1412035093.188092, 1.594634
1412035093.188167, 1412035094.165625, 0.977458
1412035094.165735, 1412035095.162046, 0.996311
1412035095.162159, 1412035096.160164, 0.998005
1412035096.160277, 1412035097.155873, 0.995596
1412035097.155985, 1412035098.264734, 1.108749
1412035098.264783, 1412035099.245354, 0.980571
1412035099.245464, 1412035100.222613, 0.977149
1412035100.222719, 1412035101.208593, 0.985874
1412035122.593365, 1412035123.585731, 0.992366
1412035123.585844, 1412035124.575309, 0.989465
1412035124.575390, 1412035125.559839, 0.984449
1412035125.559951, 1412035126.564433, 1.004482
1412035126.564545, 1412035127.545621, 0.981076
1412035127.545670, 1412035128.761742, 1.216072
1412035128.761856, 1412035129.737923, 0.976067
1412035129.738067, 1412035130.723826, 0.985759
1412035130.723934, 1412035131.717889, 0.993955
1412035131.717943, 1412035132.714194, 0.996251
