starttime, endtime, elapsedtime
1412034741.912314, 1412034741.928872, 0.016558
1412034741.928927, 1412034741.939260, 0.010333
1412034741.939286, 1412034741.949291, 0.010005
1412034741.949316, 1412034741.959139, 0.009823
1412034741.959186, 1412034741.969169, 0.009983
1412034741.969243, 1412034741.979203, 0.009960
1412034741.979285, 1412034741.989383, 0.010098
1412034741.989453, 1412034741.999746, 0.010293
1412034741.999849, 1412034742.009373, 0.009524
1412034742.009440, 1412034742.019774, 0.010334
1412034742.019870, 1412034742.029328, 0.009458
1412034742.029393, 1412034742.039649, 0.010256
1412034742.039748, 1412034742.049450, 0.009702
1412034742.049476, 1412034742.059368, 0.009892
1412034742.059391, 1412034742.069187, 0.009796
1412034742.069213, 1412034742.079497, 0.010284
1412034742.079523, 1412034742.089219, 0.009696
1412034742.089246, 1412034742.099188, 0.009942
1412034742.099237, 1412034742.108833, 0.009596
1412034742.108900, 1412034742.118881, 0.009981
1412034742.118976, 1412034742.128899, 0.009923
1412034742.128968, 1412034742.138990, 0.010022
1412034742.139101, 1412034742.148958, 0.009857
1412034742.149059, 1412034742.159017, 0.009958
1412034742.159151, 1412034742.168975, 0.009824
1412034742.169071, 1412034742.179326, 0.010255
1412034742.179423, 1412034742.189343, 0.009920
1412034742.189441, 1412034742.199346, 0.009905
1412034742.199438, 1412034742.209275, 0.009837
1412034742.209377, 1412034742.219281, 0.009904
1412034742.219348, 1412034742.228876, 0.009528
1412034742.228970, 1412034742.239314, 0.010344
1412034742.239386, 1412034742.249322, 0.009936
1412034742.249423, 1412034742.259943, 0.010520
1412034742.260043, 1412034742.269388, 0.009345
1412034742.269485, 1412034742.279183, 0.009698
1412034742.279258, 1412034742.289377, 0.010119
1412034742.289479, 1412034742.299943, 0.010464
1412034742.300048, 1412034742.309525, 0.009477
1412034742.309625, 1412034742.319593, 0.009968
1412034742.319688, 1412034742.329402, 0.009714
1412034742.329499, 1412034742.339599, 0.010100
1412034742.339698, 1412034742.349392, 0.009694
1412034742.349491, 1412034742.359333, 0.009842
1412034742.359437, 1412034742.369969, 0.010532
1412034742.370042, 1412034742.380238, 0.010196
1412034742.380339, 1412034742.389731, 0.009392
1412034742.389829, 1412034742.400024, 0.010195
1412034742.400122, 1412034742.410194, 0.010072
1412034742.410293, 1412034742.420257, 0.009964
1412034742.420323, 1412034742.429572, 0.009249
1412034742.429671, 1412034742.439640, 0.009969
1412034742.439740, 1412034742.449359, 0.009619
1412034742.449458, 1412034742.459276, 0.009818
1412034742.459374, 1412034742.468849, 0.009475
1412034742.468949, 1412034742.479072, 0.010123
1412034742.479134, 1412034742.488764, 0.009630
1412034742.488862, 1412034742.498919, 0.010057
1412034742.498989, 1412034742.508796, 0.009807
1412034742.508897, 1412034742.519012, 0.010115
1412034742.519150, 1412034742.529067, 0.009917
1412034742.529169, 1412034742.539061, 0.009892
1412034742.539157, 1412034742.548814, 0.009657
1412034742.548913, 1412034742.558781, 0.009868
1412034742.558880, 1412034742.568835, 0.009955
1412034742.568930, 1412034742.578906, 0.009976
1412034742.578978, 1412034742.588879, 0.009901
1412034742.588975, 1412034742.598837, 0.009862
1412034742.598934, 1412034742.608831, 0.009897
1412034742.608928, 1412034742.619316, 0.010388
1412034742.619410, 1412034742.629012, 0.009602
1412034742.629108, 1412034742.638972, 0.009864
1412034742.639077, 1412034742.648850, 0.009773
1412034742.648950, 1412034742.659112, 0.010162
1412034742.659158, 1412034742.669149, 0.009991
1412034742.669247, 1412034742.679218, 0.009971
1412034742.679297, 1412034742.689188, 0.009891
1412034742.689288, 1412034742.699171, 0.009883
1412034742.699241, 1412034742.708812, 0.009571
1412034742.708910, 1412034742.718924, 0.010014
1412034742.718994, 1412034742.728763, 0.009769
1412034742.728866, 1412034742.738969, 0.010103
1412034742.739085, 1412034742.748841, 0.009756
1412034742.748936, 1412034742.758710, 0.009774
1412034742.758784, 1412034742.768464, 0.009680
1412034742.768563, 1412034742.778509, 0.009946
1412034742.778605, 1412034742.788734, 0.010129
1412034742.788830, 1412034742.798763, 0.009933
1412034742.798863, 1412034742.808504, 0.009641
1412034742.808601, 1412034742.818472, 0.009871
1412034742.818574, 1412034742.828223, 0.009649
1412034742.828317, 1412034742.838380, 0.010063
1412034742.838500, 1412034742.848384, 0.009884
1412034742.848523, 1412034742.858478, 0.009955
1412034742.858581, 1412034742.868334, 0.009753
1412034742.868436, 1412034742.878438, 0.010002
1412034742.878537, 1412034742.888342, 0.009805
1412034742.888442, 1412034742.898588, 0.010146
1412034742.898685, 1412034742.911805, 0.013120
1412034742.911832, 1412034742.921621, 0.009789
