iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412187799.790428, 1412187801.835704, 2.045276
1412187806.498267, 1412187806.499128, 0.000861
1412187808.936470, 1412187808.937363, 0.000893
1412187811.351706, 1412187811.352564, 0.000858
1412187813.768136, 1412187813.769007, 0.000871
1412187816.195602, 1412187816.196494, 0.000892
1412187818.605937, 1412187818.606812, 0.000875
1412187821.027183, 1412187821.028080, 0.000897
1412187823.439692, 1412187823.440559, 0.000867
1412187825.868735, 1412187825.869594, 0.000859
1412187801.835894, 1412187801.849947, 0.014053
1412187806.499222, 1412187806.500007, 0.000785
1412187808.937459, 1412187808.938262, 0.000803
1412187811.352659, 1412187811.353413, 0.000754
1412187813.769102, 1412187813.769878, 0.000776
1412187816.196590, 1412187816.197383, 0.000793
1412187818.606906, 1412187818.607684, 0.000778
1412187821.028176, 1412187821.028943, 0.000767
1412187823.440684, 1412187823.441454, 0.000770
1412187825.869689, 1412187825.870450, 0.000761
1412187801.850109, 1412187801.851430, 0.001321
1412187806.500093, 1412187806.500839, 0.000746
1412187808.938349, 1412187808.939127, 0.000778
1412187811.353499, 1412187811.354254, 0.000755
1412187813.769964, 1412187813.770757, 0.000793
1412187816.197471, 1412187816.198256, 0.000785
1412187818.607769, 1412187818.608570, 0.000801
1412187821.029027, 1412187821.029790, 0.000763
1412187823.441540, 1412187823.442304, 0.000764
1412187825.870536, 1412187825.871302, 0.000766
1412187801.851646, 1412187801.852974, 0.001328
1412187806.500923, 1412187806.501700, 0.000777
1412187808.939213, 1412187808.939996, 0.000783
1412187811.354339, 1412187811.355089, 0.000750
1412187813.770844, 1412187813.771625, 0.000781
1412187816.198344, 1412187816.199096, 0.000752
1412187818.608657, 1412187818.609398, 0.000741
1412187821.029875, 1412187821.030669, 0.000794
1412187823.442389, 1412187823.443149, 0.000760
1412187825.871388, 1412187825.872201, 0.000813
1412187801.853123, 1412187801.854352, 0.001229
1412187806.501781, 1412187806.502522, 0.000741
1412187808.940084, 1412187808.940839, 0.000755
1412187811.355172, 1412187811.355998, 0.000826
1412187813.771711, 1412187813.772460, 0.000749
1412187816.199180, 1412187816.199951, 0.000771
1412187818.609480, 1412187818.610216, 0.000736
1412187821.030757, 1412187821.031543, 0.000786
1412187823.443235, 1412187823.444035, 0.000800
1412187825.872287, 1412187825.873037, 0.000750
1412187801.854497, 1412187801.856482, 0.001985
1412187806.502604, 1412187806.503344, 0.000740
1412187808.940925, 1412187808.941674, 0.000749
1412187811.356084, 1412187811.356837, 0.000753
1412187813.772546, 1412187813.773294, 0.000748
1412187816.200036, 1412187816.200775, 0.000739
1412187818.610299, 1412187818.611043, 0.000744
1412187821.031628, 1412187821.032385, 0.000757
1412187823.444121, 1412187823.444907, 0.000786
1412187825.873122, 1412187825.873881, 0.000759
1412187801.856636, 1412187801.857903, 0.001267
1412187806.503426, 1412187806.504187, 0.000761
1412187808.941760, 1412187808.942507, 0.000747
1412187811.356922, 1412187811.357693, 0.000771
1412187813.773383, 1412187813.774123, 0.000740
1412187816.200857, 1412187816.201595, 0.000738
1412187818.611124, 1412187818.611904, 0.000780
1412187821.032468, 1412187821.033205, 0.000737
1412187823.444996, 1412187823.445774, 0.000778
1412187825.873965, 1412187825.874716, 0.000751
1412187801.858064, 1412187801.859341, 0.001277
1412187806.504271, 1412187806.505013, 0.000742
1412187808.942592, 1412187808.943338, 0.000746
1412187811.357778, 1412187811.358520, 0.000742
1412187813.774206, 1412187813.774947, 0.000741
1412187816.201676, 1412187816.202419, 0.000743
1412187818.611987, 1412187818.612733, 0.000746
1412187821.033287, 1412187821.034021, 0.000734
1412187823.445857, 1412187823.446602, 0.000745
1412187825.874800, 1412187825.875561, 0.000761
1412187801.859521, 1412187801.860799, 0.001278
1412187806.505096, 1412187806.505838, 0.000742
1412187808.943422, 1412187808.944191, 0.000769
1412187811.358602, 1412187811.359333, 0.000731
1412187813.775030, 1412187813.775802, 0.000772
1412187816.202499, 1412187816.203238, 0.000739
1412187818.612816, 1412187818.613554, 0.000738
1412187821.034103, 1412187821.034854, 0.000751
1412187823.446685, 1412187823.447426, 0.000741
1412187825.875647, 1412187825.876402, 0.000755
1412187801.860947, 1412187801.862233, 0.001286
1412187806.505919, 1412187806.506659, 0.000740
1412187808.944276, 1412187808.945014, 0.000738
1412187811.359416, 1412187811.360182, 0.000766
1412187813.775887, 1412187813.776698, 0.000811
1412187816.203320, 1412187816.204333, 0.001013
1412187818.613635, 1412187818.614379, 0.000744
1412187821.034936, 1412187821.035695, 0.000759
1412187823.447526, 1412187823.448277, 0.000751
1412187825.876489, 1412187825.877241, 0.000752
1412187801.862379, 1412187801.863702, 0.001323
1412187806.506744, 1412187806.507499, 0.000755
1412187808.945099, 1412187808.945834, 0.000735
1412187811.360267, 1412187811.361018, 0.000751
1412187813.776783, 1412187813.777534, 0.000751
1412187816.204429, 1412187816.205215, 0.000786
1412187818.614463, 1412187818.615202, 0.000739
1412187821.035777, 1412187821.036522, 0.000745
1412187823.448364, 1412187823.449112, 0.000748
1412187825.877343, 1412187825.878346, 0.001003
1412187801.863850, 1412187801.865128, 0.001278
1412187806.507583, 1412187806.508326, 0.000743
1412187808.945915, 1412187808.946658, 0.000743
1412187811.361100, 1412187811.361841, 0.000741
1412187813.777616, 1412187813.778354, 0.000738
1412187816.205300, 1412187816.206048, 0.000748
1412187818.615284, 1412187818.616051, 0.000767
1412187821.036604, 1412187821.037350, 0.000746
1412187823.449194, 1412187823.449938, 0.000744
1412187825.878447, 1412187825.879228, 0.000781
1412187801.865274, 1412187801.866525, 0.001251
1412187806.508409, 1412187806.509155, 0.000746
1412187808.946740, 1412187808.947536, 0.000796
1412187811.361923, 1412187811.362655, 0.000732
1412187813.778436, 1412187813.779180, 0.000744
1412187816.206131, 1412187816.206871, 0.000740
1412187818.616135, 1412187818.616872, 0.000737
1412187821.037433, 1412187821.038170, 0.000737
1412187823.450020, 1412187823.450790, 0.000770
1412187825.879314, 1412187825.880103, 0.000789
1412187801.866668, 1412187801.867942, 0.001274
1412187806.509238, 1412187806.509979, 0.000741
1412187808.947627, 1412187808.948404, 0.000777
1412187811.362738, 1412187811.363489, 0.000751
1412187813.779263, 1412187813.780029, 0.000766
1412187816.206956, 1412187816.207832, 0.000876
1412187818.616957, 1412187818.617702, 0.000745
1412187821.038252, 1412187821.038991, 0.000739
1412187823.450876, 1412187823.451673, 0.000797
1412187825.880189, 1412187825.880927, 0.000738
1412187801.868089, 1412187801.869347, 0.001258
1412187806.510060, 1412187806.510796, 0.000736
1412187808.948489, 1412187808.949255, 0.000766
1412187811.363572, 1412187811.364317, 0.000745
1412187813.780113, 1412187813.780854, 0.000741
1412187816.207969, 1412187816.209154, 0.001185
1412187818.617787, 1412187818.618556, 0.000769
1412187821.039073, 1412187821.039842, 0.000769
1412187823.451758, 1412187823.452516, 0.000758
1412187825.881013, 1412187825.881778, 0.000765
1412187801.869493, 1412187801.870717, 0.001224
1412187806.510880, 1412187806.511897, 0.001017
1412187808.949340, 1412187808.950087, 0.000747
1412187811.364399, 1412187811.365138, 0.000739
1412187813.780935, 1412187813.781672, 0.000737
1412187816.209248, 1412187816.210044, 0.000796
1412187818.618641, 1412187818.619382, 0.000741
1412187821.039925, 1412187821.040712, 0.000787
1412187823.452599, 1412187823.453344, 0.000745
1412187825.881863, 1412187825.882738, 0.000875
1412187801.870879, 1412187801.873176, 0.002297
1412187806.512002, 1412187806.512845, 0.000843
1412187808.950172, 1412187808.950908, 0.000736
1412187811.365222, 1412187811.365958, 0.000736
1412187813.781755, 1412187813.782484, 0.000729
1412187816.210130, 1412187816.210879, 0.000749
1412187818.619483, 1412187818.620238, 0.000755
1412187821.040800, 1412187821.041561, 0.000761
1412187823.453428, 1412187823.454166, 0.000738
1412187825.882869, 1412187825.883943, 0.001074
1412187801.873381, 1412187801.874667, 0.001286
1412187806.512934, 1412187806.513696, 0.000762
1412187808.950992, 1412187808.951750, 0.000758
1412187811.366041, 1412187811.366798, 0.000757
1412187813.782565, 1412187813.783296, 0.000731
1412187816.210962, 1412187816.211750, 0.000788
1412187818.620321, 1412187818.621061, 0.000740
1412187821.041644, 1412187821.042385, 0.000741
1412187823.454247, 1412187823.454999, 0.000752
1412187825.884031, 1412187825.884800, 0.000769
1412187801.874816, 1412187801.876891, 0.002075
1412187806.513779, 1412187806.514514, 0.000735
1412187808.951835, 1412187808.952590, 0.000755
1412187811.366885, 1412187811.367658, 0.000773
1412187813.783378, 1412187813.784143, 0.000765
1412187816.211835, 1412187816.212588, 0.000753
1412187818.621143, 1412187818.621878, 0.000735
1412187821.042467, 1412187821.043221, 0.000754
1412187823.455081, 1412187823.455851, 0.000770
1412187825.884882, 1412187825.885628, 0.000746
1412187801.877047, 1412187801.878310, 0.001263
1412187806.514597, 1412187806.515338, 0.000741
1412187808.952673, 1412187808.953409, 0.000736
1412187811.367742, 1412187811.368490, 0.000748
1412187813.784228, 1412187813.784970, 0.000742
1412187816.212673, 1412187816.213412, 0.000739
1412187818.621960, 1412187818.622699, 0.000739
1412187821.043302, 1412187821.044073, 0.000771
1412187823.455935, 1412187823.456684, 0.000749
1412187825.885712, 1412187825.886465, 0.000753
1412187801.878458, 1412187801.879729, 0.001271
1412187806.515421, 1412187806.516363, 0.000942
1412187808.953493, 1412187808.954229, 0.000736
1412187811.368572, 1412187811.369319, 0.000747
1412187813.785054, 1412187813.785786, 0.000732
1412187816.213495, 1412187816.214233, 0.000738
1412187818.622781, 1412187818.623545, 0.000764
1412187821.044156, 1412187821.044899, 0.000743
1412187823.456767, 1412187823.457518, 0.000751
1412187825.886548, 1412187825.887290, 0.000742
1412187801.879882, 1412187801.881150, 0.001268
1412187806.516490, 1412187806.517417, 0.000927
1412187808.954311, 1412187808.955050, 0.000739
1412187811.369402, 1412187811.370136, 0.000734
1412187813.785868, 1412187813.786637, 0.000769
1412187816.214316, 1412187816.215060, 0.000744
1412187818.623631, 1412187818.624439, 0.000808
1412187821.044980, 1412187821.045767, 0.000787
1412187823.457600, 1412187823.458341, 0.000741
1412187825.887375, 1412187825.888143, 0.000768
1412187801.881299, 1412187801.882586, 0.001287
1412187806.517504, 1412187806.518248, 0.000744
1412187808.955134, 1412187808.955902, 0.000768
1412187811.370218, 1412187811.370952, 0.000734
1412187813.786723, 1412187813.787496, 0.000773
1412187816.215142, 1412187816.215906, 0.000764
1412187818.624524, 1412187818.625271, 0.000747
1412187821.045850, 1412187821.046603, 0.000753
1412187823.458422, 1412187823.459157, 0.000735
1412187825.888226, 1412187825.888962, 0.000736
1412187801.882731, 1412187801.884201, 0.001470
1412187806.518331, 1412187806.519070, 0.000739
1412187808.955986, 1412187808.956722, 0.000736
1412187811.371034, 1412187811.371792, 0.000758
1412187813.787580, 1412187813.788328, 0.000748
1412187816.215992, 1412187816.216740, 0.000748
1412187818.625356, 1412187818.626103, 0.000747
1412187821.046686, 1412187821.047428, 0.000742
1412187823.459237, 1412187823.460001, 0.000764
1412187825.889045, 1412187825.889787, 0.000742
1412187801.884349, 1412187801.885585, 0.001236
1412187806.519152, 1412187806.519929, 0.000777
1412187808.956804, 1412187808.957558, 0.000754
1412187811.371875, 1412187811.372625, 0.000750
1412187813.788413, 1412187813.789149, 0.000736
1412187816.216823, 1412187816.217598, 0.000775
1412187818.626188, 1412187818.626923, 0.000735
1412187821.047529, 1412187821.048279, 0.000750
1412187823.460084, 1412187823.460860, 0.000776
1412187825.889871, 1412187825.890610, 0.000739
1412187801.885730, 1412187801.886968, 0.001238
1412187806.520013, 1412187806.520744, 0.000731
1412187808.957644, 1412187808.958395, 0.000751
1412187811.372707, 1412187811.373446, 0.000739
1412187813.789232, 1412187813.789960, 0.000728
1412187816.217683, 1412187816.218431, 0.000748
1412187818.627007, 1412187818.627767, 0.000760
1412187821.048361, 1412187821.049109, 0.000748
1412187823.460945, 1412187823.461703, 0.000758
1412187825.890691, 1412187825.891423, 0.000732
1412187801.887128, 1412187801.888402, 0.001274
1412187806.520826, 1412187806.521568, 0.000742
1412187808.958481, 1412187808.959234, 0.000753
1412187811.373528, 1412187811.374264, 0.000736
1412187813.790042, 1412187813.790779, 0.000737
1412187816.218515, 1412187816.219253, 0.000738
1412187818.627851, 1412187818.628636, 0.000785
1412187821.049193, 1412187821.049955, 0.000762
1412187823.461786, 1412187823.462530, 0.000744
1412187825.891530, 1412187825.892335, 0.000805
1412187801.888548, 1412187801.889780, 0.001232
1412187806.521673, 1412187806.522477, 0.000804
1412187808.959318, 1412187808.960089, 0.000771
1412187811.374347, 1412187811.375119, 0.000772
1412187813.790863, 1412187813.791663, 0.000800
1412187816.219336, 1412187816.220100, 0.000764
1412187818.628721, 1412187818.629476, 0.000755
1412187821.050041, 1412187821.050850, 0.000809
1412187823.462629, 1412187823.463388, 0.000759
1412187825.892422, 1412187825.893199, 0.000777
1412187801.889921, 1412187801.891165, 0.001244
1412187806.522563, 1412187806.523303, 0.000740
1412187808.960173, 1412187808.960963, 0.000790
1412187811.375202, 1412187811.375976, 0.000774
1412187813.791749, 1412187813.792496, 0.000747
1412187816.220183, 1412187816.220927, 0.000744
1412187818.629596, 1412187818.630347, 0.000751
1412187821.050934, 1412187821.051707, 0.000773
1412187823.463495, 1412187823.464249, 0.000754
1412187825.893283, 1412187825.894029, 0.000746
1412187801.891316, 1412187801.892668, 0.001352
1412187806.523385, 1412187806.524150, 0.000765
1412187808.961047, 1412187808.961795, 0.000748
1412187811.376059, 1412187811.376793, 0.000734
1412187813.792579, 1412187813.793323, 0.000744
1412187816.221010, 1412187816.221748, 0.000738
1412187818.630430, 1412187818.631169, 0.000739
1412187821.051791, 1412187821.052552, 0.000761
1412187823.464333, 1412187823.465074, 0.000741
1412187825.894114, 1412187825.894859, 0.000745
1412187801.892815, 1412187801.894098, 0.001283
1412187806.524233, 1412187806.524978, 0.000745
1412187808.961881, 1412187808.962618, 0.000737
1412187811.376892, 1412187811.377658, 0.000766
1412187813.793406, 1412187813.794140, 0.000734
1412187816.221830, 1412187816.222585, 0.000755
1412187818.631252, 1412187818.632020, 0.000768
1412187821.052636, 1412187821.053380, 0.000744
1412187823.465156, 1412187823.465891, 0.000735
1412187825.894941, 1412187825.895713, 0.000772
1412187801.894243, 1412187801.895517, 0.001274
1412187806.525061, 1412187806.525795, 0.000734
1412187808.962701, 1412187808.963431, 0.000730
1412187811.377740, 1412187811.378495, 0.000755
1412187813.794223, 1412187813.794957, 0.000734
1412187816.222671, 1412187816.223419, 0.000748
1412187818.632103, 1412187818.632840, 0.000737
1412187821.053465, 1412187821.054202, 0.000737
1412187823.465974, 1412187823.466723, 0.000749
1412187825.895797, 1412187825.896550, 0.000753
1412187801.895668, 1412187801.896927, 0.001259
1412187806.525876, 1412187806.526608, 0.000732
1412187808.963534, 1412187808.964290, 0.000756
1412187811.378579, 1412187811.379309, 0.000730
1412187813.795041, 1412187813.795795, 0.000754
1412187816.223522, 1412187816.224270, 0.000748
1412187818.632922, 1412187818.633660, 0.000738
1412187821.054286, 1412187821.055037, 0.000751
1412187823.466807, 1412187823.467570, 0.000763
1412187825.896632, 1412187825.897380, 0.000748
1412187801.897071, 1412187801.898317, 0.001246
1412187806.526690, 1412187806.527430, 0.000740
1412187808.964374, 1412187808.965118, 0.000744
1412187811.379392, 1412187811.380158, 0.000766
1412187813.795881, 1412187813.796659, 0.000778
1412187816.224352, 1412187816.225087, 0.000735
1412187818.633743, 1412187818.634482, 0.000739
1412187821.055121, 1412187821.055886, 0.000765
1412187823.467655, 1412187823.468411, 0.000756
1412187825.897463, 1412187825.898213, 0.000750
1412187801.898493, 1412187801.899785, 0.001292
1412187806.527529, 1412187806.528265, 0.000736
1412187808.965203, 1412187808.965939, 0.000736
1412187811.380241, 1412187811.380985, 0.000744
1412187813.796747, 1412187813.797506, 0.000759
1412187816.225172, 1412187816.225910, 0.000738
1412187818.634566, 1412187818.635335, 0.000769
1412187821.055972, 1412187821.056714, 0.000742
1412187823.468497, 1412187823.469244, 0.000747
1412187825.898297, 1412187825.899034, 0.000737
1412187801.899932, 1412187801.901155, 0.001223
1412187806.528346, 1412187806.529081, 0.000735
1412187808.966023, 1412187808.966768, 0.000745
1412187811.381069, 1412187811.381798, 0.000729
1412187813.797593, 1412187813.798341, 0.000748
1412187816.225993, 1412187816.226728, 0.000735
1412187818.635418, 1412187818.636182, 0.000764
1412187821.056797, 1412187821.057533, 0.000736
1412187823.469328, 1412187823.470062, 0.000734
1412187825.899116, 1412187825.899882, 0.000766
1412187801.901300, 1412187801.902592, 0.001292
1412187806.529162, 1412187806.529891, 0.000729
1412187808.966850, 1412187808.967638, 0.000788
1412187811.381881, 1412187811.382608, 0.000727
1412187813.798424, 1412187813.799169, 0.000745
1412187816.226810, 1412187816.227596, 0.000786
1412187818.636266, 1412187818.637005, 0.000739
1412187821.057614, 1412187821.058358, 0.000744
1412187823.470145, 1412187823.470903, 0.000758
1412187825.899966, 1412187825.900708, 0.000742
1412187801.902739, 1412187801.904058, 0.001319
1412187806.529973, 1412187806.530711, 0.000738
1412187808.967723, 1412187808.968487, 0.000764
1412187811.382692, 1412187811.383422, 0.000730
1412187813.799251, 1412187813.800015, 0.000764
1412187816.227682, 1412187816.228436, 0.000754
1412187818.637088, 1412187818.637831, 0.000743
1412187821.058440, 1412187821.059174, 0.000734
1412187823.470987, 1412187823.471758, 0.000771
1412187825.900791, 1412187825.901533, 0.000742
1412187801.904205, 1412187801.905435, 0.001230
1412187806.530794, 1412187806.531545, 0.000751
1412187808.968572, 1412187808.969309, 0.000737
1412187811.383529, 1412187811.384281, 0.000752
1412187813.800098, 1412187813.800829, 0.000731
1412187816.228519, 1412187816.229268, 0.000749
1412187818.637913, 1412187818.638683, 0.000770
1412187821.059256, 1412187821.060020, 0.000764
1412187823.471842, 1412187823.472598, 0.000756
1412187825.901616, 1412187825.902397, 0.000781
1412187801.905579, 1412187801.906810, 0.001231
1412187806.531628, 1412187806.532410, 0.000782
1412187808.969389, 1412187808.970131, 0.000742
1412187811.384365, 1412187811.385099, 0.000734
1412187813.800914, 1412187813.801646, 0.000732
1412187816.229350, 1412187816.230089, 0.000739
1412187818.638767, 1412187818.639523, 0.000756
1412187821.060103, 1412187821.060883, 0.000780
1412187823.472683, 1412187823.473421, 0.000738
1412187825.902483, 1412187825.903233, 0.000750
1412187801.906963, 1412187801.908274, 0.001311
1412187806.532495, 1412187806.533243, 0.000748
1412187808.970215, 1412187808.970952, 0.000737
1412187811.385180, 1412187811.385914, 0.000734
1412187813.801729, 1412187813.802473, 0.000744
1412187816.230173, 1412187816.230907, 0.000734
1412187818.639608, 1412187818.640355, 0.000747
1412187821.060970, 1412187821.061727, 0.000757
1412187823.473505, 1412187823.474246, 0.000741
1412187825.903316, 1412187825.904091, 0.000775
1412187801.908434, 1412187801.909671, 0.001237
1412187806.533325, 1412187806.534066, 0.000741
1412187808.971034, 1412187808.971795, 0.000761
1412187811.385994, 1412187811.386732, 0.000738
1412187813.802558, 1412187813.803296, 0.000738
1412187816.230989, 1412187816.231744, 0.000755
1412187818.640439, 1412187818.641186, 0.000747
1412187821.061810, 1412187821.062552, 0.000742
1412187823.474329, 1412187823.475074, 0.000745
1412187825.904175, 1412187825.904917, 0.000742
1412187801.909815, 1412187801.911046, 0.001231
1412187806.534148, 1412187806.534887, 0.000739
1412187808.971877, 1412187808.972663, 0.000786
1412187811.386813, 1412187811.387599, 0.000786
1412187813.803380, 1412187813.804146, 0.000766
1412187816.231829, 1412187816.232581, 0.000752
1412187818.641268, 1412187818.642000, 0.000732
1412187821.062634, 1412187821.063398, 0.000764
1412187823.475157, 1412187823.475932, 0.000775
