iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412210609.284663, 1412210610.933242, 1.648579
1412210610.933420, 1412210610.942288, 0.008868
1412210610.942447, 1412210610.943818, 0.001371
1412210610.943973, 1412210610.945271, 0.001298
1412210610.945425, 1412210610.946667, 0.001242
1412210610.946814, 1412210610.948120, 0.001306
1412210610.948270, 1412210610.949540, 0.001270
1412210610.949684, 1412210610.950949, 0.001265
1412210610.951100, 1412210610.952415, 0.001315
1412210610.952565, 1412210610.953848, 0.001283
1412210610.953998, 1412210610.955220, 0.001222
1412210610.955369, 1412210610.956663, 0.001294
1412210610.956812, 1412210610.958055, 0.001243
1412210610.958201, 1412210610.959410, 0.001209
1412210610.959555, 1412210610.960875, 0.001320
1412210610.961025, 1412210610.962295, 0.001270
1412210610.962443, 1412210610.963707, 0.001264
1412210610.963887, 1412210610.965131, 0.001244
1412210610.965279, 1412210610.966754, 0.001475
1412210610.966903, 1412210610.968177, 0.001274
1412210610.968375, 1412210610.969620, 0.001245
1412210610.969773, 1412210610.971020, 0.001247
1412210610.971170, 1412210610.972483, 0.001313
1412210610.972635, 1412210610.973916, 0.001281
1412210610.974067, 1412210610.975297, 0.001230
1412210610.975442, 1412210610.976954, 0.001512
1412210610.977103, 1412210610.978329, 0.001226
1412210610.978479, 1412210610.979703, 0.001224
1412210610.979882, 1412210610.981119, 0.001237
1412210610.981267, 1412210610.982556, 0.001289
1412210610.982704, 1412210610.984027, 0.001323
1412210610.984177, 1412210610.985420, 0.001243
1412210610.985565, 1412210610.986936, 0.001371
1412210610.987087, 1412210610.988344, 0.001257
1412210610.988494, 1412210610.989737, 0.001243
1412210610.989883, 1412210610.991103, 0.001220
1412210610.991252, 1412210610.992596, 0.001344
1412210610.992747, 1412210610.994030, 0.001283
1412210610.994182, 1412210610.995409, 0.001227
1412210610.995559, 1412210610.996855, 0.001296
1412210610.997004, 1412210610.998244, 0.001240
1412210610.998389, 1412210610.999616, 0.001227
1412210610.999793, 1412210611.001053, 0.001260
1412210611.001202, 1412210611.002515, 0.001313
1412210611.002664, 1412210611.003965, 0.001301
1412210611.004115, 1412210611.005361, 0.001246
1412210611.005505, 1412210611.006718, 0.001213
1412210611.006867, 1412210611.008145, 0.001278
1412210611.008288, 1412210611.016842, 0.008554
1412210611.017006, 1412210611.018312, 0.001306
1412210611.018459, 1412210611.019684, 0.001225
1412210611.019863, 1412210611.021130, 0.001267
1412210611.021280, 1412210611.022509, 0.001229
1412210611.022656, 1412210611.023909, 0.001253
1412210611.024118, 1412210611.025362, 0.001244
1412210611.025507, 1412210611.026764, 0.001257
1412210611.026934, 1412210611.028190, 0.001256
1412210611.028338, 1412210611.029561, 0.001223
1412210611.029710, 1412210611.030940, 0.001230
1412210611.031089, 1412210611.032393, 0.001304
1412210611.032540, 1412210611.033762, 0.001222
1412210611.033911, 1412210611.035217, 0.001306
1412210611.035365, 1412210611.036657, 0.001292
1412210611.036805, 1412210611.038024, 0.001219
1412210611.038175, 1412210611.039393, 0.001218
1412210611.039542, 1412210611.040835, 0.001293
1412210611.040980, 1412210611.042221, 0.001241
1412210611.042366, 1412210611.043586, 0.001220
1412210611.043728, 1412210611.045083, 0.001355
1412210611.045230, 1412210611.046448, 0.001218
1412210611.046596, 1412210611.047878, 0.001282
1412210611.048707, 1412210611.050192, 0.001485
1412210611.050339, 1412210611.051574, 0.001235
1412210611.051720, 1412210611.053043, 0.001323
1412210611.053191, 1412210611.054482, 0.001291
1412210611.054636, 1412210611.057140, 0.002504
1412210611.057292, 1412210611.058533, 0.001241
1412210611.058679, 1412210611.059968, 0.001289
1412210611.060117, 1412210611.061349, 0.001232
1412210611.061493, 1412210611.062704, 0.001211
1412210611.062850, 1412210611.064129, 0.001279
1412210611.064283, 1412210611.065621, 0.001338
1412210611.065771, 1412210611.067007, 0.001236
1412210611.067151, 1412210611.068416, 0.001265
1412210611.068562, 1412210611.069804, 0.001242
1412210611.069949, 1412210611.071188, 0.001239
1412210611.071332, 1412210611.072588, 0.001256
1412210611.072738, 1412210611.073951, 0.001213
1412210611.074096, 1412210611.075420, 0.001324
1412210611.075568, 1412210611.076836, 0.001268
1412210611.076983, 1412210611.078199, 0.001216
1412210611.078343, 1412210611.079562, 0.001219
1412210611.079707, 1412210611.081217, 0.001510
1412210611.081370, 1412210611.082617, 0.001247
