iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412187801.835716, 1412187801.835865, 0.000149
1412187806.499135, 1412187806.499205, 0.000070
1412187808.937370, 1412187808.937442, 0.000072
1412187811.352571, 1412187811.352642, 0.000071
1412187813.769014, 1412187813.769085, 0.000071
1412187816.196500, 1412187816.196573, 0.000073
1412187818.606818, 1412187818.606889, 0.000071
1412187821.028086, 1412187821.028159, 0.000073
1412187823.440566, 1412187823.440665, 0.000099
1412187825.869601, 1412187825.869673, 0.000072
1412187801.849959, 1412187801.850079, 0.000120
1412187806.500013, 1412187806.500079, 0.000066
1412187808.938267, 1412187808.938334, 0.000067
1412187811.353419, 1412187811.353483, 0.000064
1412187813.769884, 1412187813.769947, 0.000063
1412187816.197389, 1412187816.197455, 0.000066
1412187818.607690, 1412187818.607753, 0.000063
1412187821.028948, 1412187821.029011, 0.000063
1412187823.441460, 1412187823.441525, 0.000065
1412187825.870455, 1412187825.870520, 0.000065
1412187801.851440, 1412187801.851618, 0.000178
1412187806.500845, 1412187806.500907, 0.000062
1412187808.939132, 1412187808.939197, 0.000065
1412187811.354260, 1412187811.354323, 0.000063
1412187813.770762, 1412187813.770827, 0.000065
1412187816.198262, 1412187816.198327, 0.000065
1412187818.608575, 1412187818.608641, 0.000066
1412187821.029795, 1412187821.029859, 0.000064
1412187823.442310, 1412187823.442374, 0.000064
1412187825.871308, 1412187825.871372, 0.000064
1412187801.852984, 1412187801.853095, 0.000111
1412187806.501705, 1412187806.501767, 0.000062
1412187808.940002, 1412187808.940068, 0.000066
1412187811.355095, 1412187811.355156, 0.000061
1412187813.771631, 1412187813.771694, 0.000063
1412187816.199101, 1412187816.199164, 0.000063
1412187818.609403, 1412187818.609464, 0.000061
1412187821.030675, 1412187821.030741, 0.000066
1412187823.443155, 1412187823.443220, 0.000065
1412187825.872206, 1412187825.872270, 0.000064
1412187801.854361, 1412187801.854471, 0.000110
1412187806.502527, 1412187806.502588, 0.000061
1412187808.940845, 1412187808.940909, 0.000064
1412187811.356003, 1412187811.356069, 0.000066
1412187813.772466, 1412187813.772530, 0.000064
1412187816.199956, 1412187816.200021, 0.000065
