iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412210610.933255, 1412210610.933392, 0.000137
1412210610.942300, 1412210610.942419, 0.000119
1412210610.943828, 1412210610.943945, 0.000117
1412210610.945281, 1412210610.945397, 0.000116
1412210610.946677, 1412210610.946787, 0.000110
1412210610.948130, 1412210610.948244, 0.000114
1412210610.949550, 1412210610.949658, 0.000108
1412210610.950959, 1412210610.951073, 0.000114
1412210610.952426, 1412210610.952539, 0.000113
1412210610.953857, 1412210610.953970, 0.000113
1412210610.955231, 1412210610.955341, 0.000110
1412210610.956673, 1412210610.956786, 0.000113
1412210610.958064, 1412210610.958176, 0.000112
1412210610.959420, 1412210610.959529, 0.000109
1412210610.960886, 1412210610.960999, 0.000113
1412210610.962304, 1412210610.962417, 0.000113
1412210610.963717, 1412210610.963860, 0.000143
1412210610.965141, 1412210610.965252, 0.000111
1412210610.966764, 1412210610.966876, 0.000112
1412210610.968187, 1412210610.968300, 0.000113
1412210610.969630, 1412210610.969746, 0.000116
1412210610.971030, 1412210610.971144, 0.000114
1412210610.972493, 1412210610.972609, 0.000116
1412210610.973927, 1412210610.974041, 0.000114
1412210610.975306, 1412210610.975416, 0.000110
1412210610.976964, 1412210610.977077, 0.000113
1412210610.978339, 1412210610.978451, 0.000112
1412210610.979713, 1412210610.979856, 0.000143
1412210610.981129, 1412210610.981240, 0.000111
1412210610.982566, 1412210610.982677, 0.000111
1412210610.984037, 1412210610.984150, 0.000113
1412210610.985430, 1412210610.985538, 0.000108
1412210610.986946, 1412210610.987059, 0.000113
1412210610.988355, 1412210610.988468, 0.000113
1412210610.989747, 1412210610.989858, 0.000111
1412210610.991113, 1412210610.991226, 0.000113
1412210610.992608, 1412210610.992721, 0.000113
1412210610.994041, 1412210610.994154, 0.000113
1412210610.995419, 1412210610.995532, 0.000113
1412210610.996864, 1412210610.996977, 0.000113
1412210610.998253, 1412210610.998362, 0.000109
1412210610.999626, 1412210610.999736, 0.000110
1412210611.001063, 1412210611.001176, 0.000113
1412210611.002525, 1412210611.002637, 0.000112
1412210611.003975, 1412210611.004087, 0.000112
1412210611.005371, 1412210611.005479, 0.000108
