iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412187806.497444, 1412187806.498122, 0.000678
1412187808.935642, 1412187808.936326, 0.000684
1412187811.350876, 1412187811.351563, 0.000687
1412187813.767286, 1412187813.767993, 0.000707
1412187816.194757, 1412187816.195443, 0.000686
1412187818.605127, 1412187818.605798, 0.000671
1412187821.026359, 1412187821.027042, 0.000683
1412187823.438839, 1412187823.439546, 0.000707
1412187825.867916, 1412187825.868596, 0.000680
1412187828.277523, 1412187828.278215, 0.000692
1412187806.496727, 1412187806.497418, 0.000691
1412187808.934912, 1412187808.935615, 0.000703
1412187811.350176, 1412187811.350850, 0.000674
1412187813.766569, 1412187813.767260, 0.000691
1412187816.194026, 1412187816.194730, 0.000704
1412187818.604422, 1412187818.605100, 0.000678
1412187821.025649, 1412187821.026333, 0.000684
1412187823.438134, 1412187823.438813, 0.000679
1412187825.867188, 1412187825.867889, 0.000701
1412187828.276761, 1412187828.277496, 0.000735
1412187806.496016, 1412187806.496700, 0.000684
1412187808.934192, 1412187808.934884, 0.000692
1412187811.349472, 1412187811.350149, 0.000677
1412187813.765826, 1412187813.766542, 0.000716
1412187816.193219, 1412187816.193998, 0.000779
1412187818.603697, 1412187818.604395, 0.000698
1412187821.024943, 1412187821.025624, 0.000681
1412187823.437419, 1412187823.438108, 0.000689
1412187825.866484, 1412187825.867162, 0.000678
1412187828.275718, 1412187828.276727, 0.001009
1412187806.495270, 1412187806.495990, 0.000720
1412187808.933453, 1412187808.934163, 0.000710
1412187811.348765, 1412187811.349446, 0.000681
1412187813.765112, 1412187813.765800, 0.000688
1412187816.192510, 1412187816.193193, 0.000683
1412187818.602925, 1412187818.603666, 0.000741
1412187821.024230, 1412187821.024917, 0.000687
1412187823.436685, 1412187823.437392, 0.000707
1412187825.865772, 1412187825.866459, 0.000687
1412187828.274890, 1412187828.275678, 0.000788
1412187806.494540, 1412187806.495243, 0.000703
1412187808.932739, 1412187808.933425, 0.000686
1412187811.348041, 1412187811.348738, 0.000697
1412187813.764376, 1412187813.765084, 0.000708
1412187816.191789, 1412187816.192482, 0.000693
1412187818.602215, 1412187818.602898, 0.000683
1412187821.023485, 1412187821.024203, 0.000718
1412187823.435965, 1412187823.436658, 0.000693
1412187825.865041, 1412187825.865743, 0.000702
1412187828.274172, 1412187828.274865, 0.000693
1412187806.493824, 1412187806.494514, 0.000690
1412187808.932015, 1412187808.932711, 0.000696
1412187811.347286, 1412187811.348012, 0.000726
1412187813.763545, 1412187813.764346, 0.000801
1412187816.191040, 1412187816.191763, 0.000723
1412187818.601505, 1412187818.602189, 0.000684
1412187821.022755, 1412187821.023441, 0.000686
1412187823.435223, 1412187823.435938, 0.000715
1412187825.864326, 1412187825.865014, 0.000688
1412187828.273426, 1412187828.274146, 0.000720
1412187806.493103, 1412187806.493798, 0.000695
1412187808.931260, 1412187808.931989, 0.000729
1412187811.346510, 1412187811.347257, 0.000747
1412187813.762792, 1412187813.763518, 0.000726
1412187816.190320, 1412187816.191011, 0.000691
1412187818.600785, 1412187818.601476, 0.000691
1412187821.022039, 1412187821.022729, 0.000690
1412187823.434496, 1412187823.435197, 0.000701
1412187825.863600, 1412187825.864299, 0.000699
1412187828.272579, 1412187828.273397, 0.000818
1412187806.492370, 1412187806.493077, 0.000707
1412187808.930520, 1412187808.931233, 0.000713
1412187811.345785, 1412187811.346481, 0.000696
1412187813.762084, 1412187813.762766, 0.000682
1412187816.189596, 1412187816.190292, 0.000696
1412187818.600041, 1412187818.600757, 0.000716
1412187821.021307, 1412187821.022013, 0.000706
1412187823.433752, 1412187823.434470, 0.000718
1412187825.862849, 1412187825.863573, 0.000724
1412187828.271727, 1412187828.272550, 0.000823
1412187806.491603, 1412187806.492342, 0.000739
1412187808.929803, 1412187808.930494, 0.000691
1412187811.345038, 1412187811.345755, 0.000717
1412187813.761369, 1412187813.762058, 0.000689
1412187816.188865, 1412187816.189568, 0.000703
1412187818.599287, 1412187818.600013, 0.000726
1412187821.020540, 1412187821.021280, 0.000740
1412187823.433031, 1412187823.433726, 0.000695
1412187825.862089, 1412187825.862819, 0.000730
1412187828.270692, 1412187828.271692, 0.001000
1412187806.490823, 1412187806.491575, 0.000752
1412187808.929076, 1412187808.929776, 0.000700
1412187811.344219, 1412187811.345008, 0.000789
1412187813.760647, 1412187813.761343, 0.000696
1412187816.188128, 1412187816.188838, 0.000710
1412187818.598538, 1412187818.599261, 0.000723
1412187821.019756, 1412187821.020507, 0.000751
1412187823.432301, 1412187823.433006, 0.000705
1412187825.861301, 1412187825.862061, 0.000760
1412187828.269968, 1412187828.270666, 0.000698
1412187806.490098, 1412187806.490798, 0.000700
1412187808.928317, 1412187808.929049, 0.000732
1412187811.343486, 1412187811.344191, 0.000705
1412187813.759927, 1412187813.760621, 0.000694
1412187816.187306, 1412187816.188097, 0.000791
1412187818.597759, 1412187818.598511, 0.000752
1412187821.018994, 1412187821.019729, 0.000735
1412187823.431558, 1412187823.432275, 0.000717
1412187825.860470, 1412187825.861272, 0.000802
1412187828.269223, 1412187828.269942, 0.000719
1412187806.489362, 1412187806.490072, 0.000710
1412187808.927549, 1412187808.928291, 0.000742
1412187811.342740, 1412187811.343440, 0.000700
1412187813.759180, 1412187813.759902, 0.000722
1412187816.186554, 1412187816.187279, 0.000725
1412187818.597029, 1412187818.597732, 0.000703
1412187821.018256, 1412187821.018968, 0.000712
1412187823.430791, 1412187823.431532, 0.000741
1412187825.859723, 1412187825.860444, 0.000721
1412187828.268493, 1412187828.269197, 0.000704
1412187806.488588, 1412187806.489335, 0.000747
1412187808.926677, 1412187808.927518, 0.000841
1412187811.342008, 1412187811.342712, 0.000704
1412187813.758458, 1412187813.759154, 0.000696
1412187816.185826, 1412187816.186527, 0.000701
1412187818.596278, 1412187818.597003, 0.000725
1412187821.017500, 1412187821.018228, 0.000728
1412187823.430014, 1412187823.430764, 0.000750
1412187825.858942, 1412187825.859696, 0.000754
1412187828.267754, 1412187828.268466, 0.000712
1412187806.487824, 1412187806.488561, 0.000737
1412187808.925949, 1412187808.926651, 0.000702
1412187811.341275, 1412187811.341980, 0.000705
1412187813.757732, 1412187813.758434, 0.000702
1412187816.185091, 1412187816.185800, 0.000709
1412187818.595540, 1412187818.596252, 0.000712
1412187821.016759, 1412187821.017473, 0.000714
1412187823.429175, 1412187823.429986, 0.000811
1412187825.858209, 1412187825.858916, 0.000707
1412187828.267000, 1412187828.267726, 0.000726
1412187806.487035, 1412187806.487799, 0.000764
1412187808.925212, 1412187808.925924, 0.000712
1412187811.340546, 1412187811.341247, 0.000701
1412187813.756998, 1412187813.757705, 0.000707
1412187816.184351, 1412187816.185063, 0.000712
1412187818.594786, 1412187818.595513, 0.000727
