iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412210687.897416, 1412210687.898090, 0.000674
1412210687.896713, 1412210687.897391, 0.000678
1412210687.895978, 1412210687.896687, 0.000709
1412210687.895221, 1412210687.895951, 0.000730
1412210687.894506, 1412210687.895193, 0.000687
1412210687.893782, 1412210687.894479, 0.000697
1412210687.893029, 1412210687.893754, 0.000725
1412210687.892267, 1412210687.893000, 0.000733
1412210687.891511, 1412210687.892240, 0.000729
1412210687.890778, 1412210687.891485, 0.000707
1412210687.890024, 1412210687.890751, 0.000727
1412210687.889276, 1412210687.889996, 0.000720
1412210687.888444, 1412210687.889247, 0.000803
1412210687.887673, 1412210687.888415, 0.000742
1412210687.886916, 1412210687.887646, 0.000730
1412210687.886170, 1412210687.886889, 0.000719
1412210687.885400, 1412210687.886142, 0.000742
1412210687.884632, 1412210687.885373, 0.000741
1412210687.883775, 1412210687.884603, 0.000828
1412210687.882972, 1412210687.883728, 0.000756
1412210687.882210, 1412210687.882945, 0.000735
1412210687.881451, 1412210687.882182, 0.000731
1412210687.880674, 1412210687.881423, 0.000749
1412210687.879906, 1412210687.880647, 0.000741
1412210687.879098, 1412210687.879877, 0.000779
1412210687.878220, 1412210687.879069, 0.000849
1412210687.877455, 1412210687.878193, 0.000738
1412210687.876690, 1412210687.877428, 0.000738
1412210687.875906, 1412210687.876662, 0.000756
1412210687.875081, 1412210687.875877, 0.000796
1412210687.874300, 1412210687.875054, 0.000754
1412210687.873509, 1412210687.874273, 0.000764
1412210687.872675, 1412210687.873482, 0.000807
1412210687.871859, 1412210687.872647, 0.000788
1412210687.871049, 1412210687.871831, 0.000782
1412210687.870253, 1412210687.871022, 0.000769
1412210687.869417, 1412210687.870225, 0.000808
1412210687.868519, 1412210687.869387, 0.000868
1412210687.867687, 1412210687.868491, 0.000804
1412210687.866885, 1412210687.867660, 0.000775
1412210687.866063, 1412210687.866858, 0.000795
1412210687.865266, 1412210687.866035, 0.000769
1412210687.864443, 1412210687.865239, 0.000796
1412210687.863550, 1412210687.864415, 0.000865
1412210687.862679, 1412210687.863521, 0.000842
1412210687.861865, 1412210687.862653, 0.000788
1412210687.861044, 1412210687.861838, 0.000794
1412210687.860203, 1412210687.861017, 0.000814
1412210687.859347, 1412210687.860175, 0.000828
1412210687.858506, 1412210687.859319, 0.000813
1412210687.857587, 1412210687.858477, 0.000890
1412210687.856745, 1412210687.857560, 0.000815
1412210687.855904, 1412210687.856718, 0.000814
1412210687.855057, 1412210687.855877, 0.000820
1412210687.854219, 1412210687.855030, 0.000811
1412210687.853351, 1412210687.854190, 0.000839
1412210687.852463, 1412210687.853323, 0.000860
1412210687.851568, 1412210687.852435, 0.000867
1412210687.850702, 1412210687.851540, 0.000838
1412210687.849137, 1412210687.850672, 0.001535
1412210687.848223, 1412210687.849097, 0.000874
1412210687.847350, 1412210687.848194, 0.000844
1412210687.846452, 1412210687.847323, 0.000871
1412210687.845259, 1412210687.846420, 0.001161
1412210687.844320, 1412210687.845223, 0.000903
1412210687.843403, 1412210687.844291, 0.000888
1412210687.842467, 1412210687.843374, 0.000907
1412210687.841582, 1412210687.842440, 0.000858
1412210687.840643, 1412210687.841554, 0.000911
1412210687.839579, 1412210687.840613, 0.001034
1412210687.838703, 1412210687.839552, 0.000849
1412210687.837839, 1412210687.838675, 0.000836
1412210687.836970, 1412210687.837813, 0.000843
1412210687.836092, 1412210687.836942, 0.000850
1412210687.835148, 1412210687.836063, 0.000915
1412210687.834174, 1412210687.835119, 0.000945
1412210687.833278, 1412210687.834147, 0.000869
1412210687.832338, 1412210687.833249, 0.000911
1412210687.831412, 1412210687.832310, 0.000898
1412210687.830526, 1412210687.831386, 0.000860
1412210687.829614, 1412210687.830500, 0.000886
1412210687.828695, 1412210687.829587, 0.000892
1412210687.827792, 1412210687.828668, 0.000876
1412210687.826865, 1412210687.827746, 0.000881
1412210687.825943, 1412210687.826837, 0.000894
1412210687.825021, 1412210687.825915, 0.000894
1412210687.824106, 1412210687.824994, 0.000888
1412210687.823139, 1412210687.824079, 0.000940
1412210687.822087, 1412210687.823109, 0.001022
1412210687.821164, 1412210687.822059, 0.000895
1412210687.820249, 1412210687.821137, 0.000888
1412210687.819308, 1412210687.820222, 0.000914
1412210687.818392, 1412210687.819281, 0.000889
1412210687.817453, 1412210687.818364, 0.000911
1412210687.816543, 1412210687.817426, 0.000883
1412210687.815587, 1412210687.816516, 0.000929
1412210687.814637, 1412210687.815559, 0.000922
1412210687.813711, 1412210687.814610, 0.000899
1412210687.812744, 1412210687.813684, 0.000940
1412210687.811737, 1412210687.812716, 0.000979
1412210687.810710, 1412210687.811709, 0.000999
1412210687.809683, 1412210687.810681, 0.000998
1412210687.808746, 1412210687.809656, 0.000910
1412210687.807791, 1412210687.808718, 0.000927
1412210687.806819, 1412210687.807746, 0.000927
1412210687.805882, 1412210687.806791, 0.000909
1412210687.804937, 1412210687.805855, 0.000918
1412210687.803962, 1412210687.804910, 0.000948
1412210687.802988, 1412210687.803934, 0.000946
1412210687.802005, 1412210687.802959, 0.000954
1412210687.801056, 1412210687.801977, 0.000921
1412210687.800074, 1412210687.801027, 0.000953
1412210687.799080, 1412210687.800047, 0.000967
1412210687.798017, 1412210687.799052, 0.001035
1412210687.797066, 1412210687.797991, 0.000925
1412210687.796085, 1412210687.797038, 0.000953
1412210687.795088, 1412210687.796057, 0.000969
1412210687.794132, 1412210687.795062, 0.000930
1412210687.793167, 1412210687.794105, 0.000938
1412210687.792132, 1412210687.793138, 0.001006
1412210687.791145, 1412210687.792104, 0.000959
1412210687.790182, 1412210687.791119, 0.000937
1412210687.789196, 1412210687.790154, 0.000958
1412210687.788226, 1412210687.789168, 0.000942
1412210687.787224, 1412210687.788198, 0.000974
1412210687.786217, 1412210687.787197, 0.000980
1412210687.785106, 1412210687.786186, 0.001080
1412210687.784128, 1412210687.785079, 0.000951
1412210687.783117, 1412210687.784101, 0.000984
1412210687.782089, 1412210687.783089, 0.001000
1412210687.781090, 1412210687.782059, 0.000969
1412210687.780106, 1412210687.781062, 0.000956
1412210687.779103, 1412210687.780078, 0.000975
1412210687.778099, 1412210687.779075, 0.000976
1412210687.777065, 1412210687.778071, 0.001006
1412210687.776027, 1412210687.777035, 0.001008
1412210687.775019, 1412210687.775998, 0.000979
1412210687.774008, 1412210687.774991, 0.000983
1412210687.772984, 1412210687.773981, 0.000997
1412210687.771803, 1412210687.772952, 0.001149
1412210687.770795, 1412210687.771775, 0.000980
1412210687.769794, 1412210687.770767, 0.000973
1412210687.768821, 1412210687.769768, 0.000947
1412210687.767822, 1412210687.768794, 0.000972
1412210687.766815, 1412210687.767794, 0.000979
1412210687.765805, 1412210687.766787, 0.000982
1412210687.764801, 1412210687.765777, 0.000976
1412210687.763783, 1412210687.764773, 0.000990
1412210687.762751, 1412210687.763737, 0.000986
1412210687.761687, 1412210687.762722, 0.001035
1412210687.760685, 1412210687.761659, 0.000974
1412210687.759622, 1412210687.760658, 0.001036
1412210687.758490, 1412210687.759591, 0.001101
1412210687.757485, 1412210687.758462, 0.000977
1412210687.756475, 1412210687.757458, 0.000983
1412210687.755436, 1412210687.756447, 0.001011
1412210687.754416, 1412210687.755407, 0.000991
1412210687.753405, 1412210687.754388, 0.000983
1412210687.752356, 1412210687.753376, 0.001020
1412210687.751291, 1412210687.752327, 0.001036
1412210687.750256, 1412210687.751261, 0.001005
1412210687.749242, 1412210687.750228, 0.000986
1412210687.748213, 1412210687.749214, 0.001001
1412210687.747139, 1412210687.748184, 0.001045
1412210687.745988, 1412210687.747109, 0.001121
1412210687.744976, 1412210687.745961, 0.000985
1412210687.743932, 1412210687.744949, 0.001017
1412210687.742813, 1412210687.743900, 0.001087
1412210687.741262, 1412210687.742781, 0.001519
1412210687.740168, 1412210687.741221, 0.001053
1412210687.739100, 1412210687.740139, 0.001039
1412210687.737975, 1412210687.739069, 0.001094
1412210687.736575, 1412210687.737941, 0.001366
1412210687.735526, 1412210687.736547, 0.001021
1412210687.734497, 1412210687.735499, 0.001002
1412210687.733439, 1412210687.734468, 0.001029
1412210687.732377, 1412210687.733412, 0.001035
1412210687.731171, 1412210687.732347, 0.001176
1412210687.730114, 1412210687.731143, 0.001029
1412210687.729083, 1412210687.730085, 0.001002
1412210687.728021, 1412210687.729054, 0.001033
1412210687.726949, 1412210687.727993, 0.001044
1412210687.725884, 1412210687.726920, 0.001036
1412210687.724838, 1412210687.725856, 0.001018
1412210687.723751, 1412210687.724810, 0.001059
1412210687.722703, 1412210687.723723, 0.001020
1412210687.721632, 1412210687.722674, 0.001042
1412210687.720536, 1412210687.721603, 0.001067
1412210687.719462, 1412210687.720507, 0.001045
1412210687.718382, 1412210687.719435, 0.001053
1412210687.717205, 1412210687.718352, 0.001147
1412210687.716158, 1412210687.717177, 0.001019
1412210687.715076, 1412210687.716129, 0.001053
1412210687.714004, 1412210687.715048, 0.001044
1412210687.712952, 1412210687.713977, 0.001025
1412210687.711885, 1412210687.712923, 0.001038
1412210687.710782, 1412210687.711855, 0.001073
1412210687.709701, 1412210687.710753, 0.001052
1412210687.708648, 1412210687.709673, 0.001025
1412210687.707547, 1412210687.708620, 0.001073
1412210687.706475, 1412210687.707518, 0.001043
1412210687.705365, 1412210687.706446, 0.001081
1412210687.704165, 1412210687.705335, 0.001170
1412210687.703064, 1412210687.704136, 0.001072
1412210687.701932, 1412210687.703034, 0.001102
1412210687.700797, 1412210687.701903, 0.001106
1412210687.699719, 1412210687.700769, 0.001050
1412210687.698637, 1412210687.699690, 0.001053
1412210687.697550, 1412210687.698607, 0.001057
1412210687.696484, 1412210687.697522, 0.001038
1412210687.695382, 1412210687.696455, 0.001073
1412210687.694303, 1412210687.695354, 0.001051
1412210687.693194, 1412210687.694274, 0.001080
1412210687.692111, 1412210687.693166, 0.001055
1412210687.690954, 1412210687.692081, 0.001127
1412210687.689757, 1412210687.690924, 0.001167
1412210687.688642, 1412210687.689728, 0.001086
1412210687.687490, 1412210687.688613, 0.001123
1412210687.686429, 1412210687.687463, 0.001034
1412210687.685351, 1412210687.686402, 0.001051
1412210687.684249, 1412210687.685322, 0.001073
1412210687.683131, 1412210687.684221, 0.001090
1412210687.682034, 1412210687.683105, 0.001071
1412210687.680878, 1412210687.682006, 0.001128
1412210687.679786, 1412210687.680849, 0.001063
1412210687.678676, 1412210687.679738, 0.001062
1412210687.677579, 1412210687.678647, 0.001068
1412210687.676432, 1412210687.677550, 0.001118
1412210687.675036, 1412210687.676399, 0.001363
1412210687.673956, 1412210687.675009, 0.001053
1412210687.672872, 1412210687.673929, 0.001057
1412210687.671709, 1412210687.672843, 0.001134
1412210687.670575, 1412210687.671677, 0.001102
1412210687.669476, 1412210687.670547, 0.001071
1412210687.668322, 1412210687.669447, 0.001125
1412210687.667157, 1412210687.668284, 0.001127
1412210687.666054, 1412210687.667128, 0.001074
1412210687.664923, 1412210687.666025, 0.001102
1412210687.663670, 1412210687.664892, 0.001222
1412210687.662550, 1412210687.663642, 0.001092
1412210687.661326, 1412210687.662519, 0.001193
1412210687.660176, 1412210687.661297, 0.001121
1412210687.659026, 1412210687.660147, 0.001121
1412210687.657907, 1412210687.658998, 0.001091
1412210687.656782, 1412210687.657878, 0.001096
1412210687.655620, 1412210687.656753, 0.001133
1412210687.654477, 1412210687.655591, 0.001114
1412210687.653357, 1412210687.654449, 0.001092
1412210687.652205, 1412210687.653328, 0.001123
1412210687.651016, 1412210687.652175, 0.001159
1412210687.649866, 1412210687.650987, 0.001121
1412210687.648737, 1412210687.649838, 0.001101
1412210687.647563, 1412210687.648709, 0.001146
1412210687.646302, 1412210687.647531, 0.001229
1412210687.645180, 1412210687.646274, 0.001094
1412210687.644052, 1412210687.645154, 0.001102
1412210687.642904, 1412210687.644023, 0.001119
1412210687.641736, 1412210687.642874, 0.001138
1412210687.640566, 1412210687.641706, 0.001140
1412210687.639414, 1412210687.640537, 0.001123
1412210687.638282, 1412210687.639386, 0.001104
