iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412187832.465354, 1412187832.471912, 0.006558
1412187917.082692, 1412187917.086612, 0.003920
1412188001.572992, 1412188001.577014, 0.004022
1412188086.230287, 1412188086.234213, 0.003926
1412188170.827024, 1412188170.831016, 0.003992
1412188255.798308, 1412188255.802174, 0.003866
1412188340.715436, 1412188340.719346, 0.003910
1412188425.473770, 1412188425.477802, 0.004032
1412188510.472684, 1412188510.476576, 0.003892
1412188595.363654, 1412188595.367855, 0.004201
1412187832.519750, 1412187832.523608, 0.003858
1412187917.103485, 1412187917.107284, 0.003799
1412188001.593205, 1412188001.597175, 0.003970
1412188086.250460, 1412188086.254401, 0.003941
1412188170.846694, 1412188170.850535, 0.003841
1412188255.819146, 1412188255.822972, 0.003826
1412188340.735554, 1412188340.739388, 0.003834
1412188425.493566, 1412188425.497398, 0.003832
1412188510.492385, 1412188510.496369, 0.003984
1412188595.384840, 1412188595.388669, 0.003829
1412187832.539004, 1412187832.542849, 0.003845
1412187917.123394, 1412187917.127225, 0.003831
1412188001.613158, 1412188001.616995, 0.003837
1412188086.270229, 1412188086.274054, 0.003825
1412188170.866323, 1412188170.870140, 0.003817
1412188255.838973, 1412188255.842785, 0.003812
1412188340.755557, 1412188340.759345, 0.003788
1412188425.512929, 1412188425.516772, 0.003843
1412188510.511997, 1412188510.515841, 0.003844
1412188595.404419, 1412188595.408243, 0.003824
1412187832.558331, 1412187832.562191, 0.003860
1412187917.143947, 1412187917.147759, 0.003812
1412188001.632545, 1412188001.636370, 0.003825
1412188086.290065, 1412188086.293955, 0.003890
1412188170.886146, 1412188170.889941, 0.003795
1412188255.860052, 1412188255.863870, 0.003818
1412188340.775451, 1412188340.779295, 0.003844
1412188425.533020, 1412188425.536903, 0.003883
1412188510.531977, 1412188510.535826, 0.003849
1412188595.424857, 1412188595.428801, 0.003944
1412187832.578481, 1412187832.582338, 0.003857
1412187917.163792, 1412187917.167607, 0.003815
1412188001.652327, 1412188001.656160, 0.003833
1412188086.309896, 1412188086.313771, 0.003875
1412188170.907338, 1412188170.911186, 0.003848
1412188255.880253, 1412188255.884071, 0.003818
1412188340.795598, 1412188340.799448, 0.003850
1412188425.553444, 1412188425.557313, 0.003869
1412188510.551713, 1412188510.555588, 0.003875
1412188595.444923, 1412188595.448797, 0.003874
1412187832.598407, 1412187832.602618, 0.004211
1412187917.184432, 1412187917.188284, 0.003852
1412188001.672511, 1412188001.676371, 0.003860
1412188086.329771, 1412188086.333665, 0.003894
1412188170.927363, 1412188170.931217, 0.003854
1412188255.901252, 1412188255.905081, 0.003829
1412188340.816136, 1412188340.820194, 0.004058
1412188425.573743, 1412188425.577619, 0.003876
1412188510.572348, 1412188510.576215, 0.003867
1412188595.465239, 1412188595.469125, 0.003886
1412187832.620400, 1412187832.624368, 0.003968
1412187917.204485, 1412187917.208487, 0.004002
1412188001.692541, 1412188001.696430, 0.003889
1412188086.349846, 1412188086.354033, 0.004187
1412188170.947504, 1412188170.951315, 0.003811
1412188255.921617, 1412188255.925487, 0.003870
1412188340.836717, 1412188340.840616, 0.003899
1412188425.594075, 1412188425.598235, 0.004160
1412188510.592424, 1412188510.596283, 0.003859
1412188595.485407, 1412188595.489297, 0.003890
1412187832.640476, 1412187832.644452, 0.003976
1412187917.225770, 1412187917.229847, 0.004077
1412188001.713202, 1412188001.717086, 0.003884
1412188086.370464, 1412188086.374400, 0.003936
1412188170.967907, 1412188170.971773, 0.003866
1412188255.942830, 1412188255.946788, 0.003958
1412188340.857079, 1412188340.861020, 0.003941
1412188425.614962, 1412188425.618873, 0.003911
1412188510.612503, 1412188510.616399, 0.003896
1412188595.505658, 1412188595.509532, 0.003874
1412187832.660802, 1412187832.664715, 0.003913
1412187917.246213, 1412187917.250136, 0.003923
1412188001.733487, 1412188001.737513, 0.004026
1412188086.391153, 1412188086.395074, 0.003921
1412188170.988756, 1412188170.992771, 0.004015
1412188255.963633, 1412188255.967559, 0.003926
1412188340.877720, 1412188340.881633, 0.003913
1412188425.635267, 1412188425.639692, 0.004425
1412188510.632873, 1412188510.636766, 0.003893
1412188595.526039, 1412188595.529951, 0.003912
1412187832.681451, 1412187832.685423, 0.003972
1412187917.266577, 1412187917.270551, 0.003974
1412188001.754091, 1412188001.757980, 0.003889
1412188086.411137, 1412188086.415211, 0.004074
1412188171.010141, 1412188171.014094, 0.003953
1412188255.984639, 1412188255.988865, 0.004226
1412188340.898576, 1412188340.902536, 0.003960
1412188425.656418, 1412188425.660339, 0.003921
1412188510.653219, 1412188510.657242, 0.004023
1412188595.546947, 1412188595.550840, 0.003893
1412187832.703301, 1412187832.707273, 0.003972
1412187917.286654, 1412187917.290599, 0.003945
1412188001.774774, 1412188001.778727, 0.003953
1412188086.432069, 1412188086.436008, 0.003939
1412188171.030852, 1412188171.034806, 0.003954
1412188256.006058, 1412188256.009994, 0.003936
1412188340.919659, 1412188340.923668, 0.004009
1412188425.677598, 1412188425.681568, 0.003970
1412188510.674027, 1412188510.678108, 0.004081
1412188595.567522, 1412188595.571433, 0.003911
1412187832.724450, 1412187832.728375, 0.003925
1412187917.307540, 1412187917.311539, 0.003999
1412188001.795083, 1412188001.798983, 0.003900
1412188086.452876, 1412188086.456790, 0.003914
1412188171.051724, 1412188171.055684, 0.003960
1412188256.026950, 1412188256.030871, 0.003921
1412188340.941646, 1412188340.945726, 0.004080
1412188425.699586, 1412188425.703522, 0.003936
1412188510.695162, 1412188510.699080, 0.003918
1412188595.588585, 1412188595.592632, 0.004047
1412187832.745688, 1412187832.749640, 0.003952
1412187917.330550, 1412187917.335805, 0.005255
1412188001.818575, 1412188001.824047, 0.005472
1412188086.475526, 1412188086.480970, 0.005444
1412188171.073876, 1412188171.079244, 0.005368
1412188256.049517, 1412188256.054945, 0.005428
1412188340.964604, 1412188340.969904, 0.005300
1412188425.722359, 1412188425.727956, 0.005597
1412188510.717785, 1412188510.723192, 0.005407
1412188595.610917, 1412188595.616326, 0.005409
1412187832.766541, 1412187832.770623, 0.004082
1412187917.352733, 1412187917.356650, 0.003917
1412188001.840944, 1412188001.844932, 0.003988
1412188086.498094, 1412188086.502005, 0.003911
1412188171.100439, 1412188171.104494, 0.004055
1412188256.071905, 1412188256.075842, 0.003937
1412188340.987301, 1412188340.991418, 0.004117
1412188425.745080, 1412188425.749049, 0.003969
1412188510.740670, 1412188510.744648, 0.003978
1412188595.633503, 1412188595.637496, 0.003993
1412187832.787989, 1412187832.791965, 0.003976
1412187917.373825, 1412187917.377890, 0.004065
1412188001.862267, 1412188001.866237, 0.003970
1412188086.519149, 1412188086.523161, 0.004012
1412188171.128449, 1412188171.132397, 0.003948
1412188256.093499, 1412188256.098316, 0.004817
1412188341.008788, 1412188341.012848, 0.004060
1412188425.766376, 1412188425.770349, 0.003973
1412188510.762001, 1412188510.765974, 0.003973
1412188595.654621, 1412188595.658613, 0.003992
1412187832.809041, 1412187832.813034, 0.003993
1412187917.395429, 1412187917.399410, 0.003981
1412188001.883450, 1412188001.887415, 0.003965
1412188086.540700, 1412188086.544760, 0.004060
1412188171.153637, 1412188171.157640, 0.004003
1412188256.115947, 1412188256.119983, 0.004036
1412188341.030383, 1412188341.034353, 0.003970
1412188425.788033, 1412188425.792056, 0.004023
1412188510.783286, 1412188510.787518, 0.004232
1412188595.676047, 1412188595.679963, 0.003916
1412187832.830999, 1412187832.834979, 0.003980
1412187917.416790, 1412187917.420742, 0.003952
1412188001.904882, 1412188001.908985, 0.004103
1412188086.561351, 1412188086.565394, 0.004043
1412188171.178794, 1412188171.183230, 0.004436
1412188256.137976, 1412188256.141975, 0.003999
1412188341.052045, 1412188341.056040, 0.003995
1412188425.809849, 1412188425.813953, 0.004104
1412188510.805002, 1412188510.808986, 0.003984
1412188595.697838, 1412188595.701820, 0.003982
1412187832.852756, 1412187832.856744, 0.003988
1412187917.438301, 1412187917.442350, 0.004049
1412188001.926898, 1412188001.930871, 0.003973
1412188086.583144, 1412188086.587122, 0.003978
1412188171.209231, 1412188171.213314, 0.004083
1412188256.160063, 1412188256.164100, 0.004037
1412188341.073871, 1412188341.077974, 0.004103
1412188425.831721, 1412188425.835737, 0.004016
1412188510.826879, 1412188510.830857, 0.003978
1412188595.719268, 1412188595.724001, 0.004733
1412187832.874339, 1412187832.878362, 0.004023
1412187917.459753, 1412187917.463760, 0.004007
1412188001.948249, 1412188001.952267, 0.004018
1412188086.604654, 1412188086.608687, 0.004033
1412188171.235247, 1412188171.239247, 0.004000
1412188256.182869, 1412188256.186885, 0.004016
1412188341.095759, 1412188341.099720, 0.003961
1412188425.853549, 1412188425.857553, 0.004004
1412188510.848373, 1412188510.852339, 0.003966
1412188595.743073, 1412188595.747046, 0.003973
1412187832.897019, 1412187832.901022, 0.004003
1412187917.481368, 1412187917.485383, 0.004015
1412188001.970861, 1412188001.974894, 0.004033
1412188086.626410, 1412188086.630402, 0.003992
1412188171.259310, 1412188171.263428, 0.004118
1412188256.205249, 1412188256.209357, 0.004108
1412188341.117814, 1412188341.121859, 0.004045
1412188425.876102, 1412188425.880127, 0.004025
1412188510.869968, 1412188510.874341, 0.004373
1412188595.765786, 1412188595.769982, 0.004196
1412187832.919594, 1412187832.923724, 0.004130
1412187917.504236, 1412187917.508451, 0.004215
1412188001.992805, 1412188001.997226, 0.004421
1412188086.648332, 1412188086.652322, 0.003990
1412188171.285664, 1412188171.289692, 0.004028
1412188256.227612, 1412188256.231784, 0.004172
1412188341.139687, 1412188341.143728, 0.004041
1412188425.898609, 1412188425.902646, 0.004037
1412188510.892314, 1412188510.896549, 0.004235
1412188595.788585, 1412188595.792590, 0.004005
1412187832.941937, 1412187832.946102, 0.004165
1412187917.525986, 1412187917.529970, 0.003984
1412188002.014539, 1412188002.018568, 0.004029
1412188086.670338, 1412188086.674450, 0.004112
1412188171.314174, 1412188171.318201, 0.004027
1412188256.249247, 1412188256.253275, 0.004028
1412188341.161985, 1412188341.166185, 0.004200
1412188425.920680, 1412188425.924663, 0.003983
1412188510.914452, 1412188510.918470, 0.004018
1412188595.810673, 1412188595.814648, 0.003975
1412187832.964047, 1412187832.968189, 0.004142
1412187917.548551, 1412187917.552721, 0.004170
1412188002.036773, 1412188002.040772, 0.003999
1412188086.692762, 1412188086.696844, 0.004082
