iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412210693.970132, 1412210693.976917, 0.006785
1412210694.023983, 1412210694.027836, 0.003853
1412210694.044684, 1412210694.048608, 0.003924
1412210694.064563, 1412210694.068552, 0.003989
1412210694.084707, 1412210694.088611, 0.003904
1412210694.104777, 1412210694.108751, 0.003974
1412210694.125349, 1412210694.129402, 0.004053
1412210694.146519, 1412210694.150470, 0.003951
1412210694.167074, 1412210694.170981, 0.003907
1412210694.187660, 1412210694.191619, 0.003959
1412210694.208061, 1412210694.212011, 0.003950
1412210694.228755, 1412210694.232874, 0.004119
1412210694.249703, 1412210694.253671, 0.003968
1412210694.270926, 1412210694.274876, 0.003950
1412210694.291932, 1412210694.295890, 0.003958
1412210694.313248, 1412210694.317275, 0.004027
1412210694.334906, 1412210694.339027, 0.004121
1412210694.356300, 1412210694.360318, 0.004018
1412210694.380621, 1412210694.387004, 0.006383
1412210694.404625, 1412210694.408893, 0.004268
1412210694.426713, 1412210694.430745, 0.004032
1412210694.449101, 1412210694.453182, 0.004081
1412210694.471200, 1412210694.475222, 0.004022
1412210694.493895, 1412210694.498330, 0.004435
1412210694.517039, 1412210694.521106, 0.004067
1412210694.540771, 1412210694.544948, 0.004177
1412210694.563603, 1412210694.567675, 0.004072
1412210694.586179, 1412210694.590280, 0.004101
1412210694.609007, 1412210694.613137, 0.004130
1412210694.631857, 1412210694.636273, 0.004416
1412210694.654731, 1412210694.663316, 0.008585
1412210694.682277, 1412210694.686399, 0.004122
1412210694.705581, 1412210694.709702, 0.004121
1412210694.729096, 1412210694.733309, 0.004213
1412210694.752640, 1412210694.756771, 0.004131
1412210694.776700, 1412210694.781234, 0.004534
1412210694.800858, 1412210694.805085, 0.004227
1412210694.825822, 1412210694.830024, 0.004202
1412210694.850584, 1412210694.854884, 0.004300
1412210694.875076, 1412210694.879418, 0.004342
1412210694.899577, 1412210694.903838, 0.004261
1412210694.924125, 1412210694.928312, 0.004187
1412210694.952015, 1412210694.958702, 0.006687
1412210694.978977, 1412210694.983627, 0.004650
1412210695.004460, 1412210695.008803, 0.004343
1412210695.029704, 1412210695.033986, 0.004282
1412210695.055143, 1412210695.059336, 0.004193
1412210695.080345, 1412210695.084571, 0.004226
1412210695.106534, 1412210695.110741, 0.004207
1412210695.131597, 1412210695.135912, 0.004315
1412210695.157095, 1412210695.161346, 0.004251
1412210695.183874, 1412210695.188115, 0.004241
1412210695.209794, 1412210695.214297, 0.004503
1412210695.235230, 1412210695.239928, 0.004698
1412210695.262538, 1412210695.266838, 0.004300
1412210695.288437, 1412210695.292749, 0.004312
1412210695.314941, 1412210695.319309, 0.004368
1412210695.341636, 1412210695.346110, 0.004474
1412210695.368252, 1412210695.372550, 0.004298
1412210695.394730, 1412210695.399056, 0.004326
1412210695.421509, 1412210695.425882, 0.004373
1412210695.449242, 1412210695.453563, 0.004321
1412210695.475845, 1412210695.480183, 0.004338
1412210695.503450, 1412210695.507986, 0.004536
1412210695.531062, 1412210695.535417, 0.004355
1412210695.558109, 1412210695.562604, 0.004495
1412210695.589217, 1412210695.595605, 0.006388
1412210695.619068, 1412210695.623403, 0.004335
1412210695.646469, 1412210695.650858, 0.004389
1412210695.674223, 1412210695.678592, 0.004369
1412210695.702538, 1412210695.707076, 0.004538
1412210695.730455, 1412210695.734838, 0.004383
1412210695.758566, 1412210695.763086, 0.004520
1412210695.787425, 1412210695.791905, 0.004480
1412210695.815656, 1412210695.820088, 0.004432
1412210695.844039, 1412210695.848601, 0.004562
1412210695.873128, 1412210695.877753, 0.004625
1412210695.901987, 1412210695.906811, 0.004824
1412210695.930836, 1412210695.935294, 0.004458
1412210695.960185, 1412210695.964616, 0.004431
1412210695.990773, 1412210695.995324, 0.004551
1412210696.019827, 1412210696.024450, 0.004623
1412210696.050345, 1412210696.055346, 0.005001
1412210696.079911, 1412210696.084598, 0.004687
1412210696.110864, 1412210696.115911, 0.005047
1412210696.141162, 1412210696.145761, 0.004599
1412210696.176215, 1412210696.181953, 0.005738
1412210696.207993, 1412210696.212708, 0.004715
1412210696.239663, 1412210696.244284, 0.004621
1412210696.271185, 1412210696.275957, 0.004772
1412210696.302960, 1412210696.307442, 0.004482
1412210696.334511, 1412210696.339019, 0.004508
1412210696.366359, 1412210696.370839, 0.004480
1412210696.398089, 1412210696.402793, 0.004704
1412210696.429500, 1412210696.434506, 0.005006
1412210696.461476, 1412210696.466305, 0.004829
1412210696.493054, 1412210696.497841, 0.004787
1412210696.525295, 1412210696.530021, 0.004726
1412210696.557454, 1412210696.562410, 0.004956
1412210696.590494, 1412210696.595372, 0.004878
1412210696.622625, 1412210696.627398, 0.004773
1412210696.655594, 1412210696.660206, 0.004612
1412210696.687729, 1412210696.692904, 0.005175
1412210696.725029, 1412210696.730076, 0.005047
1412210696.758439, 1412210696.763433, 0.004994
1412210696.792909, 1412210696.797653, 0.004744
1412210696.825903, 1412210696.830855, 0.004952
1412210696.859313, 1412210696.863908, 0.004595
1412210696.892991, 1412210696.897732, 0.004741
1412210696.926525, 1412210696.931849, 0.005324
1412210696.960314, 1412210696.965568, 0.005254
1412210696.995905, 1412210697.000808, 0.004903
1412210697.030035, 1412210697.034995, 0.004960
1412210697.064662, 1412210697.069481, 0.004819
1412210697.099086, 1412210697.103977, 0.004891
1412210697.133353, 1412210697.137982, 0.004629
1412210697.167954, 1412210697.172541, 0.004587
1412210697.202929, 1412210697.207555, 0.004626
1412210697.237051, 1412210697.241678, 0.004627
1412210697.273362, 1412210697.277994, 0.004632
1412210697.311912, 1412210697.317078, 0.005166
1412210697.346768, 1412210697.352117, 0.005349
1412210697.382759, 1412210697.387587, 0.004828
1412210697.418309, 1412210697.422980, 0.004671
1412210697.453250, 1412210697.458416, 0.005166
1412210697.488570, 1412210697.493275, 0.004705
1412210697.524264, 1412210697.528889, 0.004625
1412210697.560120, 1412210697.565091, 0.004971
1412210697.596373, 1412210697.601839, 0.005466
1412210697.633559, 1412210697.638528, 0.004969
1412210697.669820, 1412210697.674494, 0.004674
1412210697.705300, 1412210697.710439, 0.005139
1412210697.742306, 1412210697.747298, 0.004992
1412210697.778334, 1412210697.783246, 0.004912
1412210697.814732, 1412210697.819460, 0.004728
1412210697.852032, 1412210697.857089, 0.005057
1412210697.888106, 1412210697.893414, 0.005308
1412210697.929576, 1412210697.934352, 0.004776
1412210697.966970, 1412210697.972275, 0.005305
1412210698.004862, 1412210698.010068, 0.005206
1412210698.042694, 1412210698.047456, 0.004762
1412210698.079747, 1412210698.084776, 0.005029
1412210698.118204, 1412210698.123400, 0.005196
1412210698.158066, 1412210698.163001, 0.004935
1412210698.196873, 1412210698.201711, 0.004838
1412210698.236194, 1412210698.241057, 0.004863
1412210698.274486, 1412210698.280006, 0.005520
