iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412187832.471920, 1412187832.519733, 0.047813
1412187917.086619, 1412187917.103443, 0.016824
1412188001.577021, 1412188001.593187, 0.016166
1412188086.234220, 1412188086.250444, 0.016224
1412188170.831023, 1412188170.846678, 0.015655
1412188255.802182, 1412188255.819129, 0.016947
1412188340.719354, 1412188340.735536, 0.016182
1412188425.477809, 1412188425.493549, 0.015740
1412188510.476583, 1412188510.492368, 0.015785
1412188595.367863, 1412188595.384824, 0.016961
1412187832.523615, 1412187832.538988, 0.015373
1412187917.107292, 1412187917.123377, 0.016085
1412188001.597186, 1412188001.613141, 0.015955
1412188086.254408, 1412188086.270213, 0.015805
1412188170.850543, 1412188170.866307, 0.015764
1412188255.822980, 1412188255.838955, 0.015975
1412188340.739396, 1412188340.755541, 0.016145
1412188425.497407, 1412188425.512911, 0.015504
1412188510.496376, 1412188510.511981, 0.015605
1412188595.388677, 1412188595.404402, 0.015725
1412187832.542856, 1412187832.558315, 0.015459
1412187917.127232, 1412187917.143930, 0.016698
1412188001.617003, 1412188001.632528, 0.015525
1412188086.274062, 1412188086.290049, 0.015987
1412188170.870148, 1412188170.886130, 0.015982
1412188255.842792, 1412188255.860036, 0.017244
1412188340.759352, 1412188340.775436, 0.016084
1412188425.516780, 1412188425.533003, 0.016223
1412188510.515849, 1412188510.531959, 0.016110
1412188595.408251, 1412188595.424840, 0.016589
1412187832.562198, 1412187832.578464, 0.016266
1412187917.147766, 1412187917.163775, 0.016009
1412188001.636378, 1412188001.652310, 0.015932
1412188086.293962, 1412188086.309881, 0.015919
1412188170.889948, 1412188170.907321, 0.017373
1412188255.863878, 1412188255.880237, 0.016359
1412188340.779302, 1412188340.795582, 0.016280
1412188425.536910, 1412188425.553428, 0.016518
1412188510.535834, 1412188510.551697, 0.015863
1412188595.428809, 1412188595.444907, 0.016098
1412187832.582346, 1412187832.598390, 0.016044
1412187917.167614, 1412187917.184416, 0.016802
1412188001.656167, 1412188001.672494, 0.016327
1412188086.313778, 1412188086.329755, 0.015977
1412188170.911193, 1412188170.927346, 0.016153
1412188255.884078, 1412188255.901235, 0.017157
1412188340.799485, 1412188340.816119, 0.016634
1412188425.557320, 1412188425.573726, 0.016406
1412188510.555595, 1412188510.572331, 0.016736
1412188595.448805, 1412188595.465222, 0.016417
1412187832.602626, 1412187832.620384, 0.017758
1412187917.188291, 1412187917.204468, 0.016177
1412188001.676378, 1412188001.692524, 0.016146
1412188086.333672, 1412188086.349829, 0.016157
1412188170.931223, 1412188170.947488, 0.016265
1412188255.905088, 1412188255.921600, 0.016512
1412188340.820201, 1412188340.836701, 0.016500
1412188425.577627, 1412188425.594057, 0.016430
1412188510.576223, 1412188510.592407, 0.016184
1412188595.469132, 1412188595.485390, 0.016258
1412187832.624376, 1412187832.640459, 0.016083
1412187917.208494, 1412187917.225753, 0.017259
1412188001.696438, 1412188001.713185, 0.016747
1412188086.354041, 1412188086.370447, 0.016406
1412188170.951322, 1412188170.967891, 0.016569
1412188255.925494, 1412188255.942813, 0.017319
1412188340.840623, 1412188340.857062, 0.016439
1412188425.598242, 1412188425.614946, 0.016704
1412188510.596290, 1412188510.612486, 0.016196
1412188595.489304, 1412188595.505641, 0.016337
1412187832.644459, 1412187832.660786, 0.016327
1412187917.229855, 1412187917.246197, 0.016342
1412188001.717093, 1412188001.733471, 0.016378
1412188086.374407, 1412188086.391135, 0.016728
1412188170.971781, 1412188170.988740, 0.016959
1412188255.946796, 1412188255.963617, 0.016821
1412188340.861027, 1412188340.877704, 0.016677
1412188425.618881, 1412188425.635251, 0.016370
1412188510.616406, 1412188510.632857, 0.016451
1412188595.509539, 1412188595.526022, 0.016483
1412187832.664722, 1412187832.681434, 0.016712
1412187917.250143, 1412187917.266561, 0.016418
1412188001.737521, 1412188001.754075, 0.016554
1412188086.395081, 1412188086.411120, 0.016039
1412188170.992778, 1412188171.010124, 0.017346
1412188255.967566, 1412188255.984622, 0.017056
1412188340.881640, 1412188340.898560, 0.016920
1412188425.639700, 1412188425.656401, 0.016701
1412188510.636773, 1412188510.653202, 0.016429
1412188595.529958, 1412188595.546930, 0.016972
1412187832.685430, 1412187832.703284, 0.017854
1412187917.270559, 1412187917.286637, 0.016078
1412188001.757987, 1412188001.774757, 0.016770
1412188086.415218, 1412188086.432052, 0.016834
1412188171.014104, 1412188171.030835, 0.016731
1412188255.988872, 1412188256.006025, 0.017153
1412188340.902544, 1412188340.919642, 0.017098
1412188425.660346, 1412188425.677581, 0.017235
1412188510.657250, 1412188510.674010, 0.016760
1412188595.550847, 1412188595.567505, 0.016658
1412187832.707280, 1412187832.724433, 0.017153
1412187917.290606, 1412187917.307524, 0.016918
1412188001.778735, 1412188001.795065, 0.016330
1412188086.436015, 1412188086.452860, 0.016845
1412188171.034814, 1412188171.051706, 0.016892
1412188256.010001, 1412188256.026932, 0.016931
1412188340.923676, 1412188340.941630, 0.017954
1412188425.681575, 1412188425.699569, 0.017994
1412188510.678115, 1412188510.695146, 0.017031
1412188595.571440, 1412188595.588568, 0.017128
1412187832.728383, 1412187832.745671, 0.017288
1412187917.311547, 1412187917.330524, 0.018977
1412188001.798990, 1412188001.818548, 0.019558
1412188086.456797, 1412188086.475498, 0.018701
1412188171.055691, 1412188171.073848, 0.018157
1412188256.030878, 1412188256.049490, 0.018612
1412188340.945733, 1412188340.964576, 0.018843
1412188425.703530, 1412188425.722334, 0.018804
1412188510.699087, 1412188510.717756, 0.018669
1412188595.592639, 1412188595.610891, 0.018252
1412187832.749648, 1412187832.766525, 0.016877
1412187917.335813, 1412187917.352716, 0.016903
1412188001.824055, 1412188001.840927, 0.016872
1412188086.480978, 1412188086.498076, 0.017098
1412188171.079251, 1412188171.100422, 0.021171
1412188256.054952, 1412188256.071888, 0.016936
1412188340.969912, 1412188340.987284, 0.017372
1412188425.727964, 1412188425.745063, 0.017099
1412188510.723200, 1412188510.740653, 0.017453
1412188595.616334, 1412188595.633487, 0.017153
1412187832.770631, 1412187832.787972, 0.017341
1412187917.356658, 1412187917.373808, 0.017150
1412188001.844940, 1412188001.862251, 0.017311
1412188086.502012, 1412188086.519132, 0.017120
1412188171.104501, 1412188171.128433, 0.023932
1412188256.075850, 1412188256.093482, 0.017632
1412188340.991425, 1412188341.008770, 0.017345
1412188425.749056, 1412188425.766360, 0.017304
1412188510.744656, 1412188510.761983, 0.017327
1412188595.637503, 1412188595.654603, 0.017100
