iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412210693.976924, 1412210694.023965, 0.047041
1412210694.027843, 1412210694.044668, 0.016825
1412210694.048616, 1412210694.064546, 0.015930
1412210694.068559, 1412210694.084689, 0.016130
1412210694.088618, 1412210694.104760, 0.016142
1412210694.108758, 1412210694.125332, 0.016574
1412210694.129410, 1412210694.146502, 0.017092
1412210694.150477, 1412210694.167058, 0.016581
1412210694.170987, 1412210694.187642, 0.016655
1412210694.191626, 1412210694.208044, 0.016418
1412210694.212018, 1412210694.228737, 0.016719
1412210694.232882, 1412210694.249686, 0.016804
1412210694.253679, 1412210694.270908, 0.017229
1412210694.274883, 1412210694.291915, 0.017032
1412210694.295897, 1412210694.313231, 0.017334
1412210694.317282, 1412210694.334888, 0.017606
1412210694.339034, 1412210694.356283, 0.017249
1412210694.360325, 1412210694.380593, 0.020268
1412210694.387011, 1412210694.404607, 0.017596
1412210694.408900, 1412210694.426695, 0.017795
1412210694.430752, 1412210694.449083, 0.018331
1412210694.453189, 1412210694.471182, 0.017993
1412210694.475229, 1412210694.493877, 0.018648
1412210694.498338, 1412210694.517023, 0.018685
1412210694.521113, 1412210694.540753, 0.019640
1412210694.544955, 1412210694.563586, 0.018631
1412210694.567682, 1412210694.586162, 0.018480
1412210694.590287, 1412210694.608990, 0.018703
1412210694.613147, 1412210694.631839, 0.018692
1412210694.636280, 1412210694.654714, 0.018434
1412210694.663324, 1412210694.682260, 0.018936
1412210694.686406, 1412210694.705562, 0.019156
1412210694.709709, 1412210694.729078, 0.019369
1412210694.733316, 1412210694.752622, 0.019306
1412210694.756777, 1412210694.776681, 0.019904
1412210694.781242, 1412210694.800839, 0.019597
1412210694.805092, 1412210694.825803, 0.020711
1412210694.830032, 1412210694.850566, 0.020534
1412210694.854892, 1412210694.875057, 0.020165
1412210694.879425, 1412210694.899559, 0.020134
1412210694.903846, 1412210694.924106, 0.020260
1412210694.928320, 1412210694.951984, 0.023664
1412210694.958709, 1412210694.978959, 0.020250
1412210694.983635, 1412210695.004442, 0.020807
1412210695.008810, 1412210695.029685, 0.020875
1412210695.033994, 1412210695.055124, 0.021130
1412210695.059343, 1412210695.080326, 0.020983
1412210695.084578, 1412210695.106516, 0.021938
1412210695.110749, 1412210695.131578, 0.020829
1412210695.135919, 1412210695.157078, 0.021159
1412210695.161353, 1412210695.183855, 0.022502
1412210695.188122, 1412210695.209776, 0.021654
1412210695.214305, 1412210695.235212, 0.020907
1412210695.239935, 1412210695.262519, 0.022584
1412210695.266845, 1412210695.288418, 0.021573
1412210695.292756, 1412210695.314923, 0.022167
1412210695.319317, 1412210695.341619, 0.022302
1412210695.346118, 1412210695.368234, 0.022116
1412210695.372557, 1412210695.394711, 0.022154
1412210695.399062, 1412210695.421490, 0.022428
1412210695.425889, 1412210695.449223, 0.023334
1412210695.453570, 1412210695.475826, 0.022256
1412210695.480190, 1412210695.503431, 0.023241
1412210695.507993, 1412210695.531043, 0.023050
1412210695.535424, 1412210695.558091, 0.022667
1412210695.562611, 1412210695.589185, 0.026574
1412210695.595613, 1412210695.619049, 0.023436
1412210695.623410, 1412210695.646450, 0.023040
1412210695.650864, 1412210695.674204, 0.023340
1412210695.678598, 1412210695.702519, 0.023921
1412210695.707083, 1412210695.730437, 0.023354
1412210695.734846, 1412210695.758548, 0.023702
1412210695.763094, 1412210695.787405, 0.024311
1412210695.791911, 1412210695.815638, 0.023727
1412210695.820095, 1412210695.844020, 0.023925
1412210695.848609, 1412210695.873109, 0.024500
1412210695.877760, 1412210695.901967, 0.024207
1412210695.906819, 1412210695.930816, 0.023997
1412210695.935302, 1412210695.960166, 0.024864
1412210695.964623, 1412210695.990753, 0.026130
1412210695.995331, 1412210696.019807, 0.024476
1412210696.024457, 1412210696.050326, 0.025869
1412210696.055353, 1412210696.079893, 0.024540
1412210696.084605, 1412210696.110838, 0.026233
1412210696.115918, 1412210696.141143, 0.025225
1412210696.145769, 1412210696.176183, 0.030414
1412210696.181961, 1412210696.207974, 0.026013
1412210696.212716, 1412210696.239644, 0.026928
1412210696.244291, 1412210696.271166, 0.026875
1412210696.275965, 1412210696.302942, 0.026977
1412210696.307448, 1412210696.334492, 0.027044
1412210696.339027, 1412210696.366341, 0.027314
1412210696.370846, 1412210696.398070, 0.027224
1412210696.402801, 1412210696.429481, 0.026680
1412210696.434513, 1412210696.461457, 0.026944
1412210696.466313, 1412210696.493034, 0.026721
1412210696.497848, 1412210696.525275, 0.027427
1412210696.530028, 1412210696.557436, 0.027408
1412210696.562417, 1412210696.590475, 0.028058
1412210696.595380, 1412210696.622606, 0.027226
1412210696.627405, 1412210696.655576, 0.028171
1412210696.660213, 1412210696.687713, 0.027500
1412210696.692912, 1412210696.724997, 0.032085
1412210696.730084, 1412210696.758421, 0.028337
1412210696.763440, 1412210696.792892, 0.029452
1412210696.797660, 1412210696.825886, 0.028226
1412210696.830862, 1412210696.859295, 0.028433
1412210696.863915, 1412210696.892972, 0.029057
1412210696.897739, 1412210696.926507, 0.028768
1412210696.931858, 1412210696.960296, 0.028438
1412210696.965575, 1412210696.995888, 0.030313
1412210697.000816, 1412210697.030016, 0.029200
1412210697.035002, 1412210697.064645, 0.029643
1412210697.069489, 1412210697.099066, 0.029577
1412210697.103984, 1412210697.133336, 0.029352
1412210697.137989, 1412210697.167936, 0.029947
1412210697.172549, 1412210697.202912, 0.030363
1412210697.207563, 1412210697.237033, 0.029470
1412210697.241685, 1412210697.273344, 0.031659
1412210697.278002, 1412210697.311893, 0.033891
1412210697.317085, 1412210697.346749, 0.029664
1412210697.352125, 1412210697.382740, 0.030615
1412210697.387594, 1412210697.418290, 0.030696
1412210697.422987, 1412210697.453232, 0.030245
1412210697.458423, 1412210697.488551, 0.030128
1412210697.493283, 1412210697.524247, 0.030964
1412210697.528897, 1412210697.560101, 0.031204
1412210697.565101, 1412210697.596355, 0.031254
1412210697.601846, 1412210697.633540, 0.031694
1412210697.638536, 1412210697.669803, 0.031267
1412210697.674502, 1412210697.705281, 0.030779
1412210697.710449, 1412210697.742287, 0.031838
1412210697.747305, 1412210697.778316, 0.031011
1412210697.783254, 1412210697.814713, 0.031459
1412210697.819468, 1412210697.852006, 0.032538
1412210697.857097, 1412210697.888088, 0.030991
1412210697.893421, 1412210697.929557, 0.036136
1412210697.934360, 1412210697.966944, 0.032584
1412210697.972282, 1412210698.004842, 0.032560
1412210698.010076, 1412210698.042676, 0.032600
1412210698.047463, 1412210698.079728, 0.032265
1412210698.084784, 1412210698.118185, 0.033401
1412210698.123407, 1412210698.158047, 0.034640
1412210698.163008, 1412210698.196854, 0.033846
1412210698.201718, 1412210698.236175, 0.034457
1412210698.241064, 1412210698.274467, 0.033403
1412210698.280014, 1412210698.313812, 0.033798
1412210698.318643, 1412210698.351674, 0.033031
1412210698.356817, 1412210698.390101, 0.033284
1412210698.394953, 1412210698.427901, 0.032948
1412210698.432804, 1412210698.466943, 0.034139
1412210698.472176, 1412210698.505608, 0.033432
1412210698.510810, 1412210698.545013, 0.034203
1412210698.550035, 1412210698.590269, 0.040234
1412210698.595193, 1412210698.629568, 0.034375
1412210698.635099, 1412210698.669617, 0.034518
1412210698.674720, 1412210698.709299, 0.034579
1412210698.714248, 1412210698.748625, 0.034377
1412210698.753700, 1412210698.788620, 0.034920
1412210698.793584, 1412210698.828336, 0.034752
1412210698.833262, 1412210698.868767, 0.035505
1412210698.873868, 1412210698.909505, 0.035637
