iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412187917.081693, 1412187917.082441, 0.000748
1412188001.572001, 1412188001.572752, 0.000751
1412188086.229231, 1412188086.230040, 0.000809
1412188170.826011, 1412188170.826769, 0.000758
1412188255.797264, 1412188255.798035, 0.000771
1412188340.714446, 1412188340.715192, 0.000746
1412188425.472766, 1412188425.473517, 0.000751
1412188510.471602, 1412188510.472410, 0.000808
1412188595.362581, 1412188595.363364, 0.000783
1412188680.406782, 1412188680.407580, 0.000798
1412187917.080923, 1412187917.081686, 0.000763
1412188001.571191, 1412188001.571993, 0.000802
1412188086.228445, 1412188086.229223, 0.000778
1412188170.825225, 1412188170.826004, 0.000779
1412188255.796399, 1412188255.797256, 0.000857
1412188340.713685, 1412188340.714439, 0.000754
1412188425.471966, 1412188425.472758, 0.000792
1412188510.470806, 1412188510.471594, 0.000788
1412188595.361816, 1412188595.362573, 0.000757
1412188680.406019, 1412188680.406775, 0.000756
1412187917.080098, 1412187917.080916, 0.000818
1412188001.570412, 1412188001.571184, 0.000772
1412188086.227670, 1412188086.228438, 0.000768
1412188170.824423, 1412188170.825217, 0.000794
1412188255.795612, 1412188255.796391, 0.000779
1412188340.712910, 1412188340.713677, 0.000767
1412188425.471085, 1412188425.471958, 0.000873
1412188510.470025, 1412188510.470799, 0.000774
1412188595.361035, 1412188595.361809, 0.000774
1412188680.405249, 1412188680.406011, 0.000762
1412187917.079182, 1412187917.080090, 0.000908
1412188001.569606, 1412188001.570404, 0.000798
1412188086.226884, 1412188086.227662, 0.000778
1412188170.823593, 1412188170.824416, 0.000823
1412188255.794811, 1412188255.795604, 0.000793
1412188340.712080, 1412188340.712902, 0.000822
1412188425.470277, 1412188425.471075, 0.000798
1412188510.469216, 1412188510.470017, 0.000801
1412188595.360238, 1412188595.361027, 0.000789
1412188680.404456, 1412188680.405240, 0.000784
1412187917.078384, 1412187917.079174, 0.000790
1412188001.568798, 1412188001.569598, 0.000800
1412188086.226106, 1412188086.226876, 0.000770
1412188170.822781, 1412188170.823586, 0.000805
1412188255.794002, 1412188255.794804, 0.000802
1412188340.711176, 1412188340.712073, 0.000897
