iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412217437.993006, 1412217437.993851, 0.000845
1412217437.992233, 1412217437.992998, 0.000765
1412217437.991418, 1412217437.992225, 0.000807
1412217437.990639, 1412217437.991411, 0.000772
1412217437.989833, 1412217437.990631, 0.000798
1412217437.989041, 1412217437.989825, 0.000784
1412217437.988223, 1412217437.989034, 0.000811
1412217437.987401, 1412217437.988215, 0.000814
1412217437.986561, 1412217437.987394, 0.000833
1412217437.985612, 1412217437.986553, 0.000941
1412217437.984783, 1412217437.985605, 0.000822
1412217437.983930, 1412217437.984775, 0.000845
1412217437.983083, 1412217437.983922, 0.000839
1412217437.982277, 1412217437.983076, 0.000799
1412217437.981449, 1412217437.982269, 0.000820
1412217437.980631, 1412217437.981441, 0.000810
1412217437.979778, 1412217437.980623, 0.000845
1412217437.978906, 1412217437.979752, 0.000846
1412217437.977961, 1412217437.978897, 0.000936
1412217437.977128, 1412217437.977953, 0.000825
1412217437.976272, 1412217437.977120, 0.000848
1412217437.975399, 1412217437.976265, 0.000866
1412217437.974526, 1412217437.975392, 0.000866
1412217437.973625, 1412217437.974517, 0.000892
1412217437.972424, 1412217437.973616, 0.001192
1412217437.971316, 1412217437.972413, 0.001097
1412217437.970437, 1412217437.971308, 0.000871
1412217437.969453, 1412217437.970429, 0.000976
1412217437.968543, 1412217437.969445, 0.000902
1412217437.967336, 1412217437.968534, 0.001198
1412217437.966457, 1412217437.967328, 0.000871
1412217437.965573, 1412217437.966449, 0.000876
1412217437.964673, 1412217437.965566, 0.000893
1412217437.963736, 1412217437.964665, 0.000929
1412217437.962841, 1412217437.963729, 0.000888
1412217437.961952, 1412217437.962833, 0.000881
1412217437.960967, 1412217437.961944, 0.000977
1412217437.960059, 1412217437.960960, 0.000901
1412217437.959146, 1412217437.960052, 0.000906
1412217437.958246, 1412217437.959138, 0.000892
1412217437.957350, 1412217437.958239, 0.000889
1412217437.956426, 1412217437.957343, 0.000917
1412217437.955486, 1412217437.956419, 0.000933
1412217437.954538, 1412217437.955478, 0.000940
1412217437.953562, 1412217437.954530, 0.000968
1412217437.952543, 1412217437.953554, 0.001011
1412217437.951595, 1412217437.952535, 0.000940
1412217437.950668, 1412217437.951587, 0.000919
1412217437.949746, 1412217437.950661, 0.000915
1412217437.948810, 1412217437.949738, 0.000928
1412217437.947879, 1412217437.948803, 0.000924
1412217437.946910, 1412217437.947871, 0.000961
1412217437.945977, 1412217437.946903, 0.000926
1412217437.945001, 1412217437.945968, 0.000967
1412217437.943940, 1412217437.944993, 0.001053
1412217437.942976, 1412217437.943932, 0.000956
1412217437.942019, 1412217437.942968, 0.000949
1412217437.941075, 1412217437.942012, 0.000937
1412217437.940104, 1412217437.941067, 0.000963
1412217437.939130, 1412217437.940096, 0.000966
1412217437.938168, 1412217437.939122, 0.000954
1412217437.937186, 1412217437.938160, 0.000974
1412217437.936198, 1412217437.937178, 0.000980
1412217437.935094, 1412217437.936190, 0.001096
1412217437.934097, 1412217437.935086, 0.000989
1412217437.933010, 1412217437.934088, 0.001078
1412217437.932037, 1412217437.933003, 0.000966
1412217437.931021, 1412217437.932029, 0.001008
1412217437.930032, 1412217437.931013, 0.000981
1412217437.929029, 1412217437.930024, 0.000995
1412217437.928038, 1412217437.929021, 0.000983
1412217437.927001, 1412217437.928031, 0.001030
1412217437.925876, 1412217437.926993, 0.001117
1412217437.924869, 1412217437.925868, 0.000999
1412217437.923780, 1412217437.924861, 0.001081
1412217437.922751, 1412217437.923772, 0.001021
1412217437.921714, 1412217437.922744, 0.001030
1412217437.920688, 1412217437.921706, 0.001018
1412217437.919643, 1412217437.920679, 0.001036
1412217437.918600, 1412217437.919635, 0.001035
1412217437.917576, 1412217437.918593, 0.001017
1412217437.916507, 1412217437.917569, 0.001062
1412217437.915354, 1412217437.916498, 0.001144
1412217437.914312, 1412217437.915347, 0.001035
1412217437.913212, 1412217437.914304, 0.001092
1412217437.912157, 1412217437.913204, 0.001047
1412217437.911048, 1412217437.912149, 0.001101
1412217437.910013, 1412217437.911039, 0.001026
1412217437.908966, 1412217437.910006, 0.001040
1412217437.907889, 1412217437.908958, 0.001069
1412217437.906806, 1412217437.907881, 0.001075
1412217437.905710, 1412217437.906798, 0.001088
1412217437.904531, 1412217437.905702, 0.001171
1412217437.903376, 1412217437.904523, 0.001147
1412217437.902318, 1412217437.903368, 0.001050
1412217437.901240, 1412217437.902309, 0.001069
1412217437.900143, 1412217437.901233, 0.001090
1412217437.898998, 1412217437.900135, 0.001137
1412217437.897902, 1412217437.898991, 0.001089
1412217437.896810, 1412217437.897893, 0.001083
1412217437.895668, 1412217437.896802, 0.001134
1412217437.894565, 1412217437.895661, 0.001096
1412217437.893347, 1412217437.894556, 0.001209
1412217437.892154, 1412217437.893339, 0.001185
1412217437.891016, 1412217437.892146, 0.001130
1412217437.889931, 1412217437.891008, 0.001077
1412217437.888824, 1412217437.889923, 0.001099
1412217437.887701, 1412217437.888816, 0.001115
1412217437.886579, 1412217437.887693, 0.001114
1412217437.885479, 1412217437.886571, 0.001092
1412217437.884346, 1412217437.885470, 0.001124
1412217437.883189, 1412217437.884338, 0.001149
1412217437.882066, 1412217437.883182, 0.001116
1412217437.880935, 1412217437.882058, 0.001123
1412217437.879677, 1412217437.880926, 0.001249
1412217437.878572, 1412217437.879669, 0.001097
1412217437.877459, 1412217437.878564, 0.001105
1412217437.876324, 1412217437.877451, 0.001127
1412217437.875180, 1412217437.876315, 0.001135
1412217437.874026, 1412217437.875172, 0.001146
1412217437.872882, 1412217437.874018, 0.001136
1412217437.871720, 1412217437.872874, 0.001154
1412217437.870576, 1412217437.871712, 0.001136
1412217437.869423, 1412217437.870568, 0.001145
1412217437.868159, 1412217437.869415, 0.001256
