iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412186478.805448, 1412186481.261052, 2.455604
1412186611.372351, 1412186611.376677, 0.004326
1412186742.035308, 1412186742.039186, 0.003878
1412186873.660883, 1412186874.036999, 0.376116
1412187003.383352, 1412187003.471422, 0.088070
1412187133.971441, 1412187134.061750, 0.090309
1412187264.942983, 1412187264.947438, 0.004455
1412187396.966898, 1412187396.970780, 0.003882
1412187530.132677, 1412187530.136610, 0.003933
1412187663.124149, 1412187663.128367, 0.004218
1412186481.330030, 1412186481.336337, 0.006307
1412186611.392433, 1412186611.396303, 0.003870
1412186742.296183, 1412186742.300588, 0.004405
1412186874.335611, 1412186874.339391, 0.003780
1412187003.534819, 1412187003.623442, 0.088623
1412187134.322707, 1412187134.408669, 0.085962
1412187265.226691, 1412187265.316525, 0.089834
1412187397.123579, 1412187397.127889, 0.004310
1412187530.401504, 1412187530.488349, 0.086845
1412187663.165484, 1412187663.252619, 0.087135
1412186481.358329, 1412186481.373420, 0.015091
1412186611.412426, 1412186611.416718, 0.004292
1412186742.316933, 1412186742.581933, 0.265000
1412186874.356521, 1412186874.444519, 0.087998
1412187003.643769, 1412187003.731775, 0.088006
1412187134.431314, 1412187134.521555, 0.090241
1412187265.336023, 1412187265.340282, 0.004259
1412187397.145113, 1412187397.149523, 0.004410
1412187530.506881, 1412187530.596563, 0.089682
1412187663.271432, 1412187663.360781, 0.089349
1412186481.394201, 1412186481.505314, 0.111113
1412186611.432861, 1412186611.436767, 0.003906
1412186743.026222, 1412186743.030320, 0.004098
1412186874.464154, 1412186874.553155, 0.089001
1412187003.750739, 1412187003.754715, 0.003976
1412187134.540093, 1412187134.629110, 0.089017
1412187265.357572, 1412187265.448129, 0.090557
1412187397.170872, 1412187397.174774, 0.003902
1412187530.615837, 1412187530.620126, 0.004289
1412187663.380084, 1412187663.590138, 0.210054
1412186481.529871, 1412186481.638590, 0.108719
1412186611.452527, 1412186611.456567, 0.004040
1412186743.046857, 1412186743.135790, 0.088933
1412186874.573744, 1412186874.670071, 0.096327
1412187003.771445, 1412187003.775837, 0.004392
1412187134.648398, 1412187134.741704, 0.093306
1412187265.469386, 1412187265.473211, 0.003825
1412187397.191829, 1412187397.196075, 0.004246
1412187530.636734, 1412187530.640728, 0.003994
1412187664.191889, 1412187664.195714, 0.003825
1412186481.662578, 1412186481.778742, 0.116164
1412186611.472551, 1412186611.477431, 0.004880
1412186743.156098, 1412186743.160114, 0.004016
1412186874.689495, 1412186874.776513, 0.087018
1412187003.792077, 1412187003.796316, 0.004239
1412187134.761168, 1412187134.849183, 0.088015
1412187265.489229, 1412187265.576762, 0.087533
1412187397.212737, 1412187397.300889, 0.088152
1412187530.657297, 1412187530.744702, 0.087405
1412187664.211881, 1412187664.300861, 0.088980
1412186481.802376, 1412186481.890604, 0.088228
1412186611.493652, 1412186611.578691, 0.085039
1412186743.176892, 1412186743.267150, 0.090258
1412186874.797328, 1412186874.884844, 0.087516
1412187003.813113, 1412187003.816964, 0.003851
1412187134.869884, 1412187134.960334, 0.090450
1412187265.597104, 1412187265.601012, 0.003908
1412187397.461969, 1412187397.548711, 0.086742
1412187530.764246, 1412187530.852415, 0.088169
1412187664.320087, 1412187664.408722, 0.088635
1412186481.915024, 1412186482.022171, 0.107147
1412186611.598067, 1412186611.602477, 0.004410
1412186743.288895, 1412186743.379265, 0.090370
1412186874.904649, 1412186874.908625, 0.003976
1412187003.834543, 1412187003.923722, 0.089179
1412187134.979507, 1412187135.198276, 0.218769
1412187265.617491, 1412187265.708012, 0.090521
1412187397.568110, 1412187397.656675, 0.088565
1412187530.871498, 1412187530.956068, 0.084570
1412187664.428299, 1412187664.432194, 0.003895
1412186482.041587, 1412186482.129872, 0.088285
1412186611.619290, 1412186611.706667, 0.087377
1412186743.399359, 1412186743.486734, 0.087375
1412186874.925194, 1412186874.930455, 0.005261
1412187003.942954, 1412187004.031343, 0.088389
1412187135.751937, 1412187135.755904, 0.003967
1412187265.727932, 1412187265.732308, 0.004376
1412187397.676765, 1412187397.764622, 0.087857
1412187530.975989, 1412187530.980664, 0.004675
1412187664.448995, 1412187664.536682, 0.087687
1412186482.149968, 1412186482.238338, 0.088370
1412186611.727533, 1412186611.731404, 0.003871
1412186743.507038, 1412186743.510886, 0.003848
1412186874.948780, 1412186875.036585, 0.087805
1412187004.052089, 1412187004.139581, 0.087492
1412187135.772314, 1412187135.776359, 0.004045
1412187265.754212, 1412187265.956160, 0.201948
1412187397.784856, 1412187397.872411, 0.087555
1412187530.997475, 1412187531.001729, 0.004254
1412187664.556859, 1412187664.644613, 0.087754
1412186482.258378, 1412186482.262264, 0.003886
1412186611.748652, 1412186611.838648, 0.089996
1412186743.528131, 1412186743.532230, 0.004099
1412186875.056529, 1412186875.060793, 0.004264
1412187004.160211, 1412187004.164588, 0.004377
1412187135.793258, 1412187135.797393, 0.004135
1412187267.074264, 1412187267.164170, 0.089906
1412187397.895070, 1412187397.984787, 0.089717
1412187531.018768, 1412187531.022783, 0.004015
1412187664.664292, 1412187664.756874, 0.092582
1412186482.279401, 1412186482.283294, 0.003893
1412186611.859986, 1412186611.863914, 0.003928
1412186743.550294, 1412186743.638944, 0.088650
1412186875.077637, 1412186875.165472, 0.087835
1412187004.182391, 1412187004.186668, 0.004277
1412187135.813873, 1412187135.817726, 0.003853
1412187267.185302, 1412187267.277568, 0.092266
1412187398.004428, 1412187398.008317, 0.003889
1412187531.039288, 1412187531.128468, 0.089180
1412187664.776862, 1412187664.780862, 0.004000
1412186482.301394, 1412186482.305317, 0.003923
1412186611.880983, 1412186611.885304, 0.004321
1412186743.658951, 1412186743.747146, 0.088195
1412186875.186335, 1412186875.190644, 0.004309
1412187004.204225, 1412187004.208100, 0.003875
1412187135.834723, 1412187135.925214, 0.090491
1412187267.297787, 1412187267.388082, 0.090295
1412187398.025234, 1412187398.113239, 0.088005
1412187531.150611, 1412187531.157959, 0.007348
1412187664.797996, 1412187664.888498, 0.090502
1412186482.323299, 1412186482.327825, 0.004526
1412186611.902976, 1412186611.906903, 0.003927
1412186743.767161, 1412186743.855296, 0.088135
1412186875.208656, 1412186875.296409, 0.087753
1412187004.225247, 1412187004.455831, 0.230584
1412187135.947018, 1412187135.950903, 0.003885
1412187267.408743, 1412187267.495775, 0.087032
1412187398.135241, 1412187398.220612, 0.085371
1412187531.176462, 1412187531.180459, 0.003997
1412187664.909072, 1412187664.913068, 0.003996
1412186482.345172, 1412186482.434215, 0.089043
1412186611.925200, 1412186611.929378, 0.004178
