iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412203809.665552, 1412203809.774972, 0.109420
1412203809.796821, 1412203811.626392, 1.829571
1412203811.646223, 1412203811.652473, 0.006250
1412203811.672800, 1412203811.679614, 0.006814
1412203811.703310, 1412203811.809601, 0.106291
1412203811.834176, 1412203811.841674, 0.007498
1412203811.862696, 1412203811.964475, 0.101779
1412203811.988807, 1412203811.995461, 0.006654
1412203812.024903, 1412203812.032105, 0.007202
1412203812.054901, 1412203812.170771, 0.115870
1412203812.196922, 1412203812.311531, 0.114609
1412203812.336722, 1412203812.342821, 0.006099
1412203812.365879, 1412203812.467282, 0.101403
1412203812.487647, 1412203812.491745, 0.004098
1412203812.509291, 1412203812.599439, 0.090148
1412203812.620532, 1412203812.711093, 0.090561
1412203812.732992, 1412203812.737868, 0.004876
1412203812.757555, 1412203812.847800, 0.090245
1412203812.868764, 1412203812.959329, 0.090565
1412203812.980840, 1412203812.984845, 0.004005
1412203813.003022, 1412203813.007268, 0.004246
1412203813.025653, 1412203813.115619, 0.089966
1412203813.137750, 1412203813.231301, 0.093551
1412203813.257046, 1412203813.264301, 0.007255
1412203813.282781, 1412203813.371949, 0.089168
1412203813.393356, 1412203813.397345, 0.003989
1412203813.416645, 1412203813.420865, 0.004220
1412203813.439540, 1412203813.443539, 0.003999
1412203813.462347, 1412203813.466679, 0.004332
1412203813.485787, 1412203813.490098, 0.004311
1412203813.508295, 1412203813.512573, 0.004278
1412203813.532361, 1412203813.536425, 0.004064
1412203813.555883, 1412203813.559975, 0.004092
1412203813.579369, 1412203813.671068, 0.091699
1412203813.694275, 1412203813.698581, 0.004306
1412203813.718095, 1412203813.812249, 0.094154
1412203813.834947, 1412203813.839048, 0.004101
1412203813.859191, 1412203813.948409, 0.089218
1412203813.972860, 1412203814.063840, 0.090980
1412203814.086649, 1412203814.179500, 0.092851
1412203814.207403, 1412203814.299675, 0.092272
1412203814.322703, 1412203814.418135, 0.095432
1412203814.448091, 1412203814.555686, 0.107595
1412203814.587823, 1412203814.694085, 0.106262
1412203815.299276, 1412203815.303324, 0.004048
1412203815.323453, 1412203815.327529, 0.004076
1412203815.352535, 1412203815.453947, 0.101412
1412203815.483600, 1412203815.487744, 0.004144
1412203815.508136, 1412203815.610339, 0.102203
1412203815.640022, 1412203815.644129, 0.004107
1412203815.669634, 1412203815.673900, 0.004266
1412203815.702228, 1412203815.706427, 0.004199
1412203815.734829, 1412203815.836528, 0.101699
1412203815.876109, 1412203815.983357, 0.107248
1412203816.016978, 1412203816.119621, 0.102643
1412203816.152910, 1412203816.254274, 0.101364
1412203816.285480, 1412203816.289615, 0.004135
1412203816.310541, 1412203816.314732, 0.004191
1412203816.341506, 1412203816.446579, 0.105073
1412203816.477295, 1412203816.481417, 0.004122
1412203816.504000, 1412203816.607546, 0.103546
