iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412186481.261063, 1412186481.330007, 0.068944
1412186611.376684, 1412186611.392417, 0.015733
1412186742.039194, 1412186742.296166, 0.256972
1412186874.037005, 1412186874.335590, 0.298585
1412187003.471429, 1412187003.534799, 0.063370
1412187134.061756, 1412187134.322686, 0.260930
1412187264.947447, 1412187265.226674, 0.279227
1412187396.970786, 1412187397.123563, 0.152777
1412187530.136617, 1412187530.401488, 0.264871
1412187663.128377, 1412187663.165467, 0.037090
1412186481.336346, 1412186481.358304, 0.021958
1412186611.396310, 1412186611.412410, 0.016100
1412186742.300596, 1412186742.316918, 0.016322
1412186874.339399, 1412186874.356504, 0.017105
1412187003.623449, 1412187003.643748, 0.020299
1412187134.408676, 1412187134.431294, 0.022618
1412187265.316531, 1412187265.336000, 0.019469
1412187397.127896, 1412187397.145097, 0.017201
1412187530.488355, 1412187530.506865, 0.018510
1412187663.252625, 1412187663.271414, 0.018789
1412186481.373430, 1412186481.394176, 0.020746
1412186611.416725, 1412186611.432844, 0.016119
1412186742.581939, 1412186743.026207, 0.444268
1412186874.444525, 1412186874.464137, 0.019612
1412187003.731781, 1412187003.750720, 0.018939
1412187134.521560, 1412187134.540073, 0.018513
1412187265.340289, 1412187265.357556, 0.017267
1412187397.149530, 1412187397.170856, 0.021326
1412187530.596569, 1412187530.615820, 0.019251
1412187663.360787, 1412187663.380067, 0.019280
1412186481.505323, 1412186481.529847, 0.024524
1412186611.436774, 1412186611.452511, 0.015737
1412186743.030329, 1412186743.046834, 0.016505
1412186874.553161, 1412186874.573728, 0.020567
1412187003.754723, 1412187003.771428, 0.016705
1412187134.629117, 1412187134.648377, 0.019260
1412187265.448152, 1412187265.469369, 0.021217
1412187397.174781, 1412187397.191813, 0.017032
1412187530.620133, 1412187530.636717, 0.016584
1412187663.590144, 1412187664.191871, 0.601727
1412186481.638598, 1412186481.662554, 0.023956
1412186611.456576, 1412186611.472534, 0.015958
1412186743.135796, 1412186743.156081, 0.020285
1412186874.670076, 1412186874.689478, 0.019402
1412187003.775847, 1412187003.792053, 0.016206
1412187134.741710, 1412187134.761147, 0.019437
1412187265.473218, 1412187265.489213, 0.015995
1412187397.196082, 1412187397.212719, 0.016637
1412187530.640736, 1412187530.657281, 0.016545
1412187664.195720, 1412187664.211865, 0.016145
1412186481.778750, 1412186481.802360, 0.023610
1412186611.477439, 1412186611.493635, 0.016196
1412186743.160121, 1412186743.176876, 0.016755
1412186874.776519, 1412186874.797311, 0.020792
1412187003.796323, 1412187003.813097, 0.016774
1412187134.849189, 1412187134.869855, 0.020666
1412187265.576768, 1412187265.597088, 0.020320
1412187397.300895, 1412187397.461953, 0.161058
1412187530.744708, 1412187530.764229, 0.019521
1412187664.300867, 1412187664.320070, 0.019203
1412186481.890610, 1412186481.914999, 0.024389
