iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412203809.774980, 1412203809.796786, 0.021806
1412203811.626402, 1412203811.646199, 0.019797
1412203811.652483, 1412203811.672775, 0.020292
1412203811.679623, 1412203811.703286, 0.023663
1412203811.809611, 1412203811.834152, 0.024541
1412203811.841685, 1412203811.862671, 0.020986
1412203811.964483, 1412203811.988781, 0.024298
1412203811.995472, 1412203812.024878, 0.029406
1412203812.032115, 1412203812.054877, 0.022762
1412203812.170779, 1412203812.196896, 0.026117
1412203812.311537, 1412203812.336696, 0.025159
1412203812.342830, 1412203812.365854, 0.023024
1412203812.467288, 1412203812.487630, 0.020342
1412203812.491780, 1412203812.509274, 0.017494
1412203812.599446, 1412203812.620514, 0.021068
1412203812.711100, 1412203812.732974, 0.021874
1412203812.737879, 1412203812.757535, 0.019656
1412203812.847806, 1412203812.868746, 0.020940
1412203812.959338, 1412203812.980822, 0.021484
1412203812.984853, 1412203813.003004, 0.018151
1412203813.007275, 1412203813.025636, 0.018361
1412203813.115625, 1412203813.137732, 0.022107
1412203813.231432, 1412203813.257017, 0.025585
1412203813.264312, 1412203813.282764, 0.018452
1412203813.371955, 1412203813.393339, 0.021384
1412203813.397352, 1412203813.416627, 0.019275
1412203813.420872, 1412203813.439522, 0.018650
1412203813.443546, 1412203813.462329, 0.018783
1412203813.466686, 1412203813.485769, 0.019083
1412203813.490106, 1412203813.508278, 0.018172
1412203813.512581, 1412203813.532344, 0.019763
1412203813.536433, 1412203813.555864, 0.019431
1412203813.559982, 1412203813.579351, 0.019369
1412203813.671074, 1412203813.694257, 0.023183
1412203813.698588, 1412203813.718077, 0.019489
1412203813.812255, 1412203813.834929, 0.022674
1412203813.839055, 1412203813.859173, 0.020118
1412203813.948416, 1412203813.972842, 0.024426
1412203814.063846, 1412203814.086630, 0.022784
1412203814.179507, 1412203814.207371, 0.027864
1412203814.299681, 1412203814.322685, 0.023004
1412203814.418141, 1412203814.448073, 0.029932
1412203814.555693, 1412203814.587805, 0.032112
1412203814.694091, 1412203815.299258, 0.605167
1412203815.303331, 1412203815.323435, 0.020104
1412203815.327535, 1412203815.352517, 0.024982
1412203815.453955, 1412203815.483582, 0.029627
1412203815.487751, 1412203815.508118, 0.020367
1412203815.610345, 1412203815.640004, 0.029659
1412203815.644135, 1412203815.669616, 0.025481
1412203815.673909, 1412203815.702210, 0.028301
1412203815.706435, 1412203815.734810, 0.028375
1412203815.836535, 1412203815.876079, 0.039544
1412203815.983363, 1412203816.016960, 0.033597
1412203816.119628, 1412203816.152892, 0.033264
1412203816.254280, 1412203816.285462, 0.031182
1412203816.289621, 1412203816.310523, 0.020902
1412203816.314739, 1412203816.341487, 0.026748
1412203816.446586, 1412203816.477278, 0.030692
1412203816.481424, 1412203816.503982, 0.022558
1412203816.607552, 1412203816.638887, 0.031335
1412203816.739661, 1412203816.767545, 0.027884
1412203816.867619, 1412203816.896459, 0.028840
1412203816.900614, 1412203816.927527, 0.026913
1412203816.931734, 1412203816.964489, 0.032755
1412203817.067224, 1412203817.099565, 0.032341
1412203817.203358, 1412203817.234800, 0.031442
1412203817.240101, 1412203817.273119, 0.033018
1412203817.378804, 1412203817.411573, 0.032769
1412203817.415733, 1412203817.438739, 0.023006
1412203817.442926, 1412203817.470341, 0.027415
1412203817.474777, 1412203817.501621, 0.026844
1412203817.604305, 1412203817.637508, 0.033203
1412203817.739187, 1412203817.771750, 0.032563
1412203817.871497, 1412203817.904459, 0.032962
1412203817.908703, 1412203817.935500, 0.026797
1412203818.033201, 1412203818.071498, 0.038297
1412203818.077136, 1412203818.105247, 0.028111
1412203818.109622, 1412203818.138039, 0.028417
1412203818.142866, 1412203818.172186, 0.029320
1412203818.176477, 1412203818.204548, 0.028071
1412203818.208845, 1412203818.236099, 0.027254
1412203818.240410, 1412203818.269538, 0.029128
1412203818.273794, 1412203818.300731, 0.026937
1412203818.403700, 1412203818.432829, 0.029129
1412203818.535378, 1412203818.569272, 0.033894
1412203818.573604, 1412203818.598110, 0.024506
1412203818.602397, 1412203818.632223, 0.029826
1412203818.636629, 1412203818.662106, 0.025477
1412203818.666747, 1412203818.690289, 0.023542
1412203818.694714, 1412203818.724475, 0.029761
1412203818.823543, 1412203818.858603, 0.035060
1412203818.959381, 1412203818.993935, 0.034554
1412203819.095308, 1412203819.134653, 0.039345
1412203819.142426, 1412203819.166811, 0.024385
1412203819.171281, 1412203819.198122, 0.026841
1412203819.300952, 1412203819.337517, 0.036565
1412203819.439067, 1412203819.472419, 0.033352
1412203819.574243, 1412203819.618968, 0.044725
1412203819.623283, 1412203819.652340, 0.029057
1412203819.656708, 1412203819.687698, 0.030990
1412203819.692271, 1412203819.718215, 0.025944
1412203823.140326, 1412203823.297817, 0.157491
1412203823.302312, 1412203823.332942, 0.030630
1412203823.337289, 1412203823.368135, 0.030846
1412203823.467288, 1412203823.505272, 0.037984
1412203823.509597, 1412203823.545870, 0.036273
1412203823.553291, 1412203823.582668, 0.029377
1412203823.682911, 1412203823.715899, 0.032988
1412203823.814276, 1412203823.850681, 0.036405
1412203823.955267, 1412203823.994652, 0.039385
1412203823.998980, 1412203824.032512, 0.033532
1412203824.036986, 1412203824.069096, 0.032110
1412203824.171578, 1412203824.208443, 0.036865
1412203824.307288, 1412203824.343476, 0.036188
1412203824.442901, 1412203824.479674, 0.036773
1412203824.484070, 1412203824.511876, 0.027806
1412203824.516231, 1412203824.550954, 0.034723
1412203824.557995, 1412203824.586163, 0.028168
1412203824.590588, 1412203824.620709, 0.030121
1412203824.815251, 1412203825.331664, 0.516413
1412203825.436647, 1412203825.854930, 0.418283
1412203825.959056, 1412203825.993689, 0.034633
1412203826.095481, 1412203826.130787, 0.035306
1412203826.231940, 1412203826.271510, 0.039570
1412203826.372059, 1412203826.413728, 0.041669
1412203826.514273, 1412203826.558825, 0.044552
1412203826.660245, 1412203826.698563, 0.038318
1412203826.702984, 1412203826.734104, 0.031120
1412203826.738920, 1412203826.772031, 0.033111
1412203826.875047, 1412203826.911656, 0.036609
1412203826.916098, 1412203826.950377, 0.034279
1412203827.053898, 1412203827.092648, 0.038750
1412203827.195556, 1412203827.230808, 0.035252
1412203827.235211, 1412203827.271198, 0.035987
1412203827.369975, 1412203827.412489, 0.042514
1412203827.516146, 1412203827.561495, 0.045349
1412203827.663328, 1412203827.703278, 0.039950
1412203827.707706, 1412203827.742074, 0.034368
1412203827.746807, 1412203827.779286, 0.032479
1412203827.783733, 1412203827.815680, 0.031947
1412203827.919703, 1412203827.957044, 0.037341
1412203827.961867, 1412203827.997987, 0.036120
1412203828.002464, 1412203828.035611, 0.033147
1412203828.140108, 1412203828.182544, 0.042436
1412203828.187275, 1412203828.222479, 0.035204
1412203828.226944, 1412203828.261122, 0.034178
1412203828.265614, 1412203828.300651, 0.035037
1412203828.404668, 1412203828.451019, 0.046351
1412203828.457314, 1412203828.492986, 0.035672
1412203828.497938, 1412203828.533957, 0.036019
1412203828.538446, 1412203828.573755, 0.035309
1412203828.578613, 1412203828.614918, 0.036305
1412203828.619558, 1412203828.654454, 0.034896
1412203828.658981, 1412203828.694384, 0.035403
1412203828.698896, 1412203828.735842, 0.036946
1412203828.740456, 1412203828.778051, 0.037595
1412203828.886878, 1412203828.926189, 0.039311
1412203829.027264, 1412203829.069649, 0.042385
1412203829.074175, 1412203829.111497, 0.037322
1412203829.116118, 1412203829.155044, 0.038926
1412203829.253379, 1412203829.301786, 0.048407
1412203829.306604, 1412203829.344752, 0.038148
1412203829.349389, 1412203829.382716, 0.033327
1412203829.482244, 1412203829.525548, 0.043304
1412203829.627165, 1412203829.673006, 0.045841
1412203832.376939, 1412203833.322333, 0.945394
1412203833.430215, 1412203833.473741, 0.043526
1412203833.478274, 1412203833.514245, 0.035971
1412203833.617635, 1412203833.663599, 0.045964
1412203833.670180, 1412203833.702979, 0.032799
1412203833.707528, 1412203833.747825, 0.040297
1412203833.847425, 1412203833.887735, 0.040310
1412203833.986900, 1412203834.030508, 0.043608
1412203834.035084, 1412203834.075096, 0.040012
1412203834.079690, 1412203834.118609, 0.038919
1412203834.123604, 1412203834.160907, 0.037303
1412203834.165528, 1412203834.196817, 0.031289
1412203834.303413, 1412203834.345589, 0.042176
1412203834.447107, 1412203834.495586, 0.048479
1412203834.501384, 1412203834.539423, 0.038039
1412203834.544035, 1412203834.580077, 0.036042
1412203834.585053, 1412203834.623969, 0.038916
1412203834.629418, 1412203834.665523, 0.036105
1412203834.820743, 1412203835.148854, 0.328111
1412203835.153583, 1412203835.195667, 0.042084
1412203835.298557, 1412203835.343067, 0.044510
1412203835.443509, 1412203835.487235, 0.043726
1412203835.580422, 1412203835.631101, 0.050679
1412203835.735489, 1412203835.779916, 0.044427
1412203835.784595, 1412203835.824969, 0.040374
1412203835.829565, 1412203835.869504, 0.039939
1412203835.970979, 1412203836.013401, 0.042422
