iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412186611.371234, 1412186611.372136, 0.000902
1412186742.034361, 1412186742.035104, 0.000743
1412186873.659616, 1412186873.660672, 0.001056
1412187003.382391, 1412187003.383128, 0.000737
1412187133.970507, 1412187133.971236, 0.000729
1412187264.942012, 1412187264.942776, 0.000764
1412187396.965965, 1412187396.966693, 0.000728
1412187530.131694, 1412187530.132466, 0.000772
1412187663.122850, 1412187663.124009, 0.001159
1412187795.443062, 1412187795.443874, 0.000812
1412186611.370399, 1412186611.371226, 0.000827
1412186742.033615, 1412186742.034355, 0.000740
1412186873.658490, 1412186873.659605, 0.001115
1412187003.381596, 1412187003.382384, 0.000788
1412187133.969764, 1412187133.970500, 0.000736
1412187264.941231, 1412187264.942005, 0.000774
1412187396.965222, 1412187396.965958, 0.000736
1412187530.130839, 1412187530.131686, 0.000847
1412187663.121933, 1412187663.122839, 0.000906
1412187795.442249, 1412187795.443056, 0.000807
1412186611.369475, 1412186611.370388, 0.000913
1412186742.032862, 1412186742.033608, 0.000746
1412186873.657593, 1412186873.658482, 0.000889
1412187003.380721, 1412187003.381588, 0.000867
1412187133.969012, 1412187133.969757, 0.000745
1412187264.940459, 1412187264.941224, 0.000765
1412187396.964477, 1412187396.965215, 0.000738
1412187530.129818, 1412187530.130831, 0.001013
1412187663.121164, 1412187663.121926, 0.000762
1412187795.438340, 1412187795.442240, 0.003900
1412186611.368579, 1412186611.369464, 0.000885
1412186742.032091, 1412186742.032855, 0.000764
1412186873.656734, 1412186873.657585, 0.000851
1412187003.379830, 1412187003.380713, 0.000883
1412187133.968253, 1412187133.969005, 0.000752
1412187264.939692, 1412187264.940453, 0.000761
1412187396.963709, 1412187396.964470, 0.000761
1412187530.128648, 1412187530.129809, 0.001161
1412187663.120400, 1412187663.121158, 0.000758
1412187795.437538, 1412187795.438333, 0.000795
1412186611.367807, 1412186611.368571, 0.000764
1412186742.031286, 1412186742.032085, 0.000799
1412186873.655974, 1412186873.656728, 0.000754
1412187003.378888, 1412187003.379820, 0.000932
1412187133.967449, 1412187133.968247, 0.000798
1412187264.938908, 1412187264.939685, 0.000777
1412187396.962911, 1412187396.963701, 0.000790
1412187530.127859, 1412187530.128641, 0.000782
1412187663.119575, 1412187663.120393, 0.000818
1412187795.436732, 1412187795.437531, 0.000799
1412186611.367019, 1412186611.367799, 0.000780
1412186742.030480, 1412186742.031279, 0.000799
1412186873.655177, 1412186873.655967, 0.000790
1412187003.377835, 1412187003.378880, 0.001045
1412187133.966616, 1412187133.967442, 0.000826
1412187264.938138, 1412187264.938901, 0.000763
1412187396.962084, 1412187396.962902, 0.000818
1412187530.127062, 1412187530.127852, 0.000790
1412187663.118758, 1412187663.119568, 0.000810
