iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412210603.073613, 1412210603.074357, 0.000744
1412210603.072845, 1412210603.073606, 0.000761
1412210603.072049, 1412210603.072837, 0.000788
1412210603.071257, 1412210603.072041, 0.000784
1412210603.070456, 1412210603.071249, 0.000793
1412210603.069668, 1412210603.070448, 0.000780
1412210603.068851, 1412210603.069660, 0.000809
1412210603.068007, 1412210603.068844, 0.000837
1412210603.067054, 1412210603.067998, 0.000944
1412210603.066253, 1412210603.067047, 0.000794
1412210603.065436, 1412210603.066245, 0.000809
1412210603.064629, 1412210603.065428, 0.000799
1412210603.063801, 1412210603.064621, 0.000820
1412210603.062976, 1412210603.063793, 0.000817
1412210603.062123, 1412210603.062967, 0.000844
1412210603.061276, 1412210603.062116, 0.000840
1412210603.060450, 1412210603.061268, 0.000818
1412210603.059581, 1412210603.060441, 0.000860
1412210603.058749, 1412210603.059573, 0.000824
1412210603.057881, 1412210603.058740, 0.000859
1412210603.056994, 1412210603.057872, 0.000878
1412210603.056050, 1412210603.056985, 0.000935
1412210603.055166, 1412210603.056042, 0.000876
1412210603.054321, 1412210603.055158, 0.000837
1412210603.053461, 1412210603.054312, 0.000851
1412210603.052602, 1412210603.053452, 0.000850
1412210603.051705, 1412210603.052594, 0.000889
1412210603.050845, 1412210603.051698, 0.000853
1412210603.049962, 1412210603.050837, 0.000875
1412210603.049093, 1412210603.049954, 0.000861
1412210603.048196, 1412210603.049084, 0.000888
1412210603.047239, 1412210603.048188, 0.000949
1412210603.046353, 1412210603.047231, 0.000878
1412210603.045427, 1412210603.046345, 0.000918
1412210603.044440, 1412210603.045418, 0.000978
1412210603.043503, 1412210603.044432, 0.000929
1412210603.042615, 1412210603.043496, 0.000881
1412210603.041703, 1412210603.042608, 0.000905
1412210603.040795, 1412210603.041695, 0.000900
1412210603.039865, 1412210603.040787, 0.000922
1412210603.038925, 1412210603.039857, 0.000932
1412210603.038017, 1412210603.038918, 0.000901
1412210603.037072, 1412210603.038009, 0.000937
1412210603.036134, 1412210603.037064, 0.000930
1412210603.035189, 1412210603.036126, 0.000937
1412210603.034234, 1412210603.035181, 0.000947
1412210603.033218, 1412210603.034226, 0.001008
1412210603.032284, 1412210603.033210, 0.000926
1412210603.031305, 1412210603.032275, 0.000970
1412210603.030364, 1412210603.031297, 0.000933
1412210603.029403, 1412210603.030356, 0.000953
1412210603.028408, 1412210603.029394, 0.000986
1412210603.026978, 1412210603.028400, 0.001422
1412210603.025874, 1412210603.026966, 0.001092
1412210603.024918, 1412210603.025866, 0.000948
1412210603.023907, 1412210603.024910, 0.001003
1412210603.022740, 1412210603.023898, 0.001158
1412210603.021699, 1412210603.022730, 0.001031
1412210603.020706, 1412210603.021691, 0.000985
1412210603.019591, 1412210603.020697, 0.001106
1412210603.018618, 1412210603.019583, 0.000965
1412210603.017615, 1412210603.018610, 0.000995
1412210603.016609, 1412210603.017607, 0.000998
1412210603.015584, 1412210603.016601, 0.001017
1412210603.014602, 1412210603.015576, 0.000974
1412210603.013593, 1412210603.014594, 0.001001
1412210603.012593, 1412210603.013584, 0.000991
1412210603.011553, 1412210603.012585, 0.001032
1412210603.010556, 1412210603.011546, 0.000990
1412210603.009534, 1412210603.010548, 0.001014
1412210603.008506, 1412210603.009526, 0.001020
1412210603.007413, 1412210603.008498, 0.001085
1412210603.006269, 1412210603.007404, 0.001135
1412210603.005247, 1412210603.006261, 0.001014
1412210603.004234, 1412210603.005239, 0.001005
1412210603.003186, 1412210603.004226, 0.001040
1412210603.002143, 1412210603.003178, 0.001035
1412210603.001111, 1412210603.002135, 0.001024
1412210603.000052, 1412210603.001102, 0.001050
1412210602.998996, 1412210603.000043, 0.001047
1412210602.997945, 1412210602.998988, 0.001043
1412210602.996842, 1412210602.997936, 0.001094
1412210602.995748, 1412210602.996833, 0.001085
1412210602.994654, 1412210602.995740, 0.001086
1412210602.993493, 1412210602.994645, 0.001152
1412210602.992420, 1412210602.993485, 0.001065
1412210602.991329, 1412210602.992412, 0.001083
1412210602.990256, 1412210602.991321, 0.001065
1412210602.989156, 1412210602.990248, 0.001092
1412210602.988033, 1412210602.989147, 0.001114
1412210602.986857, 1412210602.988025, 0.001168
1412210602.985741, 1412210602.986850, 0.001109
1412210602.984609, 1412210602.985732, 0.001123
1412210602.983492, 1412210602.984601, 0.001109
1412210602.982374, 1412210602.983483, 0.001109
1412210602.981266, 1412210602.982366, 0.001100
1412210602.980110, 1412210602.981258, 0.001148
1412210602.978875, 1412210602.980102, 0.001227
1412210602.977734, 1412210602.978867, 0.001133
1412210602.976591, 1412210602.977726, 0.001135
1412210602.975435, 1412210602.976582, 0.001147
1412210602.974320, 1412210602.975426, 0.001106
1412210602.973182, 1412210602.974311, 0.001129
1412210602.972057, 1412210602.973174, 0.001117
1412210602.970912, 1412210602.972049, 0.001137
1412210602.969803, 1412210602.970904, 0.001101
1412210602.968680, 1412210602.969796, 0.001116
1412210602.967480, 1412210602.968672, 0.001192
1412210602.966298, 1412210602.967471, 0.001173
1412210602.965129, 1412210602.966290, 0.001161
1412210602.963889, 1412210602.965119, 0.001230
1412210602.962730, 1412210602.963881, 0.001151
1412210602.961604, 1412210602.962722, 0.001118
1412210602.960462, 1412210602.961596, 0.001134
1412210602.959282, 1412210602.960454, 0.001172
1412210602.958140, 1412210602.959274, 0.001134
1412210602.956951, 1412210602.958131, 0.001180
1412210602.955745, 1412210602.956940, 0.001195
1412210602.954574, 1412210602.955736, 0.001162
1412210602.953380, 1412210602.954566, 0.001186
1412210602.952209, 1412210602.953372, 0.001163
1412210602.951035, 1412210602.952200, 0.001165
1412210602.949841, 1412210602.951026, 0.001185
1412210602.948535, 1412210602.949832, 0.001297
1412210602.947333, 1412210602.948526, 0.001193
1412210602.946141, 1412210602.947324, 0.001183
1412210602.944965, 1412210602.946132, 0.001167
1412210602.943794, 1412210602.944956, 0.001162
1412210602.942581, 1412210602.943786, 0.001205
1412210602.941411, 1412210602.942572, 0.001161
1412210602.940216, 1412210602.941402, 0.001186
1412210602.939016, 1412210602.940207, 0.001191
1412210602.937823, 1412210602.939007, 0.001184
1412210602.936607, 1412210602.937814, 0.001207
1412210602.935363, 1412210602.936598, 0.001235
1412210602.934061, 1412210602.935355, 0.001294
1412210602.932881, 1412210602.934052, 0.001171
1412210602.931655, 1412210602.932873, 0.001218
1412210602.930482, 1412210602.931646, 0.001164
1412210602.929298, 1412210602.930474, 0.001176
1412210602.928082, 1412210602.929289, 0.001207
1412210602.926846, 1412210602.928074, 0.001228
1412210602.925617, 1412210602.926838, 0.001221
1412210602.924414, 1412210602.925608, 0.001194
1412210602.923158, 1412210602.924406, 0.001248
