iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412183746.347450, 1412183746.696244, 0.348794
1412183908.463976, 1412183908.551375, 0.087399
1412184075.364153, 1412184075.452505, 0.088352
1412184242.842385, 1412184242.930665, 0.088280
1412184411.633706, 1412184411.721205, 0.087499
1412184583.764601, 1412184583.852903, 0.088302
1412184752.465907, 1412184752.553835, 0.087928
1412184921.905979, 1412184921.994032, 0.088053
1412185094.267183, 1412185094.357205, 0.090022
1412185263.065747, 1412185263.157057, 0.091310
1412183746.837228, 1412183746.955884, 0.118656
1412183908.574428, 1412183908.663551, 0.089123
1412184075.902789, 1412184075.991492, 0.088703
1412184243.062920, 1412184243.150367, 0.087447
1412184412.233582, 1412184412.321260, 0.087678
1412184584.201034, 1412184584.300716, 0.099682
1412184752.649397, 1412184752.737877, 0.088480
1412184922.491515, 1412184922.578376, 0.086861
1412185094.712699, 1412185094.801378, 0.088679
1412185263.260340, 1412185263.348530, 0.088190
1412183746.974535, 1412183747.067211, 0.092676
1412183908.682276, 1412183908.774131, 0.091855
1412184076.010249, 1412184076.095448, 0.085199
1412184243.169338, 1412184243.367602, 0.198264
1412184412.340949, 1412184412.429944, 0.088995
1412184584.319385, 1412184584.409178, 0.089793
1412184752.757249, 1412184752.846002, 0.088753
1412184922.597408, 1412184922.686035, 0.088627
1412185094.821238, 1412185094.909263, 0.088025
1412185263.367691, 1412185263.456693, 0.089002
1412183747.088582, 1412183747.183441, 0.094859
1412183908.793063, 1412183908.879345, 0.086282
1412184076.114194, 1412184076.204204, 0.090010
1412184243.749271, 1412184243.838840, 0.089569
1412184412.448893, 1412184412.539138, 0.090245
1412184584.428150, 1412184584.517831, 0.089681
1412184752.866805, 1412184752.953989, 0.087184
1412184922.704850, 1412184922.793791, 0.088941
1412185094.928028, 1412185095.017995, 0.089967
1412185263.475862, 1412185263.564505, 0.088643
1412183747.201644, 1412183747.291948, 0.090304
1412183908.899053, 1412183908.987167, 0.088114
1412184076.223272, 1412184076.308274, 0.085002
1412184243.858072, 1412184243.947113, 0.089041
1412184412.558068, 1412184412.646234, 0.088166
1412184585.052311, 1412184585.141203, 0.088892
1412184752.973302, 1412184753.062445, 0.089143
1412184922.812779, 1412184922.902508, 0.089729
1412185095.036747, 1412185095.125253, 0.088506
1412185263.583959, 1412185263.673137, 0.089178
1412183747.311305, 1412183747.395395, 0.084090
1412183909.005660, 1412183909.092713, 0.087053
1412184076.327215, 1412184076.412086, 0.084871
1412184243.966496, 1412184244.055296, 0.088800
1412184412.666184, 1412184412.753946, 0.087762
1412184585.160128, 1412184585.249015, 0.088887
1412184753.081729, 1412184753.169913, 0.088184
1412184922.922029, 1412184923.010201, 0.088172
1412185095.144964, 1412185095.233233, 0.088269
1412185263.692132, 1412185263.780593, 0.088461
1412183747.414983, 1412183747.499048, 0.084065
1412183909.111507, 1412183909.199582, 0.088075
1412184076.431267, 1412184076.516357, 0.085090
1412184244.075330, 1412184244.163140, 0.087810
1412184412.779265, 1412184412.866289, 0.087024
1412184585.268417, 1412184585.356542, 0.088125
1412184753.191527, 1412184753.282090, 0.090563
1412184923.030439, 1412184923.118183, 0.087744
1412185095.252406, 1412185095.341429, 0.089023
1412185263.801480, 1412185263.888812, 0.087332
1412183747.517855, 1412183747.603195, 0.085340
1412183909.219825, 1412183909.307613, 0.087788
1412184076.538685, 1412184076.628911, 0.090226
1412184244.182486, 1412184244.271188, 0.088702
1412184412.885400, 1412184412.974284, 0.088884
1412184585.375623, 1412184585.469262, 0.093639
1412184753.301637, 1412184753.392053, 0.090416
1412184923.138370, 1412184923.226247, 0.087877
1412185095.360532, 1412185095.450868, 0.090336
1412185263.908399, 1412185263.998264, 0.089865
1412183747.625582, 1412183747.711625, 0.086043
1412183909.334505, 1412183909.419497, 0.084992
1412184076.653663, 1412184076.741247, 0.087584
1412184244.299733, 1412184244.387023, 0.087290
1412184412.994320, 1412184413.090054, 0.095734
1412184585.488803, 1412184585.577492, 0.088689
1412184753.411641, 1412184753.510295, 0.098654
1412184923.252257, 1412184923.338791, 0.086534
1412185095.472833, 1412185095.565267, 0.092434
1412185264.020238, 1412185264.112966, 0.092728
1412183747.731945, 1412183747.819672, 0.087727
1412183909.438337, 1412183909.523729, 0.085392
1412184076.760829, 1412184076.848597, 0.087768
1412184244.406553, 1412184244.495619, 0.089066
1412184413.109910, 1412184413.197790, 0.087880
1412184585.597207, 1412184585.686010, 0.088803
1412184753.529409, 1412184753.618145, 0.088736
1412184923.358601, 1412184923.446578, 0.087977
1412185095.585375, 1412185095.673276, 0.087901
1412185264.132337, 1412185264.220964, 0.088627
1412183747.839379, 1412183747.927028, 0.087649
1412183909.542786, 1412183909.631648, 0.088862
1412184076.867773, 1412184076.956411, 0.088638
1412184244.514936, 1412184244.602840, 0.087904
1412184413.217299, 1412184413.305171, 0.087872
1412184585.705071, 1412184585.792976, 0.087905
1412184753.637362, 1412184753.725452, 0.088090
1412184923.466235, 1412184923.554694, 0.088459
1412185095.692373, 1412185095.781244, 0.088871
1412185264.241583, 1412185264.329303, 0.087720
1412183747.947979, 1412183748.036243, 0.088264
