iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412193209.388141, 1412193209.761229, 0.373088
1412193209.817412, 1412193209.940698, 0.123286
1412193209.960040, 1412193210.053343, 0.093303
1412193210.075713, 1412193210.164264, 0.088551
1412193210.186066, 1412193210.272465, 0.086399
1412193210.291070, 1412193210.380572, 0.089502
1412193210.399733, 1412193210.484422, 0.084689
1412193210.508354, 1412193210.592502, 0.084148
1412193210.610907, 1412193210.696300, 0.085393
1412193210.715736, 1412193210.804357, 0.088621
1412193210.823759, 1412193210.908235, 0.084476
1412193210.927282, 1412193211.012539, 0.085257
1412193211.031782, 1412193211.116380, 0.084598
1412193211.136873, 1412193211.224348, 0.087475
1412193211.243984, 1412193211.332347, 0.088363
1412193211.352190, 1412193211.440790, 0.088600
1412193211.460097, 1412193211.544671, 0.084574
1412193211.565184, 1412193211.652425, 0.087241
1412193211.672127, 1412193211.760640, 0.088513
1412193211.780379, 1412193211.868348, 0.087969
1412193211.892554, 1412193211.980606, 0.088052
1412193212.000272, 1412193212.088644, 0.088372
1412193212.108653, 1412193212.192708, 0.084055
1412193212.212245, 1412193212.304901, 0.092656
1412193212.324567, 1412193212.408392, 0.083825
1412193212.431134, 1412193212.521320, 0.090186
1412193212.541479, 1412193212.628843, 0.087364
1412193212.648624, 1412193212.736506, 0.087882
1412193212.756815, 1412193212.844453, 0.087638
1412193212.864749, 1412193212.952405, 0.087656
1412193212.972729, 1412193213.060594, 0.087865
1412193213.080657, 1412193213.180333, 0.099676
1412193213.200614, 1412193213.284560, 0.083946
1412193213.304898, 1412193213.388784, 0.083886
1412193213.408652, 1412193213.500203, 0.091551
1412193213.527108, 1412193213.612614, 0.085506
1412193213.632696, 1412193213.716555, 0.083859
1412193213.736981, 1412193213.820595, 0.083614
1412193213.841208, 1412193213.928511, 0.087303
1412193213.949808, 1412193214.036756, 0.086948
1412193214.057907, 1412193214.144407, 0.086500
1412193214.165845, 1412193214.252607, 0.086762
1412193214.272929, 1412193214.356477, 0.083548
1412193214.377673, 1412193214.464654, 0.086981
1412193214.485986, 1412193214.576503, 0.090517
1412193214.599745, 1412193214.688460, 0.088715
1412193214.708914, 1412193214.792677, 0.083763
1412193214.813691, 1412193214.896652, 0.082961
1412193214.917879, 1412193215.004559, 0.086680
1412193215.025981, 1412193215.112734, 0.086753
1412193215.134034, 1412193215.220504, 0.086470
1412193215.241854, 1412193215.328451, 0.086597
1412193215.350370, 1412193215.436646, 0.086276
1412193215.457764, 1412193215.544598, 0.086834
1412193215.565470, 1412193215.652543, 0.087073
1412193215.676373, 1412193215.764475, 0.088102
