iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412183746.696250, 1412183746.837205, 0.140955
1412183908.551382, 1412183908.574406, 0.023024
1412184075.452513, 1412184075.902767, 0.450254
1412184242.930671, 1412184243.062900, 0.132229
1412184411.721211, 1412184412.233560, 0.512349
1412184583.852910, 1412184584.201013, 0.348103
1412184752.553842, 1412184752.649377, 0.095535
1412184921.994038, 1412184922.491494, 0.497456
1412185094.357212, 1412185094.712679, 0.355467
1412185263.157064, 1412185263.260318, 0.103254
1412183746.955891, 1412183746.974515, 0.018624
1412183908.663558, 1412183908.682256, 0.018698
1412184075.991498, 1412184076.010229, 0.018731
1412184243.150374, 1412184243.169317, 0.018943
1412184412.321267, 1412184412.340929, 0.019662
1412184584.300723, 1412184584.319366, 0.018643
1412184752.737886, 1412184752.757228, 0.019342
1412184922.578382, 1412184922.597386, 0.019004
1412185094.801385, 1412185094.821217, 0.019832
1412185263.348537, 1412185263.367671, 0.019134
1412183747.067217, 1412183747.088561, 0.021344
1412183908.774138, 1412183908.793032, 0.018894
1412184076.095454, 1412184076.114158, 0.018704
1412184243.367609, 1412184243.749250, 0.381641
1412184412.429950, 1412184412.448874, 0.018924
1412184584.409184, 1412184584.428128, 0.018944
1412184752.846008, 1412184752.866776, 0.020768
1412184922.686042, 1412184922.704830, 0.018788
1412185094.909269, 1412185094.928007, 0.018738
1412185263.456700, 1412185263.475841, 0.019141
1412183747.183447, 1412183747.201625, 0.018178
1412183908.879351, 1412183908.899032, 0.019681
1412184076.204210, 1412184076.223251, 0.019041
1412184243.838846, 1412184243.858051, 0.019205
1412184412.539144, 1412184412.558047, 0.018903
1412184584.517838, 1412184585.052290, 0.534452
1412184752.953995, 1412184752.973282, 0.019287
1412184922.793797, 1412184922.812760, 0.018963
1412185095.018002, 1412185095.036728, 0.018726
1412185263.564514, 1412185263.583939, 0.019425
1412183747.291954, 1412183747.311285, 0.019331
1412183908.987173, 1412183909.005640, 0.018467
1412184076.308282, 1412184076.327194, 0.018912
1412184243.947121, 1412184243.966475, 0.019354
1412184412.646240, 1412184412.666164, 0.019924
1412184585.141209, 1412184585.160076, 0.018867
1412184753.062452, 1412184753.081709, 0.019257
1412184922.902514, 1412184922.922008, 0.019494
1412185095.125259, 1412185095.144936, 0.019677
1412185263.673144, 1412185263.692112, 0.018968
1412183747.395401, 1412183747.414962, 0.019561
1412183909.092719, 1412183909.111487, 0.018768
1412184076.412122, 1412184076.431247, 0.019125
1412184244.055302, 1412184244.075308, 0.020006
1412184412.753953, 1412184412.779245, 0.025292
1412184585.249021, 1412184585.268398, 0.019377
1412184753.169919, 1412184753.191507, 0.021588
1412184923.010208, 1412184923.030409, 0.020201
1412185095.233240, 1412185095.252384, 0.019144
1412185263.780600, 1412185263.801459, 0.020859
1412183747.499054, 1412183747.517835, 0.018781
1412183909.199588, 1412183909.219805, 0.020217
1412184076.516362, 1412184076.538665, 0.022303
1412184244.163147, 1412184244.182465, 0.019318
1412184412.866296, 1412184412.885380, 0.019084
1412184585.356548, 1412184585.375603, 0.019055
1412184753.282098, 1412184753.301616, 0.019518
1412184923.118189, 1412184923.138349, 0.020160
1412185095.341435, 1412185095.360512, 0.019077
1412185263.888818, 1412185263.908380, 0.019562
1412183747.603202, 1412183747.625562, 0.022360
1412183909.307622, 1412183909.334485, 0.026863
1412184076.628921, 1412184076.653643, 0.024722
1412184244.271194, 1412184244.299714, 0.028520
1412184412.974290, 1412184412.994300, 0.020010
1412184585.469268, 1412184585.488784, 0.019516
1412184753.392059, 1412184753.411620, 0.019561
1412184923.226256, 1412184923.252236, 0.025980
1412185095.450875, 1412185095.472799, 0.021924
1412185263.998271, 1412185264.020202, 0.021931
1412183747.711632, 1412183747.731925, 0.020293
1412183909.419503, 1412183909.438317, 0.018814
1412184076.741254, 1412184076.760809, 0.019555
1412184244.387032, 1412184244.406532, 0.019500
1412184413.090060, 1412184413.109889, 0.019829
1412184585.577498, 1412184585.597187, 0.019689
1412184753.510302, 1412184753.529390, 0.019088
1412184923.338798, 1412184923.358580, 0.019782
1412185095.565276, 1412185095.585356, 0.020080
1412185264.112973, 1412185264.132306, 0.019333
1412183747.819681, 1412183747.839358, 0.019677
1412183909.523736, 1412183909.542765, 0.019029
1412184076.848604, 1412184076.867752, 0.019148
1412184244.495625, 1412184244.514917, 0.019292
1412184413.197797, 1412184413.217277, 0.019480
1412184585.686016, 1412184585.705049, 0.019033
1412184753.618151, 1412184753.637342, 0.019191
1412184923.446584, 1412184923.466216, 0.019632
1412185095.673282, 1412185095.692352, 0.019070
1412185264.220971, 1412185264.241561, 0.020590
1412183747.927035, 1412183747.947960, 0.020925
1412183909.631655, 1412183909.652039, 0.020384
1412184076.956417, 1412184076.975725, 0.019308
1412184244.602846, 1412184244.622225, 0.019379
1412184413.305178, 1412184413.324252, 0.019074
1412184585.792982, 1412184585.812795, 0.019813
1412184753.725458, 1412184753.746265, 0.020807
1412184923.554701, 1412184923.574310, 0.019609
1412185095.781251, 1412185095.800280, 0.019029
1412185264.329311, 1412185264.348492, 0.019181
1412183748.036249, 1412183748.055079, 0.018830
1412183909.740127, 1412183909.759720, 0.019593
1412184077.064620, 1412184077.084864, 0.020244
1412184244.711141, 1412184244.730718, 0.019577
1412184413.410162, 1412184413.430275, 0.020113
1412184585.901198, 1412184585.920912, 0.019714
1412184753.834190, 1412184753.854050, 0.019860
1412184923.663292, 1412184923.683360, 0.020068
1412185095.996977, 1412185096.202405, 0.205428
1412185264.438920, 1412185264.458904, 0.019984
1412183748.139261, 1412183748.158331, 0.019070
1412183909.847865, 1412183909.867534, 0.019669
1412184077.172875, 1412184077.192667, 0.019792
1412184244.819018, 1412184244.838408, 0.019390
1412184413.518039, 1412184413.537473, 0.019434
1412184586.009210, 1412184586.028493, 0.019283
1412184753.943035, 1412184753.962537, 0.019502
1412184923.770250, 1412184923.790479, 0.020229
1412185096.289332, 1412185096.308994, 0.019662
1412185264.548899, 1412185264.568448, 0.019549
1412183748.242622, 1412183748.261688, 0.019066
1412183909.955760, 1412183909.975837, 0.020077
1412184077.280586, 1412184077.300558, 0.019972
1412184244.926994, 1412184244.946884, 0.019890
1412184413.626268, 1412184413.645940, 0.019672
1412184586.117166, 1412184586.136736, 0.019570
1412184754.050368, 1412184754.070821, 0.020453
1412184923.878225, 1412184923.897830, 0.019605
1412185096.397418, 1412185096.418072, 0.020654
1412185264.656825, 1412185264.677288, 0.020463
1412183748.347064, 1412183748.366682, 0.019618
1412183910.063962, 1412183910.083079, 0.019117
1412184077.388221, 1412184077.407781, 0.019560
1412184245.035208, 1412184245.055571, 0.020363
1412184413.733884, 1412184413.754250, 0.020366
1412184586.225691, 1412184586.245744, 0.020053
1412184754.162344, 1412184754.183021, 0.020677
1412184923.986125, 1412184924.005886, 0.019761
1412185096.505590, 1412185096.525409, 0.019819
1412185264.765142, 1412185264.785498, 0.020356
1412183748.451228, 1412183748.475489, 0.024261
1412183910.172963, 1412183910.193135, 0.020172
1412184077.495725, 1412184077.515324, 0.019599
1412184245.143493, 1412184245.163564, 0.020071
1412184413.841738, 1412184413.862793, 0.021055
1412184586.333056, 1412184586.353481, 0.020425
1412184754.270261, 1412184754.291619, 0.021358
1412184924.094096, 1412184924.114429, 0.020333
1412185096.613688, 1412185096.633382, 0.019694
1412185264.872973, 1412185264.893439, 0.020466
1412183748.563177, 1412183748.582583, 0.019406
1412183910.279677, 1412183910.300453, 0.020776
1412184077.714919, 1412184078.249101, 0.534182
1412184245.250867, 1412184245.270788, 0.019921
1412184413.949945, 1412184413.969907, 0.019962
1412184586.440758, 1412184586.461058, 0.020300
1412184754.383360, 1412184754.403904, 0.020544
1412184924.202202, 1412184924.222542, 0.020340
1412185096.721250, 1412185096.741494, 0.020244
1412185264.980702, 1412185265.003273, 0.022571
1412183748.667172, 1412183748.686791, 0.019619
1412183910.387830, 1412183910.410330, 0.022500
1412184078.337624, 1412184078.360993, 0.023369
1412184245.358778, 1412184245.386229, 0.027451
1412184414.058892, 1412184414.199183, 0.140291
1412184586.548728, 1412184586.573030, 0.024302
1412184754.494504, 1412184754.514189, 0.019685
1412184924.314043, 1412184924.334501, 0.020458
1412185096.829687, 1412185096.850371, 0.020684
1412185265.089138, 1412185265.109268, 0.020130
1412183748.771055, 1412183748.790979, 0.019924
1412183910.500059, 1412183910.519738, 0.019679
1412184078.452570, 1412184078.472339, 0.019769
1412184245.475058, 1412184245.494971, 0.019913
1412184414.299486, 1412184414.319298, 0.019812
1412184586.660915, 1412184586.681375, 0.020460
1412184754.609950, 1412184754.630942, 0.020992
1412184924.430252, 1412184924.450725, 0.020473
1412185096.941502, 1412185096.961463, 0.019961
1412185265.205657, 1412185265.225795, 0.020138
1412183748.874975, 1412183748.894192, 0.019217
1412183910.608269, 1412183910.627668, 0.019399
1412184078.561051, 1412184078.581012, 0.019961
1412184245.583312, 1412184245.603164, 0.019852
1412184414.405792, 1412184414.426735, 0.020943
1412184586.768885, 1412184586.788606, 0.019721
1412184754.721670, 1412184754.741843, 0.020173
1412184924.537956, 1412184924.558410, 0.020454
1412185097.049762, 1412185097.070202, 0.020440
1412185265.313118, 1412185265.333162, 0.020044
1412183748.982965, 1412183749.002503, 0.019538
1412183910.716709, 1412183910.737399, 0.020690
1412184078.669006, 1412184078.689520, 0.020514
1412184245.691172, 1412184245.711225, 0.020053
1412184414.518358, 1412184414.545920, 0.027562
1412184586.877319, 1412184586.897358, 0.020039
1412184754.830111, 1412184754.850333, 0.020222
1412184924.646254, 1412184924.667234, 0.020980
1412185097.158086, 1412185097.178520, 0.020434
1412185265.421400, 1412185265.442355, 0.020955
1412183749.087589, 1412183749.107300, 0.019711
1412183910.824506, 1412183910.844632, 0.020126
1412184078.777020, 1412184078.797194, 0.020174
1412184245.803236, 1412184245.824017, 0.020781
1412184414.651043, 1412184414.674272, 0.023229
1412184586.984555, 1412184587.004829, 0.020274
1412184754.938065, 1412184754.958699, 0.020634
1412184924.754716, 1412184924.774849, 0.020133
1412185097.266136, 1412185097.285961, 0.019825
1412185265.529044, 1412185265.548796, 0.019752
1412183749.199181, 1412183749.219925, 0.020744
1412183910.933204, 1412183910.953068, 0.019864
1412184078.884638, 1412184078.904644, 0.020006
1412184245.910953, 1412184245.931522, 0.020569
1412184414.774644, 1412184414.799670, 0.025026
1412184587.093114, 1412184587.113068, 0.019954
1412184755.138273, 1412184755.415306, 0.277033
1412184924.862517, 1412184924.882832, 0.020315
1412185097.373081, 1412185097.394022, 0.020941
1412185265.637287, 1412185265.657580, 0.020293
1412183749.303093, 1412183749.323382, 0.020289
1412183911.040307, 1412183911.061121, 0.020814
1412184078.992642, 1412184079.012674, 0.020032
1412184246.018401, 1412184246.038866, 0.020465
1412184414.901405, 1412184414.929213, 0.027808
1412184587.201232, 1412184587.221353, 0.020121
1412184755.502864, 1412184755.522932, 0.020068
1412184924.970089, 1412184924.990376, 0.020287
1412185097.481169, 1412185097.501216, 0.020047
1412185265.745424, 1412185265.767252, 0.021828
1412183749.410496, 1412183749.430968, 0.020472
1412183911.148340, 1412183911.168262, 0.019922
1412184079.100853, 1412184079.120887, 0.020034
1412184246.127076, 1412184246.147277, 0.020201
1412184415.030305, 1412184415.055628, 0.025323
1412184587.309045, 1412184587.328961, 0.019916
1412184755.610348, 1412184755.631860, 0.021512
1412184925.078312, 1412184925.098576, 0.020264
1412185097.589509, 1412185097.610252, 0.020743
1412185265.857184, 1412185265.878400, 0.021216
1412183749.515051, 1412183749.534822, 0.019771
1412183911.256992, 1412183911.276969, 0.019977
1412184079.208741, 1412184079.229497, 0.020756
1412184246.235238, 1412184246.255567, 0.020329
1412184415.154288, 1412184415.179588, 0.025300
1412184587.416456, 1412184587.436719, 0.020263
1412184755.721790, 1412184755.742092, 0.020302
1412184925.190040, 1412184925.210062, 0.020022
1412185097.701136, 1412185097.722952, 0.021816
1412185265.969153, 1412185265.989121, 0.019968
1412183749.618864, 1412183749.639862, 0.020998
1412183911.364177, 1412183911.384657, 0.020480
1412184079.317208, 1412184079.338853, 0.021645
1412184246.342967, 1412184246.363297, 0.020330
1412184415.278297, 1412184415.309582, 0.031285
1412184587.524434, 1412184587.544438, 0.020004
1412184755.830022, 1412184755.850743, 0.020721
1412184925.298270, 1412184925.318834, 0.020564
1412185097.809140, 1412185097.831198, 0.022058
1412185266.078569, 1412185266.099860, 0.021291
1412183749.726824, 1412183749.751788, 0.024964
1412183911.472463, 1412183911.495461, 0.022998
1412184079.428456, 1412184079.454580, 0.026124
1412184246.451112, 1412184246.474178, 0.023066
1412184415.410002, 1412184415.438739, 0.028737
1412184587.632914, 1412184587.655839, 0.022925
1412184755.938230, 1412184755.958595, 0.020365
1412184925.537703, 1412184925.559038, 0.021335
1412185097.918057, 1412185097.938167, 0.020110
1412185266.189802, 1412185266.210944, 0.021142
1412183749.839174, 1412183749.859327, 0.020153
1412183911.583746, 1412183911.603867, 0.020121
1412184079.545189, 1412184079.566329, 0.021140
1412184246.562934, 1412184246.583438, 0.020504
1412184415.549570, 1412184415.574141, 0.024571
1412184587.744824, 1412184587.764870, 0.020046
1412184756.054809, 1412184756.075296, 0.020487
1412184925.654120, 1412184925.674382, 0.020262
1412185098.033299, 1412185098.053597, 0.020298
1412185266.305281, 1412185266.326093, 0.020812
1412183749.951532, 1412183749.973884, 0.022352
1412183911.693056, 1412183911.713084, 0.020028
1412184079.657261, 1412184079.677778, 0.020517
1412184246.670871, 1412184246.691415, 0.020544
1412184415.670621, 1412184415.702233, 0.031612
1412184587.853029, 1412184587.873865, 0.020836
1412184756.161872, 1412184756.182903, 0.021031
1412184925.762321, 1412184925.782907, 0.020586
1412185098.141755, 1412185098.162832, 0.021077
1412185266.413225, 1412185266.434020, 0.020795
1412183750.063136, 1412183750.083100, 0.019964
1412183911.800794, 1412183911.821771, 0.020977
1412184079.765171, 1412184079.785920, 0.020749
1412184246.779095, 1412184246.800016, 0.020921
1412184415.802323, 1412184415.828459, 0.026136
1412184587.965325, 1412184587.986639, 0.021314
1412184756.270432, 1412184756.292619, 0.022187
1412184925.870036, 1412184925.890651, 0.020615
1412185098.249483, 1412185098.270391, 0.020908
1412185266.521927, 1412185266.542229, 0.020302
1412183750.167316, 1412183750.188137, 0.020821
1412183911.924439, 1412183912.082132, 0.157693
1412184079.872799, 1412184079.893586, 0.020787
1412184246.887291, 1412184246.908190, 0.020899
1412184415.930562, 1412184415.955222, 0.024660
1412184588.072642, 1412184588.093023, 0.020381
1412184756.383091, 1412184756.404719, 0.021628
1412184925.978254, 1412184925.998997, 0.020743
1412185098.357698, 1412185098.378536, 0.020838
1412185266.643443, 1412185266.979063, 0.335620
1412183750.275300, 1412183750.295445, 0.020145
1412183912.168345, 1412183912.188434, 0.020089
1412184079.985249, 1412184080.006634, 0.021385
1412184246.995068, 1412184247.015616, 0.020548
1412184416.058223, 1412184416.084283, 0.026060
1412184588.182154, 1412184588.202472, 0.020318
1412184756.494270, 1412184756.515724, 0.021454
1412184926.085757, 1412184926.106334, 0.020577
1412185098.465446, 1412185098.486283, 0.020837
1412185267.065859, 1412185267.087680, 0.021821
1412183750.378315, 1412183750.398657, 0.020342
1412183912.276521, 1412183912.298937, 0.022416
1412184080.097477, 1412184080.119121, 0.021644
1412184247.102966, 1412184247.123888, 0.020922
1412184416.181967, 1412184416.211629, 0.029662
1412184588.289106, 1412184588.309537, 0.020431
1412184756.606270, 1412184756.629087, 0.022817
1412184926.194226, 1412184926.214691, 0.020465
1412185098.577448, 1412185098.598045, 0.020597
1412185267.177510, 1412185267.198604, 0.021094
1412183750.482933, 1412183750.503570, 0.020637
1412183912.388479, 1412183912.409340, 0.020861
1412184080.205182, 1412184080.226262, 0.021080
1412184247.211256, 1412184247.232307, 0.021051
1412184416.314186, 1412184416.341897, 0.027711
1412184588.397111, 1412184588.417726, 0.020615
1412184756.718315, 1412184756.739481, 0.021166
1412184926.302167, 1412184926.323104, 0.020937
1412185098.685109, 1412185098.705450, 0.020341
1412185267.285013, 1412185267.306637, 0.021624
1412183750.590891, 1412183750.611931, 0.021040
1412183912.496899, 1412183912.517625, 0.020726
1412184080.317118, 1412184080.339169, 0.022051
1412184247.319141, 1412184247.340259, 0.021118
