iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412193209.761236, 1412193209.817390, 0.056154
1412193209.940705, 1412193209.960020, 0.019315
1412193210.053349, 1412193210.075693, 0.022344
1412193210.164271, 1412193210.186047, 0.021776
1412193210.272472, 1412193210.291050, 0.018578
1412193210.380578, 1412193210.399712, 0.019134
1412193210.484428, 1412193210.508334, 0.023906
1412193210.592509, 1412193210.610887, 0.018378
1412193210.696307, 1412193210.715714, 0.019407
1412193210.804363, 1412193210.823738, 0.019375
1412193210.908241, 1412193210.927257, 0.019016
1412193211.012545, 1412193211.031761, 0.019216
1412193211.116386, 1412193211.136853, 0.020467
1412193211.224355, 1412193211.243964, 0.019609
1412193211.332353, 1412193211.352169, 0.019816
1412193211.440796, 1412193211.460077, 0.019281
1412193211.544678, 1412193211.565163, 0.020485
1412193211.652431, 1412193211.672106, 0.019675
1412193211.760646, 1412193211.780359, 0.019713
1412193211.868355, 1412193211.892533, 0.024178
1412193211.980613, 1412193212.000251, 0.019638
1412193212.088653, 1412193212.108632, 0.019979
1412193212.192714, 1412193212.212224, 0.019510
1412193212.304909, 1412193212.324545, 0.019636
1412193212.408398, 1412193212.431102, 0.022704
1412193212.521327, 1412193212.541459, 0.020132
1412193212.628850, 1412193212.648604, 0.019754
1412193212.736514, 1412193212.756795, 0.020281
1412193212.844459, 1412193212.864729, 0.020270
1412193212.952412, 1412193212.972708, 0.020296
1412193213.060600, 1412193213.080637, 0.020037
1412193213.180340, 1412193213.200594, 0.020254
1412193213.284566, 1412193213.304878, 0.020312
1412193213.388791, 1412193213.408632, 0.019841
1412193213.500210, 1412193213.527088, 0.026878
1412193213.612620, 1412193213.632675, 0.020055
1412193213.716562, 1412193213.736961, 0.020399
1412193213.820603, 1412193213.841187, 0.020584
1412193213.928518, 1412193213.949787, 0.021269
1412193214.036762, 1412193214.057886, 0.021124
1412193214.144414, 1412193214.165823, 0.021409
1412193214.252614, 1412193214.272909, 0.020295
1412193214.356484, 1412193214.377652, 0.021168
