iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412183908.446978, 1412183908.463776, 0.016798
1412184075.346598, 1412184075.364018, 0.017420
1412184242.825824, 1412184242.842256, 0.016432
1412184411.618040, 1412184411.633598, 0.015558
1412184583.747381, 1412184583.764497, 0.017116
1412184752.448273, 1412184752.465695, 0.017422
1412184921.889094, 1412184921.905865, 0.016771
1412185094.250042, 1412185094.266983, 0.016941
1412185263.049413, 1412185263.065636, 0.016223
1412185431.918933, 1412185431.935409, 0.016476
1412183908.430295, 1412183908.446969, 0.016674
1412184075.329544, 1412184075.346586, 0.017042
1412184242.809828, 1412184242.825815, 0.015987
1412184411.600798, 1412184411.618031, 0.017233
1412184583.730953, 1412184583.747373, 0.016420
1412184752.431219, 1412184752.448264, 0.017045
1412184921.872496, 1412184921.889086, 0.016590
1412185094.232764, 1412185094.250033, 0.017269
1412185263.033128, 1412185263.049405, 0.016277
1412185431.903125, 1412185431.918924, 0.015799
1412183908.413512, 1412183908.430286, 0.016774
1412184075.312615, 1412184075.329535, 0.016920
1412184242.793373, 1412184242.809819, 0.016446
1412184411.584866, 1412184411.600789, 0.015923
1412184583.713897, 1412184583.730945, 0.017048
1412184752.414226, 1412184752.431211, 0.016985
1412184921.855983, 1412184921.872487, 0.016504
1412185094.216285, 1412185094.232756, 0.016471
1412185263.016415, 1412185263.033119, 0.016704
1412185431.886950, 1412185431.903116, 0.016166
1412183908.396556, 1412183908.413504, 0.016948
1412184075.295820, 1412184075.312606, 0.016786
1412184242.776613, 1412184242.793365, 0.016752
1412184411.568063, 1412184411.584857, 0.016794
1412184583.696511, 1412184583.713889, 0.017378
1412184752.397250, 1412184752.414217, 0.016967
1412184921.839194, 1412184921.855972, 0.016778
1412185094.198801, 1412185094.216276, 0.017475
1412185262.999928, 1412185263.016407, 0.016479
1412185431.871234, 1412185431.886942, 0.015708
1412183908.379496, 1412183908.396547, 0.017051
1412184075.279623, 1412184075.295812, 0.016189
1412184242.759548, 1412184242.776604, 0.017056
1412184411.551794, 1412184411.568053, 0.016259
1412184583.679445, 1412184583.696502, 0.017057
1412184752.380713, 1412184752.397242, 0.016529
1412184921.822717, 1412184921.839182, 0.016465
1412185094.181527, 1412185094.198792, 0.017265
1412185262.982141, 1412185262.999894, 0.017753
1412185431.854664, 1412185431.871225, 0.016561
1412183908.363245, 1412183908.379488, 0.016243
1412184075.262347, 1412184075.279614, 0.017267
1412184242.742317, 1412184242.759539, 0.017222
1412184411.535274, 1412184411.551785, 0.016511
1412184583.661269, 1412184583.679437, 0.018168
1412184752.363578, 1412184752.380705, 0.017127
1412184921.805673, 1412184921.822705, 0.017032
1412185094.165316, 1412185094.181517, 0.016201
1412185262.965917, 1412185262.982131, 0.016214
1412185431.838438, 1412185431.854656, 0.016218
1412183908.346328, 1412183908.363236, 0.016908
1412184075.245400, 1412184075.262338, 0.016938
1412184242.725305, 1412184242.742308, 0.017003
1412184411.518026, 1412184411.535265, 0.017239
1412184583.643916, 1412184583.661260, 0.017344
1412184752.346738, 1412184752.363569, 0.016831
1412184921.788742, 1412184921.805652, 0.016910
1412185094.147783, 1412185094.165307, 0.017524
1412185262.949200, 1412185262.965909, 0.016709
1412185431.822405, 1412185431.838430, 0.016025
1412183908.274905, 1412183908.346319, 0.071414
1412184075.228918, 1412184075.245391, 0.016473
1412184242.708822, 1412184242.725297, 0.016475
1412184411.501665, 1412184411.518018, 0.016353
1412184583.627254, 1412184583.643907, 0.016653
1412184752.329122, 1412184752.346730, 0.017608
1412184921.772180, 1412184921.788730, 0.016550
1412185094.131029, 1412185094.147774, 0.016745
1412185262.932683, 1412185262.949192, 0.016509
1412185431.806221, 1412185431.822396, 0.016175
1412183908.257955, 1412183908.274885, 0.016930
1412184075.211753, 1412184075.228910, 0.017157
1412184242.691087, 1412184242.708813, 0.017726
1412184411.478332, 1412184411.501657, 0.023325
1412184583.609711, 1412184583.627245, 0.017534
1412184752.305546, 1412184752.329114, 0.023568
1412184921.755495, 1412184921.772171, 0.016676
1412185094.104337, 1412185094.131020, 0.026683
1412185262.905890, 1412185262.932674, 0.026784
1412185431.781805, 1412185431.806213, 0.024408
1412183908.231095, 1412183908.257946, 0.026851
1412184075.189378, 1412184075.211744, 0.022366
1412184242.665542, 1412184242.691079, 0.025537
1412184411.461863, 1412184411.478323, 0.016460
1412184583.591508, 1412184583.609703, 0.018195
1412184752.287483, 1412184752.305538, 0.018055
1412184921.733002, 1412184921.755486, 0.022484
