iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412198654.791185, 1412198654.809397, 0.018212
1412198654.774664, 1412198654.791177, 0.016513
1412198654.756725, 1412198654.774656, 0.017931
1412198654.739193, 1412198654.756715, 0.017522
1412198654.721960, 1412198654.739184, 0.017224
1412198654.702968, 1412198654.721952, 0.018984
1412198654.685979, 1412198654.702960, 0.016981
1412198654.668257, 1412198654.685971, 0.017714
1412198654.649312, 1412198654.668249, 0.018937
1412198654.630812, 1412198654.649303, 0.018491
1412198654.613496, 1412198654.630804, 0.017308
1412198654.595010, 1412198654.613487, 0.018477
1412198654.577816, 1412198654.595002, 0.017186
1412198654.558278, 1412198654.577808, 0.019530
1412198654.540318, 1412198654.558270, 0.017952
1412198654.523101, 1412198654.540310, 0.017209
1412198654.505815, 1412198654.523093, 0.017278
1412198654.488881, 1412198654.505807, 0.016926
1412198654.470824, 1412198654.488872, 0.018048
1412198654.453600, 1412198654.470815, 0.017215
1412198654.434101, 1412198654.453591, 0.019490
1412198654.416785, 1412198654.434093, 0.017308
1412198654.393651, 1412198654.416777, 0.023126
1412198654.376512, 1412198654.393643, 0.017131
1412198654.357683, 1412198654.376503, 0.018820
1412198654.340230, 1412198654.357675, 0.017445
1412198654.323456, 1412198654.340222, 0.016766
1412198654.305958, 1412198654.323448, 0.017490
1412198654.288268, 1412198654.305950, 0.017682
1412198654.270034, 1412198654.288260, 0.018226
1412198654.253007, 1412198654.270025, 0.017018
1412198654.235258, 1412198654.252999, 0.017741
1412198654.218258, 1412198654.235251, 0.016993
1412198654.200878, 1412198654.218250, 0.017372
1412198654.183258, 1412198654.200870, 0.017612
1412198654.166549, 1412198654.183249, 0.016700
1412198654.148953, 1412198654.166540, 0.017587
1412198654.131366, 1412198654.148944, 0.017578
1412198654.113099, 1412198654.131353, 0.018254
1412198654.095741, 1412198654.113091, 0.017350
1412198654.077203, 1412198654.095733, 0.018530
1412198654.059800, 1412198654.077195, 0.017395
1412198654.042913, 1412198654.059793, 0.016880
1412198654.025161, 1412198654.042905, 0.017744
1412198654.007993, 1412198654.025154, 0.017161
1412198653.990066, 1412198654.007985, 0.017919
1412198653.972641, 1412198653.990057, 0.017416
1412198653.952441, 1412198653.972633, 0.020192
1412198653.934180, 1412198653.952433, 0.018253
1412198653.915948, 1412198653.934172, 0.018224
1412198653.898753, 1412198653.915939, 0.017186
1412198653.881289, 1412198653.898744, 0.017455
1412198653.863211, 1412198653.881278, 0.018067
1412198653.845957, 1412198653.863202, 0.017245
1412198653.828319, 1412198653.845949, 0.017630
1412198653.810730, 1412198653.828306, 0.017576
1412198653.792357, 1412198653.810722, 0.018365
1412198653.774520, 1412198653.792348, 0.017828
1412198653.756834, 1412198653.774511, 0.017677
1412198653.739549, 1412198653.756825, 0.017276
1412198653.722541, 1412198653.739541, 0.017000
1412198653.704984, 1412198653.722533, 0.017549
1412198653.680370, 1412198653.704971, 0.024601
1412198653.661422, 1412198653.680361, 0.018939
1412198653.644414, 1412198653.661414, 0.017000
1412198653.627388, 1412198653.644403, 0.017015
1412198653.609404, 1412198653.627380, 0.017976
1412198653.590444, 1412198653.609395, 0.018951
1412198653.571403, 1412198653.590436, 0.019033
1412198653.553708, 1412198653.571394, 0.017686
1412198653.536276, 1412198653.553699, 0.017423
1412198653.518443, 1412198653.536265, 0.017822
1412198653.501225, 1412198653.518435, 0.017210
1412198653.484054, 1412198653.501216, 0.017162
1412198653.466473, 1412198653.484045, 0.017572
1412198653.449336, 1412198653.466465, 0.017129
1412198653.431020, 1412198653.449327, 0.018307
1412198653.413350, 1412198653.431011, 0.017661
1412198653.394091, 1412198653.413342, 0.019251
1412198653.376661, 1412198653.394080, 0.017419
1412198653.359337, 1412198653.376653, 0.017316
1412198653.342365, 1412198653.359328, 0.016963
1412198653.324724, 1412198653.342356, 0.017632
1412198653.307442, 1412198653.324715, 0.017273
1412198653.290383, 1412198653.307433, 0.017050
1412198653.272554, 1412198653.290374, 0.017820
1412198653.255603, 1412198653.272545, 0.016942
1412198653.237856, 1412198653.255594, 0.017738
1412198653.220718, 1412198653.237847, 0.017129
1412198653.203622, 1412198653.220709, 0.017087
1412198653.186419, 1412198653.203613, 0.017194
1412198653.169467, 1412198653.186410, 0.016943
1412198653.151509, 1412198653.169459, 0.017950
1412198653.134678, 1412198653.151501, 0.016823
1412198653.116994, 1412198653.134670, 0.017676
1412198653.100275, 1412198653.116986, 0.016711
1412198653.083741, 1412198653.100266, 0.016525
1412198653.067441, 1412198653.083732, 0.016291
1412198653.050589, 1412198653.067433, 0.016844
1412198653.032280, 1412198653.050581, 0.018301
1412198653.015513, 1412198653.032271, 0.016758
