iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412185436.462845, 1412185436.503018, 0.040173
1412185532.147171, 1412185532.166582, 0.019411
1412185633.309361, 1412185633.329864, 0.020503
1412185736.279986, 1412185736.301869, 0.021883
1412185841.396560, 1412185841.417602, 0.021042
1412185946.665083, 1412185946.686463, 0.021380
1412186052.984267, 1412186053.005755, 0.021488
1412186157.561809, 1412186157.586380, 0.024571
1412186263.842561, 1412186263.863198, 0.020637
1412186369.166558, 1412186369.188473, 0.021915
1412185436.520397, 1412185436.550028, 0.029631
1412185532.240466, 1412185532.260324, 0.019858
1412185633.691488, 1412185633.716319, 0.024831
1412185736.833166, 1412185736.861452, 0.028286
1412185841.705118, 1412185841.725288, 0.020170
1412185947.217344, 1412185947.238166, 0.020822
1412186053.290831, 1412186053.316637, 0.025806
1412186158.116538, 1412186158.141700, 0.025162
1412186264.163914, 1412186264.184492, 0.020578
1412186369.709952, 1412186369.730019, 0.020067
1412185436.567294, 1412185436.587731, 0.020437
1412185532.277936, 1412185532.297310, 0.019374
1412185633.734918, 1412185633.755487, 0.020569
1412185736.879788, 1412185736.900263, 0.020475
1412185841.742984, 1412185841.763358, 0.020374
1412185947.256964, 1412185947.277420, 0.020456
1412186053.334616, 1412186053.355639, 0.021023
1412186158.159572, 1412186158.179704, 0.020132
1412186264.202577, 1412186264.223415, 0.020838
1412186369.747318, 1412186369.771025, 0.023707
1412185436.605286, 1412185436.624992, 0.019706
1412185532.315374, 1412185532.335294, 0.019920
1412185633.774078, 1412185633.795338, 0.021260
1412185736.918256, 1412185736.938459, 0.020203
1412185841.781495, 1412185841.801853, 0.020358
1412185947.296828, 1412185947.317631, 0.020803
1412186053.373703, 1412186053.395202, 0.021499
1412186158.197806, 1412186158.217645, 0.019839
1412186264.241710, 1412186264.262252, 0.020542
1412186369.789074, 1412186369.808771, 0.019697
1412185436.642832, 1412185436.663120, 0.020288
1412185532.353164, 1412185532.372539, 0.019375
1412185633.813836, 1412185633.834018, 0.020182
1412185736.956829, 1412185736.976702, 0.019873
1412185841.820490, 1412185841.841218, 0.020728
1412185947.336512, 1412185947.356889, 0.020377
1412186053.415373, 1412186053.435627, 0.020254
1412186158.236003, 1412186158.257156, 0.021153
1412186264.280325, 1412186264.300454, 0.020129
1412186369.826764, 1412186369.846453, 0.019689
1412185436.681542, 1412185436.703991, 0.022449
1412185532.390665, 1412185532.410008, 0.019343
1412185633.852073, 1412185633.871969, 0.019896
1412185736.994745, 1412185737.014400, 0.019655
1412185841.859448, 1412185841.879653, 0.020205
1412185947.375771, 1412185947.395380, 0.019609
1412186053.454307, 1412186053.473999, 0.019692
1412186158.275824, 1412186158.295647, 0.019823
1412186264.318565, 1412186264.338135, 0.019570
1412186369.864885, 1412186369.884796, 0.019911
1412185436.721612, 1412185436.741446, 0.019834
1412185532.428626, 1412185532.448994, 0.020368
1412185633.890085, 1412185633.910664, 0.020579
1412185737.032525, 1412185737.052693, 0.020168
1412185841.902566, 1412185841.923065, 0.020499
1412185947.417762, 1412185947.438596, 0.020834
1412186053.492189, 1412186053.512580, 0.020391
1412186158.313965, 1412186158.334617, 0.020652
1412186264.355983, 1412186264.376134, 0.020151
1412186369.904318, 1412186369.923711, 0.019393
1412185436.759791, 1412185436.779648, 0.019857
1412185532.467178, 1412185532.488020, 0.020842
1412185633.928863, 1412185633.949173, 0.020310
1412185737.070540, 1412185737.091300, 0.020760
1412185841.941236, 1412185841.960793, 0.019557
1412185947.457539, 1412185947.477541, 0.020002
1412186053.530725, 1412186053.550392, 0.019667
1412186158.353148, 1412186158.372840, 0.019692
1412186264.394974, 1412186264.415688, 0.020714
1412186369.942767, 1412186369.962859, 0.020092
1412185436.797843, 1412185436.817929, 0.020086
1412185532.506433, 1412185532.526689, 0.020256
1412185633.967800, 1412185633.987679, 0.019879
1412185737.109465, 1412185737.130019, 0.020554
1412185841.979635, 1412185842.000496, 0.020861
1412185947.496739, 1412185947.517360, 0.020621
1412186053.568611, 1412186053.588688, 0.020077
1412186158.391810, 1412186158.412092, 0.020282
1412186264.434644, 1412186264.454824, 0.020180
1412186369.982782, 1412186370.003135, 0.020353
1412185436.836334, 1412185436.856760, 0.020426
1412185532.545583, 1412185532.565758, 0.020175
1412185634.007762, 1412185634.028891, 0.021129
1412185737.148845, 1412185737.168828, 0.019983
1412185842.018747, 1412185842.038197, 0.019450
1412185947.536982, 1412185947.556857, 0.019875
1412186053.607022, 1412186053.626111, 0.019089
1412186158.432363, 1412186158.453071, 0.020708
1412186264.472927, 1412186264.493061, 0.020134
1412186370.022292, 1412186370.042939, 0.020647
1412185436.875897, 1412185436.895897, 0.020000
1412185532.584221, 1412185532.604460, 0.020239
1412185634.047735, 1412185634.067098, 0.019363
1412185737.188046, 1412185737.209850, 0.021804
1412185842.056920, 1412185842.077220, 0.020300
1412185947.577390, 1412185947.597547, 0.020157
1412186053.644318, 1412186053.664362, 0.020044
1412186158.472035, 1412186158.492850, 0.020815
1412186264.511179, 1412186264.531756, 0.020577
1412186370.062662, 1412186370.083107, 0.020445
1412185436.914095, 1412185436.934173, 0.020078
1412185532.623157, 1412185532.644678, 0.021521
1412185634.085303, 1412185634.106103, 0.020800
1412185737.228420, 1412185737.249968, 0.021548
1412185842.095657, 1412185842.115961, 0.020304
1412185947.617723, 1412185947.638480, 0.020757
1412186053.682611, 1412186053.703064, 0.020453
1412186158.512044, 1412186158.533060, 0.021016
1412186264.550010, 1412186264.571179, 0.021169
1412186370.103783, 1412186370.123799, 0.020016
1412185436.952608, 1412185436.972407, 0.019799
1412185532.663122, 1412185532.683459, 0.020337
1412185634.124613, 1412185634.144385, 0.019772
1412185737.267963, 1412185737.288974, 0.021011
1412185842.134379, 1412185842.154869, 0.020490
1412185947.658191, 1412185947.679217, 0.021026
1412186053.721755, 1412186053.742884, 0.021129
1412186158.551989, 1412186158.572998, 0.021009
1412186264.589676, 1412186264.611065, 0.021389
1412186370.142744, 1412186370.163232, 0.020488
1412185436.991289, 1412185437.011618, 0.020329
1412185532.701892, 1412185532.722676, 0.020784
1412185634.162812, 1412185634.183129, 0.020317
1412185737.306897, 1412185737.327710, 0.020813
1412185842.173591, 1412185842.193820, 0.020229
1412185947.698831, 1412185947.724258, 0.025427
1412186053.761522, 1412186053.782048, 0.020526
1412186158.592673, 1412186158.613311, 0.020638
1412186264.641976, 1412186264.666925, 0.024949
1412186370.191066, 1412186370.211488, 0.020422
1412185437.030691, 1412185437.050861, 0.020170
1412185532.740852, 1412185532.763184, 0.022332
1412185634.202670, 1412185634.223859, 0.021189
1412185737.346039, 1412185737.367717, 0.021678
1412185842.212735, 1412185842.232892, 0.020157
1412185947.743196, 1412185947.764707, 0.021511
1412186053.800793, 1412186053.821240, 0.020447
1412186158.633456, 1412186158.655434, 0.021978
