iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412198661.205308, 1412198661.244737, 0.039429
1412198661.262076, 1412198661.291464, 0.029388
1412198661.308727, 1412198661.329166, 0.020439
1412198661.346695, 1412198661.367914, 0.021219
1412198661.385672, 1412198661.406624, 0.020952
1412198661.424270, 1412198661.444202, 0.019932
1412198661.462216, 1412198661.482322, 0.020106
1412198661.499976, 1412198661.519292, 0.019316
1412198661.537960, 1412198661.557751, 0.019791
1412198661.576711, 1412198661.596287, 0.019576
1412198661.615387, 1412198661.634736, 0.019349
1412198661.654175, 1412198661.677700, 0.023525
1412198661.696444, 1412198661.715474, 0.019030
1412198661.734336, 1412198661.753656, 0.019320
1412198661.772617, 1412198661.791894, 0.019277
1412198661.811533, 1412198661.831565, 0.020032
1412198661.851038, 1412198661.871049, 0.020011
1412198661.890668, 1412198661.910295, 0.019627
1412198661.929778, 1412198661.949405, 0.019627
1412198661.968236, 1412198661.988351, 0.020115
1412198662.007011, 1412198662.026735, 0.019724
1412198662.045269, 1412198662.064990, 0.019721
1412198662.083602, 1412198662.103680, 0.020078
1412198662.122820, 1412198662.142932, 0.020112
1412198662.161504, 1412198662.184434, 0.022930
1412198662.203193, 1412198662.222134, 0.018941
1412198662.240941, 1412198662.266827, 0.025886
1412198662.285370, 1412198662.304344, 0.018974
1412198662.323143, 1412198662.342094, 0.018951
1412198662.361140, 1412198662.380822, 0.019682
1412198662.400079, 1412198662.419717, 0.019638
1412198662.439079, 1412198662.459012, 0.019933
1412198662.478505, 1412198662.497956, 0.019451
1412198662.517028, 1412198662.537453, 0.020425
1412198662.556554, 1412198662.577161, 0.020607
1412198662.596817, 1412198662.617395, 0.020578
1412198662.636982, 1412198662.658351, 0.021369
1412198662.677701, 1412198662.697379, 0.019678
1412198662.718671, 1412198662.739045, 0.020374
1412198662.758912, 1412198662.779035, 0.020123
1412198662.798773, 1412198662.819189, 0.020416
1412198662.839690, 1412198662.859182, 0.019492
1412198662.879141, 1412198662.899186, 0.020045
1412198662.926291, 1412198662.946231, 0.019940
1412198662.966147, 1412198662.985722, 0.019575
1412198663.005649, 1412198663.024921, 0.019272
1412198663.044778, 1412198663.063851, 0.019073
1412198663.084164, 1412198663.104112, 0.019948
1412198663.124273, 1412198663.143950, 0.019677
1412198663.164616, 1412198663.183578, 0.018962
1412198663.208796, 1412198663.228807, 0.020011
1412198663.250219, 1412198663.270280, 0.020061
1412198663.291194, 1412198663.311332, 0.020138
1412198663.332893, 1412198663.352062, 0.019169
1412198663.373635, 1412198663.393150, 0.019515
1412198663.414170, 1412198663.433332, 0.019162
