iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412185436.503024, 1412185436.520375, 0.017351
1412185532.166588, 1412185532.240445, 0.073857
1412185633.329870, 1412185633.691468, 0.361598
1412185736.301876, 1412185736.833145, 0.531269
1412185841.417608, 1412185841.705098, 0.287490
1412185946.686469, 1412185947.217322, 0.530853
1412186053.005761, 1412186053.290809, 0.285048
1412186157.586386, 1412186158.116516, 0.530130
1412186263.863204, 1412186264.163894, 0.300690
1412186369.188480, 1412186369.709932, 0.521452
1412185436.550034, 1412185436.567273, 0.017239
1412185532.260331, 1412185532.277916, 0.017585
1412185633.716326, 1412185633.734884, 0.018558
1412185736.861461, 1412185736.879767, 0.018306
1412185841.725295, 1412185841.742963, 0.017668
1412185947.238172, 1412185947.256943, 0.018771
1412186053.316644, 1412186053.334596, 0.017952
1412186158.141706, 1412186158.159551, 0.017845
1412186264.184498, 1412186264.202556, 0.018058
1412186369.730025, 1412186369.747298, 0.017273
1412185436.587738, 1412185436.605266, 0.017528
1412185532.297316, 1412185532.315353, 0.018037
1412185633.755494, 1412185633.774056, 0.018562
1412185736.900269, 1412185736.918236, 0.017967
1412185841.763364, 1412185841.781474, 0.018110
1412185947.277427, 1412185947.296807, 0.019380
1412186053.355645, 1412186053.373683, 0.018038
1412186158.179710, 1412186158.197785, 0.018075
1412186264.223421, 1412186264.241690, 0.018269
1412186369.771031, 1412186369.789053, 0.018022
1412185436.624999, 1412185436.642811, 0.017812
1412185532.335300, 1412185532.353143, 0.017843
1412185633.795347, 1412185633.813816, 0.018469
1412185736.938466, 1412185736.956808, 0.018342
1412185841.801872, 1412185841.820450, 0.018578
1412185947.317637, 1412185947.336490, 0.018853
1412186053.395209, 1412186053.415353, 0.020144
1412186158.217651, 1412186158.235982, 0.018331
1412186264.262258, 1412186264.280304, 0.018046
1412186369.808778, 1412186369.826735, 0.017957
1412185436.663126, 1412185436.681521, 0.018395
1412185532.372545, 1412185532.390644, 0.018099
1412185633.834027, 1412185633.852050, 0.018023
1412185736.976709, 1412185736.994724, 0.018015
1412185841.841225, 1412185841.859419, 0.018194
1412185947.356896, 1412185947.375750, 0.018854
1412186053.435636, 1412186053.454287, 0.018651
1412186158.257162, 1412186158.275802, 0.018640
1412186264.300461, 1412186264.318544, 0.018083
1412186369.846460, 1412186369.864864, 0.018404
1412185436.703998, 1412185436.721592, 0.017594
1412185532.410014, 1412185532.428605, 0.018591
1412185633.871976, 1412185633.890064, 0.018088
1412185737.014407, 1412185737.032503, 0.018096
1412185841.879660, 1412185841.902546, 0.022886
1412185947.395386, 1412185947.417741, 0.022355
1412186053.474005, 1412186053.492168, 0.018163
1412186158.295654, 1412186158.313945, 0.018291
1412186264.338142, 1412186264.355962, 0.017820
1412186369.884802, 1412186369.904297, 0.019495
1412185436.741453, 1412185436.759770, 0.018317
1412185532.449000, 1412185532.467157, 0.018157
1412185633.910670, 1412185633.928842, 0.018172
1412185737.052700, 1412185737.070519, 0.017819
1412185841.923072, 1412185841.941215, 0.018143
1412185947.438603, 1412185947.457518, 0.018915
1412186053.512587, 1412186053.530699, 0.018112
1412186158.334623, 1412186158.353119, 0.018496
1412186264.376140, 1412186264.394953, 0.018813
1412186369.923718, 1412186369.942747, 0.019029
1412185436.779655, 1412185436.797822, 0.018167
1412185532.488026, 1412185532.506404, 0.018378
1412185633.949180, 1412185633.967779, 0.018599
1412185737.091306, 1412185737.109444, 0.018138
1412185841.960800, 1412185841.979614, 0.018814
1412185947.477548, 1412185947.496719, 0.019171
1412186053.550398, 1412186053.568591, 0.018193
1412186158.372846, 1412186158.391789, 0.018943
1412186264.415697, 1412186264.434624, 0.018927
1412186369.962866, 1412186369.982761, 0.019895
1412185436.817935, 1412185436.836314, 0.018379
1412185532.526696, 1412185532.545563, 0.018867
1412185633.987685, 1412185634.007741, 0.020056
1412185737.130025, 1412185737.148824, 0.018799
1412185842.000502, 1412185842.018725, 0.018223
1412185947.517368, 1412185947.536961, 0.019593
1412186053.588695, 1412186053.607000, 0.018305
1412186158.412098, 1412186158.432341, 0.020243
1412186264.454830, 1412186264.472906, 0.018076
1412186370.003141, 1412186370.022271, 0.019130
1412185436.856769, 1412185436.875875, 0.019106
1412185532.565764, 1412185532.584200, 0.018436
1412185634.028898, 1412185634.047714, 0.018816
1412185737.168835, 1412185737.188025, 0.019190
1412185842.038203, 1412185842.056899, 0.018696
1412185947.556863, 1412185947.577369, 0.020506
1412186053.626118, 1412186053.644297, 0.018179
1412186158.453078, 1412186158.472014, 0.018936
1412186264.493067, 1412186264.511158, 0.018091
1412186370.042948, 1412186370.062639, 0.019691
1412185436.895931, 1412185436.914074, 0.018143
1412185532.604467, 1412185532.623136, 0.018669
1412185634.067105, 1412185634.085282, 0.018177
1412185737.209858, 1412185737.228390, 0.018532
1412185842.077227, 1412185842.095635, 0.018408
1412185947.597554, 1412185947.617700, 0.020146
1412186053.664368, 1412186053.682589, 0.018221
1412186158.492856, 1412186158.512018, 0.019162
1412186264.531763, 1412186264.549989, 0.018226
1412186370.083113, 1412186370.103761, 0.020648
1412185436.934179, 1412185436.952582, 0.018403
1412185532.644684, 1412185532.663101, 0.018417
1412185634.106109, 1412185634.124592, 0.018483
1412185737.249974, 1412185737.267942, 0.017968
1412185842.115967, 1412185842.134358, 0.018391
1412185947.638487, 1412185947.658170, 0.019683
1412186053.703070, 1412186053.721724, 0.018654
1412186158.533066, 1412186158.551967, 0.018901
1412186264.571185, 1412186264.589655, 0.018470
1412186370.123806, 1412186370.142723, 0.018917
1412185436.972413, 1412185436.991268, 0.018855
