iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412198661.244744, 1412198661.262055, 0.017311
1412198661.291470, 1412198661.308707, 0.017237
1412198661.329172, 1412198661.346675, 0.017503
1412198661.367921, 1412198661.385652, 0.017731
1412198661.406630, 1412198661.424250, 0.017620
1412198661.444208, 1412198661.462195, 0.017987
1412198661.482328, 1412198661.499954, 0.017626
1412198661.519299, 1412198661.537939, 0.018640
1412198661.557757, 1412198661.576690, 0.018933
1412198661.596294, 1412198661.615366, 0.019072
1412198661.634742, 1412198661.654144, 0.019402
1412198661.677706, 1412198661.696423, 0.018717
1412198661.715481, 1412198661.734315, 0.018834
1412198661.753662, 1412198661.772596, 0.018934
1412198661.791901, 1412198661.811512, 0.019611
1412198661.831571, 1412198661.851017, 0.019446
1412198661.871055, 1412198661.890640, 0.019585
1412198661.910301, 1412198661.929757, 0.019456
1412198661.949411, 1412198661.968215, 0.018804
1412198661.988357, 1412198662.006991, 0.018634
1412198662.026742, 1412198662.045247, 0.018505
1412198662.064996, 1412198662.083581, 0.018585
1412198662.103687, 1412198662.122799, 0.019112
1412198662.142938, 1412198662.161483, 0.018545
1412198662.184442, 1412198662.203171, 0.018729
1412198662.222140, 1412198662.240919, 0.018779
1412198662.266833, 1412198662.285347, 0.018514
1412198662.304350, 1412198662.323121, 0.018771
1412198662.342100, 1412198662.361119, 0.019019
1412198662.380828, 1412198662.400057, 0.019229
1412198662.419724, 1412198662.439049, 0.019325
1412198662.459018, 1412198662.478483, 0.019465
1412198662.497963, 1412198662.517006, 0.019043
1412198662.537459, 1412198662.556532, 0.019073
1412198662.577167, 1412198662.596796, 0.019629
1412198662.617401, 1412198662.636962, 0.019561
1412198662.658357, 1412198662.677680, 0.019323
1412198662.697385, 1412198662.718650, 0.021265
1412198662.739051, 1412198662.758891, 0.019840
1412198662.779041, 1412198662.798752, 0.019711
1412198662.819196, 1412198662.839667, 0.020471
1412198662.859188, 1412198662.879119, 0.019931
1412198662.899193, 1412198662.926270, 0.027077
1412198662.946237, 1412198662.966125, 0.019888
1412198662.985728, 1412198663.005627, 0.019899
1412198663.024927, 1412198663.044757, 0.019830
1412198663.063857, 1412198663.084142, 0.020285
1412198663.104118, 1412198663.124252, 0.020134
1412198663.143956, 1412198663.164594, 0.020638
1412198663.183585, 1412198663.208765, 0.025180
1412198663.228813, 1412198663.250198, 0.021385
1412198663.270286, 1412198663.291173, 0.020887
1412198663.311341, 1412198663.332870, 0.021529
1412198663.352068, 1412198663.373604, 0.021536
1412198663.393157, 1412198663.414147, 0.020990
1412198663.433339, 1412198663.455199, 0.021860
1412198663.475671, 1412198663.497159, 0.021488
1412198663.516638, 1412198663.538509, 0.021871
1412198663.558064, 1412198663.579481, 0.021417
1412198663.598928, 1412198663.628344, 0.029416
1412198663.649460, 1412198663.670049, 0.020589
1412198663.690462, 1412198663.711026, 0.020564
1412198663.731647, 1412198663.752935, 0.021288
1412198663.773409, 1412198663.794414, 0.021005
1412198663.814117, 1412198663.835467, 0.021350
1412198663.855680, 1412198663.877129, 0.021449
1412198663.897715, 1412198663.918637, 0.020922
1412198663.938062, 1412198663.958940, 0.020878
1412198663.978763, 1412198663.999591, 0.020828
1412198664.020050, 1412198664.041150, 0.021100
1412198664.061246, 1412198664.082899, 0.021653
1412198664.102478, 1412198664.123825, 0.021347
1412198664.143154, 1412198664.164559, 0.021405
1412198664.183922, 1412198664.206362, 0.022440
1412198664.229877, 1412198664.252732, 0.022855
1412198664.272657, 1412198664.295112, 0.022455
1412198664.314821, 1412198664.341061, 0.026240
1412198664.361341, 1412198664.383503, 0.022162
1412198664.403623, 1412198664.426198, 0.022575
1412198664.446044, 1412198664.467316, 0.021272
1412198664.488255, 1412198664.509618, 0.021363
1412198664.530161, 1412198664.551890, 0.021729
1412198664.572490, 1412198664.594582, 0.022092
1412198664.614360, 1412198664.638292, 0.023932
1412198664.658810, 1412198664.681908, 0.023098
1412198664.702052, 1412198664.723726, 0.021674
1412198664.743993, 1412198664.766402, 0.022409
1412198664.785312, 1412198664.806950, 0.021638
1412198664.826273, 1412198664.848696, 0.022423
1412198664.867806, 1412198664.890899, 0.023093
1412198664.910300, 1412198664.933244, 0.022944
1412198664.952492, 1412198664.975553, 0.023061
1412198664.994966, 1412198665.018702, 0.023736
1412198665.038616, 1412198665.067593, 0.028977
1412198665.087710, 1412198665.110032, 0.022322
1412198665.130529, 1412198665.152813, 0.022284
1412198665.172815, 1412198665.195311, 0.022496
1412198665.216527, 1412198665.242709, 0.026182
1412198665.262705, 1412198665.284942, 0.022237
1412198665.304721, 1412198665.326970, 0.022249
1412198665.347125, 1412198665.371973, 0.024848
1412198665.392400, 1412198665.417627, 0.025227
1412198665.437239, 1412198665.461916, 0.024677
1412198665.482166, 1412198665.505151, 0.022985
1412198665.525458, 1412198665.548689, 0.023231
1412198665.569062, 1412198665.592422, 0.023360
1412198665.613029, 1412198665.636078, 0.023049
1412198665.657232, 1412198665.680930, 0.023698
1412198665.702040, 1412198665.726079, 0.024039
1412198665.746396, 1412198665.773057, 0.026661
1412198665.796750, 1412198665.821256, 0.024506
1412198665.840617, 1412198665.863716, 0.023099
1412198665.883129, 1412198665.906254, 0.023125
1412198665.926099, 1412198665.949382, 0.023283
1412198665.970574, 1412198665.993918, 0.023344
1412198666.013806, 1412198666.037126, 0.023320
1412198666.057259, 1412198666.080721, 0.023462
1412198666.101555, 1412198666.125616, 0.024061
1412198666.145600, 1412198666.170183, 0.024583
1412198666.189894, 1412198666.958952, 0.769058
1412198666.983399, 1412198667.103546, 0.120147
1412198667.122540, 1412198667.145972, 0.023432
1412198667.165736, 1412198667.189927, 0.024191
1412198667.210768, 1412198667.235999, 0.025231
1412198667.256977, 1412198667.281161, 0.024184
1412198667.301226, 1412198667.327222, 0.025996
1412198667.351879, 1412198667.376892, 0.025013
1412198667.396347, 1412198667.422024, 0.025677
1412198667.442024, 1412198667.465988, 0.023964
1412198667.487245, 1412198667.512086, 0.024841
1412198667.532357, 1412198667.556545, 0.024188
1412198667.577086, 1412198667.600967, 0.023881
1412198667.621039, 1412198667.645495, 0.024456
1412198667.665756, 1412198667.691487, 0.025731
1412198667.711689, 1412198667.737638, 0.025949
1412198667.758739, 1412198667.783648, 0.024909
1412198667.803919, 1412198667.828663, 0.024744
1412198667.849124, 1412198667.873551, 0.024427
1412198667.893609, 1412198667.918330, 0.024721
1412198667.939591, 1412198667.964074, 0.024483
1412198667.987605, 1412198668.013537, 0.025932
