iterations=10, maxfiles=1000
starttime, endtime, elapsedtime
1412185532.130773, 1412185532.146462, 0.015689
1412185633.290221, 1412185633.308729, 0.018508
1412185736.261559, 1412185736.279272, 0.017713
1412185841.370388, 1412185841.395835, 0.025447
1412185946.646391, 1412185946.664399, 0.018008
1412186052.966126, 1412186052.983397, 0.017271
1412186157.543839, 1412186157.560974, 0.017135
1412186263.824309, 1412186263.841682, 0.017373
1412186369.148553, 1412186369.165752, 0.017199
1412186474.517310, 1412186474.540631, 0.023321
1412185532.114797, 1412185532.130763, 0.015966
1412185633.272876, 1412185633.290212, 0.017336
1412185736.238077, 1412185736.261549, 0.023472
1412185841.352818, 1412185841.370380, 0.017562
1412185946.629038, 1412185946.646382, 0.017344
1412186052.948668, 1412186052.966117, 0.017449
1412186157.525564, 1412186157.543829, 0.018265
1412186263.806783, 1412186263.824297, 0.017514
1412186369.131284, 1412186369.148544, 0.017260
1412186474.498584, 1412186474.517300, 0.018716
1412185532.094723, 1412185532.114788, 0.020065
1412185633.246744, 1412185633.272867, 0.026123
1412185736.220536, 1412185736.238069, 0.017533
1412185841.335342, 1412185841.352809, 0.017467
1412185946.574679, 1412185946.629029, 0.054350
1412186052.931145, 1412186052.948659, 0.017514
1412186157.507507, 1412186157.525555, 0.018048
1412186263.788353, 1412186263.806771, 0.018418
1412186369.114531, 1412186369.131275, 0.016744
1412186474.480637, 1412186474.498574, 0.017937
1412185532.078465, 1412185532.094714, 0.016249
1412185633.229805, 1412185633.246735, 0.016930
1412185736.203776, 1412185736.220527, 0.016751
1412185841.317614, 1412185841.335333, 0.017719
1412185946.555725, 1412185946.574670, 0.018945
1412186052.914193, 1412186052.931136, 0.016943
1412186157.483229, 1412186157.507466, 0.024237
1412186263.771598, 1412186263.788344, 0.016746
1412186369.097787, 1412186369.114522, 0.016735
1412186474.463172, 1412186474.480628, 0.017456
1412185532.061511, 1412185532.078456, 0.016945
1412185633.212162, 1412185633.229796, 0.017634
1412185736.185188, 1412185736.203767, 0.018579
1412185841.299634, 1412185841.317605, 0.017971
1412185946.537442, 1412185946.555716, 0.018274
1412186052.896282, 1412186052.914184, 0.017902
1412186157.466195, 1412186157.483220, 0.017025
1412186263.754950, 1412186263.771589, 0.016639
1412186369.078588, 1412186369.097778, 0.019190
1412186474.442343, 1412186474.463162, 0.020819
1412185532.045017, 1412185532.061502, 0.016485
1412185633.194812, 1412185633.212153, 0.017341
1412185736.166879, 1412185736.185175, 0.018296
1412185841.281575, 1412185841.299625, 0.018050
1412185946.518990, 1412185946.537433, 0.018443
1412186052.879410, 1412186052.896273, 0.016863
1412186157.448232, 1412186157.466186, 0.017954
1412186263.738173, 1412186263.754941, 0.016768
1412186369.061157, 1412186369.078579, 0.017422
1412186474.425332, 1412186474.442333, 0.017001
1412185532.026976, 1412185532.045008, 0.018032
1412185633.177820, 1412185633.194803, 0.016983
1412185736.149533, 1412185736.166870, 0.017337
1412185841.264130, 1412185841.281566, 0.017436
1412185946.501231, 1412185946.518981, 0.017750
1412186052.854709, 1412186052.879401, 0.024692
1412186157.431202, 1412186157.448223, 0.017021
1412186263.721581, 1412186263.738164, 0.016583
1412186369.043320, 1412186369.061145, 0.017825
1412186474.407887, 1412186474.425323, 0.017436
1412185532.010964, 1412185532.026966, 0.016002
1412185633.160860, 1412185633.177810, 0.016950
1412185736.132068, 1412185736.149524, 0.017456
1412185841.247371, 1412185841.264119, 0.016748
1412185946.483003, 1412185946.501222, 0.018219
1412186052.836999, 1412186052.854700, 0.017701
1412186157.414012, 1412186157.431193, 0.017181
1412186263.704350, 1412186263.721571, 0.017221
1412186369.026153, 1412186369.043310, 0.017157
1412186474.390389, 1412186474.407878, 0.017489
1412185531.994724, 1412185532.010955, 0.016231
1412185633.144064, 1412185633.160851, 0.016787
1412185736.114687, 1412185736.132059, 0.017372
1412185841.230100, 1412185841.247363, 0.017263
1412185946.465048, 1412185946.482994, 0.017946
1412186052.819785, 1412186052.836991, 0.017206
1412186157.396527, 1412186157.414003, 0.017476
1412186263.686933, 1412186263.704341, 0.017408
1412186369.008668, 1412186369.026141, 0.017473
1412186474.373183, 1412186474.390379, 0.017196
1412185531.978244, 1412185531.994716, 0.016472
1412185633.127064, 1412185633.144054, 0.016990
1412185736.096921, 1412185736.114679, 0.017758
1412185841.212657, 1412185841.230091, 0.017434
1412185946.447084, 1412185946.465039, 0.017955
1412186052.800391, 1412186052.819776, 0.019385
1412186157.379038, 1412186157.396517, 0.017479
1412186263.669685, 1412186263.686920, 0.017235
1412186368.991373, 1412186369.008659, 0.017286
1412186474.355938, 1412186474.373174, 0.017236
1412185531.961542, 1412185531.978235, 0.016693
1412185633.109809, 1412185633.127055, 0.017246
1412185736.080279, 1412185736.096911, 0.016632
1412185841.194422, 1412185841.212648, 0.018226
1412185946.429287, 1412185946.447075, 0.017788
1412186052.782350, 1412186052.800382, 0.018032
1412186157.361786, 1412186157.379028, 0.017242
1412186263.652480, 1412186263.669673, 0.017193
1412186368.973150, 1412186368.991363, 0.018213
1412186474.337919, 1412186474.355929, 0.018010
1412185531.944636, 1412185531.961533, 0.016897
1412185633.091065, 1412185633.109799, 0.018734
1412185736.062641, 1412185736.080268, 0.017627
1412185841.177170, 1412185841.194413, 0.017243
1412185946.411575, 1412185946.429278, 0.017703
1412186052.764843, 1412186052.782337, 0.017494
1412186157.344280, 1412186157.361772, 0.017492
1412186263.634938, 1412186263.652467, 0.017529
1412186368.955932, 1412186368.973141, 0.017209
1412186474.320213, 1412186474.337909, 0.017696
1412185531.927595, 1412185531.944626, 0.017031
1412185633.073574, 1412185633.091055, 0.017481
1412185736.045011, 1412185736.062632, 0.017621
1412185841.159402, 1412185841.177161, 0.017759
1412185946.392630, 1412185946.411566, 0.018936
1412186052.746283, 1412186052.764834, 0.018551
1412186157.326016, 1412186157.344272, 0.018256
1412186263.614399, 1412186263.634926, 0.020527
1412186368.938667, 1412186368.955922, 0.017255
1412186474.302471, 1412186474.320204, 0.017733
1412185531.910489, 1412185531.927586, 0.017097
1412185633.055516, 1412185633.073564, 0.018048
1412185736.026442, 1412185736.044999, 0.018557
1412185841.142422, 1412185841.159392, 0.016970
1412185946.375802, 1412185946.392621, 0.016819
1412186052.728542, 1412186052.746273, 0.017731
1412186157.308359, 1412186157.326007, 0.017648
1412186263.597213, 1412186263.614390, 0.017177
1412186368.920451, 1412186368.938658, 0.018207
1412186474.285214, 1412186474.302462, 0.017248
1412185531.889302, 1412185531.910480, 0.021178
1412185633.038068, 1412185633.055507, 0.017439
1412185736.009432, 1412185736.026433, 0.017001
1412185841.125273, 1412185841.142413, 0.017140
1412185946.357625, 1412185946.375792, 0.018167
1412186052.711093, 1412186052.728532, 0.017439
1412186157.289589, 1412186157.308346, 0.018757
1412186263.580215, 1412186263.597204, 0.016989
1412186368.902922, 1412186368.920442, 0.017520
1412186474.267744, 1412186474.285206, 0.017462
1412185531.872390, 1412185531.889292, 0.016902
1412185633.021320, 1412185633.038060, 0.016740
1412185735.991752, 1412185736.009424, 0.017672
1412185841.107962, 1412185841.125264, 0.017302
1412185946.340695, 1412185946.357616, 0.016921
1412186052.692357, 1412186052.711084, 0.018727
1412186157.272678, 1412186157.289580, 0.016902
1412186263.563702, 1412186263.580207, 0.016505
1412186368.883158, 1412186368.902912, 0.019754
1412186474.250223, 1412186474.267735, 0.017512
1412185531.855548, 1412185531.872377, 0.016829
1412185633.004375, 1412185633.021312, 0.016937
1412185735.974448, 1412185735.991743, 0.017295
1412185841.090485, 1412185841.107953, 0.017468
1412185946.322833, 1412185946.340683, 0.017850
1412186052.674834, 1412186052.692347, 0.017513
1412186157.255570, 1412186157.272669, 0.017099
1412186263.546172, 1412186263.563693, 0.017521
1412186368.865738, 1412186368.883149, 0.017411
1412186474.231266, 1412186474.250214, 0.018948
1412185531.839025, 1412185531.855539, 0.016514
1412185632.986857, 1412185633.004366, 0.017509
1412185735.957224, 1412185735.974439, 0.017215
1412185841.072745, 1412185841.090476, 0.017731
1412185946.305069, 1412185946.322824, 0.017755
1412186052.658071, 1412186052.674825, 0.016754
1412186157.238366, 1412186157.255560, 0.017194
1412186263.528514, 1412186263.546163, 0.017649
1412186368.847986, 1412186368.865728, 0.017742
1412186474.212036, 1412186474.231256, 0.019220
1412185531.822028, 1412185531.839016, 0.016988
1412185632.969608, 1412185632.986848, 0.017240
1412185735.939983, 1412185735.957215, 0.017232
1412185841.055538, 1412185841.072736, 0.017198
1412185946.286648, 1412185946.305060, 0.018412
1412186052.641151, 1412186052.658062, 0.016911
1412186157.221162, 1412186157.238357, 0.017195
1412186263.511199, 1412186263.528505, 0.017306
1412186368.830822, 1412186368.847976, 0.017154
1412186474.194494, 1412186474.212028, 0.017534
1412185531.806309, 1412185531.822019, 0.015710
1412185632.951992, 1412185632.969599, 0.017607
1412185735.922723, 1412185735.939974, 0.017251
1412185841.037705, 1412185841.055528, 0.017823
1412185946.268851, 1412185946.286639, 0.017788
1412186052.623918, 1412186052.641142, 0.017224
1412186157.203320, 1412186157.221153, 0.017833
1412186263.493983, 1412186263.511190, 0.017207
1412186368.813636, 1412186368.830813, 0.017177
1412186474.177017, 1412186474.194484, 0.017467
1412185531.789827, 1412185531.806299, 0.016472
1412185632.934101, 1412185632.951983, 0.017882
1412185735.904545, 1412185735.922714, 0.018169
1412185841.020273, 1412185841.037696, 0.017423
1412185946.250638, 1412185946.268841, 0.018203
1412186052.607360, 1412186052.623909, 0.016549
1412186157.186328, 1412186157.203311, 0.016983
1412186263.477024, 1412186263.493973, 0.016949
1412186368.796538, 1412186368.813627, 0.017089
1412186474.159561, 1412186474.177008, 0.017447
1412185531.772725, 1412185531.789817, 0.017092
1412185632.916623, 1412185632.934092, 0.017469
1412185735.887802, 1412185735.904536, 0.016734
1412185841.003263, 1412185841.020263, 0.017000
1412185946.232894, 1412185946.250629, 0.017735
1412186052.590602, 1412186052.607351, 0.016749
1412186157.168408, 1412186157.186319, 0.017911
1412186263.459793, 1412186263.477015, 0.017222
1412186368.778230, 1412186368.796527, 0.018297
1412186474.142778, 1412186474.159551, 0.016773
1412185531.756633, 1412185531.772716, 0.016083
1412185632.898920, 1412185632.916613, 0.017693
1412185735.869031, 1412185735.887793, 0.018762
1412185840.986498, 1412185841.003254, 0.016756
1412185946.215209, 1412185946.232884, 0.017675
1412186052.573212, 1412186052.590593, 0.017381
1412186157.150663, 1412186157.168399, 0.017736
1412186263.441727, 1412186263.459783, 0.018056
1412186368.760332, 1412186368.778221, 0.017889
1412186474.125277, 1412186474.142769, 0.017492
1412185531.740371, 1412185531.756623, 0.016252
1412185632.881361, 1412185632.898911, 0.017550
1412185735.851803, 1412185735.869021, 0.017218
1412185840.968543, 1412185840.986488, 0.017945
1412185946.197677, 1412185946.215199, 0.017522
1412186052.555935, 1412186052.573203, 0.017268
1412186157.133444, 1412186157.150654, 0.017210
1412186263.424721, 1412186263.441718, 0.016997
