iterations=1, maxfiles=10000
starttime, endtime, elapsedtime
1412203803.369686, 1412203803.387360, 0.017674
1412203803.351451, 1412203803.369674, 0.018223
1412203803.334159, 1412203803.351442, 0.017283
1412203803.316684, 1412203803.334150, 0.017466
1412203803.299379, 1412203803.316675, 0.017296
1412203803.282658, 1412203803.299370, 0.016712
1412203803.265420, 1412203803.282649, 0.017229
1412203803.248492, 1412203803.265411, 0.016919
1412203803.230667, 1412203803.248483, 0.017816
1412203803.213459, 1412203803.230658, 0.017199
1412203803.195204, 1412203803.213450, 0.018246
1412203803.171255, 1412203803.195195, 0.023940
1412203803.152222, 1412203803.171243, 0.019021
1412203803.134944, 1412203803.152213, 0.017269
1412203803.117142, 1412203803.134935, 0.017793
1412203803.099856, 1412203803.117134, 0.017278
1412203803.081835, 1412203803.099845, 0.018010
1412203803.063652, 1412203803.081823, 0.018171
1412203803.046052, 1412203803.063641, 0.017589
1412203803.028545, 1412203803.046039, 0.017494
1412203803.009890, 1412203803.028535, 0.018645
1412203802.990008, 1412203803.009882, 0.019874
1412203802.972073, 1412203802.989998, 0.017925
1412203802.952831, 1412203802.972064, 0.019233
1412203802.935596, 1412203802.952822, 0.017226
1412203802.917335, 1412203802.935587, 0.018252
1412203802.899351, 1412203802.917326, 0.017975
1412203802.879123, 1412203802.899342, 0.020219
1412203802.861591, 1412203802.879114, 0.017523
1412203802.844401, 1412203802.861582, 0.017181
1412203802.825899, 1412203802.844392, 0.018493
1412203802.808657, 1412203802.825891, 0.017234
1412203802.789648, 1412203802.808649, 0.019001
1412203802.772258, 1412203802.789639, 0.017381
1412203802.754210, 1412203802.772245, 0.018035
1412203802.736699, 1412203802.754201, 0.017502
1412203802.719199, 1412203802.736689, 0.017490
1412203802.701670, 1412203802.719190, 0.017520
1412203802.684232, 1412203802.701661, 0.017429
1412203802.666722, 1412203802.684223, 0.017501
1412203802.649196, 1412203802.666714, 0.017518
1412203802.631220, 1412203802.649187, 0.017967
1412203802.613790, 1412203802.631211, 0.017421
1412203802.595251, 1412203802.613780, 0.018529
1412203802.577275, 1412203802.595241, 0.017966
1412203802.559273, 1412203802.577266, 0.017993
1412203802.537271, 1412203802.559265, 0.021994
1412203802.513086, 1412203802.537263, 0.024177
1412203802.495176, 1412203802.513076, 0.017900
1412203802.476948, 1412203802.495163, 0.018215
1412203802.459165, 1412203802.476939, 0.017774
1412203802.441544, 1412203802.459156, 0.017612
1412203802.423234, 1412203802.441535, 0.018301
1412203802.405195, 1412203802.423225, 0.018030
1412203802.387453, 1412203802.405186, 0.017733
1412203802.369656, 1412203802.387442, 0.017786
1412203802.350467, 1412203802.369646, 0.019179
1412203802.332692, 1412203802.350458, 0.017766
